cldfuxfcwn,pET,iledzoktsf
-797,-529,jskmybymcb
920,dOg,0.3525
294,Dog,-0.3205
-971,cAT,klbgmvmcbx
Cat,doG,wxgaqwpfap
lcsqgyvsuq,DOG,dog
-0.1555,caT,0.3885
620,CAt,-0.319
Cat,cat,kajmdzsnhk
-995,dog,0.471
904,DOg,28
dOg,DOG,-0.2705
985,dog,doG
-0.407,tyvihjkenb,113
DOG,cAt,cat
fibkepsowy,dog,845
-656,dOg,0.2395
xltjnqhslv,DoG,289
mxticqvuid,Cat,DOg
0.2835,DOg,0.097
840,caT,-0.07
ylnvyklzpm,CAT,fmjgqokbhx
nnplmrjutn,DoG,-0.4085
elmxxxrviv,DOG,cAt
chsrjiqxpa,doG,mjanyexneq
737,cAT,0.105
CaT,-593,401
-956,cAt,-14
vgjreeadgx,caT,-0.037
rmoouhloec,doG,-43
0.4695,DoG,-0.3075
CAT,cAt,lbkqpgjair
-0.42,dOg,-0.1215
969,DoG,dOG
-352,cat,jrumdvcrxl
caT,CAt,zjcorztrkn
caT,cAt,-0.1945
0.2735,CAT,0.096
ejoodxannq,doG,-0.016
zpuqewrasl,caT,0.223
cAT,CaT,dihndnenle
55,-0.016,iwhefickoz
0.1365,CaT,saeegxqped
xsqamaqbgm,cAT,237
-250,-822,ghqkfcatai
0.2285,DOG,-0.139
gdpidnvwpo,cAT,-0.43
dOg,cat,907
fqnojzfkzl,0.148,0.2945
0.2995,caT,844
trlvxwxycp,CaT,345
auduvnpwur,DoG,CaT
-917,CAT,zyypgoxqsr
-339,caT,0.1695
uhdpyqqtxb,DoG,-0.1305
caT,Dog,0.1945
-0.313,dOg,dog
-0.0165,CAt,-386
clbpdvqcad,doG,DOg
0.335,-332,-0.395
taarnhmbjz,dOg,chayrdvlyt
dOg,0.347,0.3185
0.211,Dog,dog
-972,Cat,fnzdwzlndg
-0.0465,CAt,0.318
inhxmdlfzs,DOG,hfebqtywrs
tubillxneh,318,-0.079
kqmgfusrkd,-840,DOG
0.0835,cAT,CAt
-0.0515,dog,-326
-134,cAT,0.362
-27,Dog,CaT
0.217,0.375,flcfqmqpdl
-567,0.238,-0.113
-0.468,0.059,65
fvaoozpenh,dog,-0.3725
-870,-0.038,inakmdiojp
0.2105,ekkcumuxbx,-500
-0.182,doG,DoG
0.4715,doG,zqjzifhrcv
Dog,Cat,-477
-0.486,skvsmdiiis,gjrslvvzco
fwrdpqbrwh,DoG,-95
355,nllvjduvhf,0.0615
-0.076,cAt,-0.3695
ckawvibhtp,jcvlhitlua,309
lqfvzvwuyh,caT,tazbvrmeqy
0.1685,0.348,0.4045
-851,cAt,0.161
xllfbzqtco,DOG,doG
-851,doG,-406
