vuvzsvwnzv,qlhoiltsnj,gactaxhuaj,qzpojpwqpf,peT
0.1485,mfslqxlroz,-162,0.394,spmgumebtw
-598,ordzrxlbxi,cAT,pxxztblbnh,dog
0.131,cAt,lmvahicbij,pxhfziqffl,dOG
oxkbhuedhq,344,-229,-0.4005,caT
jsmrnrgcpm,caT,DoG,332,0.4495
0.3155,DoG,meiattduqi,mlfayhldqq,0.3335
377,zabhacgrca,twbojttmix,440,Cat
cAt,-0.365,fmfzxcytgz,-0.427,Cat
buxesplddq,-982,891,271,DoG
kzzwzrfyae,DOg,cat,dog,dOg
wpapvbvrju,0.3505,-0.312,DoG,0.297
akfmtkkcjo,822,oykdrxdjce,bbymgjpjkd,191
-0.456,nffwdveoyu,hspyluwxih,hwkatfvdua,Dog
avdzsozbqc,zksowvwnpt,grmdiujagb,671,xthvwdqmva
cAt,hbuysqhtfl,lsmtamoptk,-35,-673
111,amucfgqwqm,-578,jhahjfwbou,dOG
802,hafzmzkicj,rxemwokajp,429,CAt
CAT,dpbsvksoir,fipmagosan,-0.3655,cAt
nsccpwirqd,-0.1685,113,Dog,CaT
303,754,-0.086,785,CaT
gjlbffcden,-0.1795,236,bkdyqrabzn,0.0085
unlniuurvt,wpsbvrktqx,-26,xumohhruro,dOg
-0.2905,-270,0.1925,tesnyfphxb,DOg
-202,CAt,metclvdccz,371,doG
iobfbjkqvv,830,0.421,59,cAt
