wuhqftviqp,bgpcmcqisz,jcjxduydml,ghsmkstcme,qvmarubutw,znxvvtzhsg,wqjizqznwn
DOG,224,dxmzihimhg,Cat,lqeeytgcgg,nqxdxpecwi,598
DoG,698,-0.13,0.213,laeqfscrxi,0.063,0.3495
cAT,-0.064,-0.112,jjrgdjbmlq,0.087,876,862
-0.163,-22,-0.3235,ssqtvjjljk,cAt,-0.312,372
fcituuvsbs,0.1215,uonisuefwx,Dog,-862,-218,0.196
DoG,-0.244,-882,290,DOg,0.099,309
caT,ublixszdor,783,lrrvyiuxne,anaphrprxi,-0.361,-677
CAt,DOg,qwandrrhdt,byretfcdds,0.1405,qqsuusabip,0.3935
-339,0.492,563,-871,107,mdyumozmef,dnpkdbokli
-0.2345,uppcjfcswp,tmwxjvbsdl,DOg,-0.2715,0.2005,hndgvblqwd
-0.178,-374,exjrbijfxr,-0.3615,0.0035,DOG,-0.2645
-0.3765,doG,mbzsgvavwm,qprrhyftgm,nhujcrndnf,0.175,559
djdxxovunx,0.2075,-371,-567,-0.076,nnseemyufl,156
mfdwhhtwat,-434,-0.128,-0.0105,102,0.4075,rbjiwlcssw
0.4125,360,81,-915,hcznunozxn,0.2145,-0.449
ydnszemwjz,muotglzghw,caT,zyytxlodng,-355,-517,xdzktjowyv
fgnjpeupvo,CAT,ggmsekxlvh,-0.279,0.146,656,xbzsrfcghg
0.168,toeqktkyli,qlxjnxjcdj,0.312,DOg,Dog,0.312
-0.283,0.0985,erwbovpqea,-956,443,-0.3515,vxisevqxkg
0.383,0.3665,dOG,mwrtcgiydg,-0.4685,0.493,rwmcmtuycf
CaT,686,-0.2455,0.463,-0.304,-0.362,caT
ueoordwcak,-0.1905,-927,dOG,0.1605,-0.245,dOG
DOG,DOg,dhktfxtkzy,doG,-757,0.5,-0.102
0.211,dOG,-957,-0.4995,cqhihcjdxy,uaymalfdgc,-341
cAT,-137,-371,-638,-0.0175,0.467,Cat
arntpoiymb,DOG,oaxmrusajq,-0.213,xsgolzejpv,dOG,nipgcqsnlk
-69,hulffglzco,dOg,spvpdkaxrj,570,avcbwpnmqu,200
742,fkklwbarba,-235,DOg,119,-63,DOg
878,ufjdxtfpep,-0.4895,569,-107,664,DOg
zivveouiwr,0.284,yjxniulyjk,-907,0.023,-903,-0.1
doG,pnpmvdxcqk,-0.1115,vbhjawmskq,doG,cat,cAt
-409,0.19,cAt,-0.449,xonscyoxxx,mvckhigbpb,-0.246
ryatotdvvm,-461,425,nhcbpobcbc,-0.069,0.0525,qswofosxra
-0.015,xlkbsvxmna,ffgsqohvyc,cat,brvimaqmkf,-0.266,DOG
398,CAt,-0.027,-594,-0.196,-0.295,lmhthemyim
-67,563,dOG,bwebolhhur,CAT,-0.28,-852
Dog,sxfecghdnu,cAT,-178,lyajgbedkl,aafpquaoll,84
0.1795,0.4985,-650,-0.0065,dog,0.3785,cat
-751,342,-711,-188,othfktdzsi,-0.3145,xdgxldnohy
doG,dnkggzpqvv,0.306,niqxtzsfvl,groylrgcpt,125,0.043
jjcvbantjx,564,0.271,tvuubhsukb,ggbjneipft,0.4855,-427
510,-0.1235,hcpfylsuuw,-0.166,CAT,-0.236,380
978,cat,wievmafmfo,0.007,-0.207,-0.3515,0.2145
-0.489,tkiqwhmlfs,358,pcfooaaodw,doG,0.143,-0.1625
mnigbudwyr,ctckduvusf,ixenufbdil,0.454,cAT,yhfrqvlfoa,-715
300,CaT,wdipbysoun,doG,DOg,hinzpnmrxt,dOg
zfqrdavcbo,722,-0.3545,-0.4915,-0.441,ixzvrffsov,-0.227
-0.197,0.4425,100,-598,398,CAT,caT
322,ozrqtbordb,sktxbxvjoo,cAt,hrivxjcpif,0.0845,-106
wjautbuqzl,osugaqfxdc,0.068,DoG,0.338,0.329,aivjpmfnyq
