xsitdarkkb,pet,fwadjzlkjt,bxuwgbpnbj,rmegboxgoe
-140,doG,CaT,702,wvlotylmsz
-891,0.417,Cat,dOG,xxaxesqkev
doG,caT,qjktkomqjf,kjwotjkwsv,ekoypsnlkz
otubmgdrjf,-0.028,cAT,caT,snzuyevjvw
22,cAt,-742,CaT,-0.061
DoG,CaT,-0.104,xheohgzygx,-0.0045
507,CAt,-0.0445,amcmdezdys,gdqqaleukj
116,DOG,DOg,-0.0605,DOg
CaT,wzcexehlfh,443,327,aspknoofzs
-348,doG,vlpytgbqtb,Dog,-138
bzhnfkolbd,cAT,CAt,cudrbzegcx,162
doG,dog,doG,yrkywpgrxp,-695
0.143,dOG,-0.3185,0.166,yiubkkwdyk
391,-226,zslgwtqymq,0.1285,489
-0.0735,0.3785,0.052,ewuwtqmaph,hblqstikym
0.0255,CAT,0.101,mfiiehexvc,gpajrpcrqk
0.079,CAt,osevpeaezm,pjpjymseeq,znikglglwc
vmvnmwfjez,CAt,-0.3455,-0.164,354
0.025,doG,cAT,47,-333
dzbgomdgwl,cAt,rcaxgixkxj,0.0205,fkysraqbmj
-0.2935,cat,CAT,-0.111,-0.297
bnjrtlkqop,ahtvgyuzyp,dOg,532,409
0.209,caT,-555,176,cAT
szpmyzejnj,dog,tahwmhihql,-0.34,Cat
-950,Dog,CAT,-982,zaovpwpahm
-860,dog,-0.107,60,vzwzuqptqg
-0.146,CAt,-0.495,-0.259,byetrgmzsg
caT,DoG,wogevgzwyf,gtmboatheb,-0.4385
-758,cAt,utopmzvmlr,CAT,pnyjztriyw
933,ltfswpqbjn,cndwjcncpe,porumouzyf,DOG
bbpphcfstv,qwvpzxcgui,-0.2435,0.452,dog
-0.4335,CAt,0.132,-0.1105,-45
502,caT,0.3365,0.4705,ibrdufddyr
-0.2495,978,dOG,478,31
0.134,cAT,26,0.2475,xehicbyvop
ulolkjnzha,dOG,-112,-0.1795,166
-351,doG,Cat,DOg,0.496
705,dog,-949,749,0.122
0.4205,CAT,DOG,-69,-0.1175
cat,CaT,743,-0.0295,dkglcvdhpu
kkhngvbvvi,CAT,0.122,0.109,868
0.098,DOg,0.261,-69,wtwpdoyfst
