uirffugmez,xyfeovgspe,nyjvnqoxmy,ngovjnnvjl
dOG,728,DOG,0.3695
ehsnretytk,-768,-386,-970
-0.353,ychrkltvgy,0.171,-0.255
dakyziyiqo,0.459,0.2115,umuhsspugp
458,CaT,315,iegckpcjqd
0.231,widbvijdos,178,otrmmsdmkb
dOG,0.041,CAT,0.411
0.347,rnknjsalqg,0.4315,dog
CAT,CAT,-0.351,DOg
husielytvd,Cat,-0.049,hcguzqldkt
-435,-1,-0.1555,0.138
0.406,sdntgcrvyq,-64,foxqlknmjv
0.0985,-762,-399,ftlprtwoqy
858,645,0.2435,DOG
-0.2435,370,952,gjooacemvs
-0.02,DoG,aihbwcavmh,dOg
-954,-0.4265,-0.3195,qqlrlzbfmr
0.1815,851,-263,-0.382
