dsswdhsrqg,vorzijmait,pgoucosicv,onydduquiu,rstbkaywmk
wwlcpidafy,ybplubawlq,lucbvyhmdp,0.044,DOg
-135,doG,340,zwsucbvwbm,cAT
-569,112,fmexoatbvy,cgegmsxpbg,pltgfhabau
qmwoudcyqs,-0.3405,rcviospydh,-0.353,caT
-592,0.064,krfdsxjegl,Cat,cAT
-0.33,-0.4095,404,-0.1405,0.34
0.313,-0.218,ofexjdcxsd,zjpprdovhb,nbbdgdxzdn
ututqcsytj,bwtveludvh,-678,DOG,0.3675
pjqiezyhen,0.0895,cAt,gojsvhpnnw,lftrclsykc
-554,cAt,cAt,caT,-0.4705
DOG,-0.2645,-180,cat,0.3895
ydhiuaejpu,-81,691,39,cat
0.1605,DOg,jjbmyygdeo,-0.0805,-775
462,picdklsyfx,-212,Cat,0.0285
-0.4575,-0.2425,-0.1875,618,wntkkxhocw
ssxnmklzyj,671,0.2715,CAt,-0.231
DoG,cAt,729,wbtuqbdeio,0.0475
-0.0695,0.238,-716,-435,eqhwibrubq
-0.3855,-0.0325,628,ibghqgweuh,xsfqasbqdh
0.2645,lkopiwclch,hpnxwmxbpm,-336,0.2425
-0.1955,-495,fimvoevgff,-859,0.0365
sgfstjxbnr,hmlbbkmqav,0.176,0.1865,-442
-0.165,538,382,dOG,-5
0.2485,0.2845,0.235,hlnthuuemh,0.419
0.36,-210,cat,vcvlahxmig,xfkhkdcoho
-0.288,bzzpjunmsk,0.0885,0.041,-0.183
630,-666,Cat,-0.322,831
820,-0.1005,0.212,-232,Dog
0.147,-0.3925,405,919,0.122
-232,0.0875,0.2335,0.437,bpfdhccfbc
wmxxvvhies,-0.1785,-0.277,Cat,0.1885
896,0.292,tsoqtfdjko,619,0.4565
flanmayddz,dOg,-551,iwccbtjkmg,-0.4405
0.293,mnkzcmjhcr,dOG,-0.3335,CAt
0.2205,mqtykoebcl,747,-0.0405,-573
mynwhaalts,cAT,srpsemklgb,DOG,0.256
0.2715,0.433,-0.1925,-53,444
0.0225,CAT,-939,cAT,ldgeyipsni
0.294,839,uvflapadqw,cat,0.1445
-457,-0.261,-567,-794,0.494
Dog,wwpbnnurfu,142,-880,loqdtmzyor
-313,-0.1295,qdcfkmkffn,949,jfdedgdmuj
ulscskadgl,-0.4415,vvhlcvqabo,0.0735,dOG
-0.0915,-0.285,0.279,atrtbksaif,-627
-0.128,qgbbtjefan,-220,0.0445,-224
744,dog,ejknmxfkzp,-82,rokehhxfye
wygidrmujs,-0.2655,373,DoG,138
0.3115,Cat,0.026,CaT,cat
pbhxkkrvan,384,doG,caT,spfaeqjuei
cvmlrvasmb,-498,Dog,nvfwkinyrj,0.367
-0.4085,-0.398,-0.056,bqzonorets,jdagseqzyj
-0.2395,-497,rckgyrjzcf,-0.0525,0.025
-851,0.099,0.4625,0.05,0.378
-0.2865,0.4805,-361,zfcrlvmncf,dejamrzben
490,dog,DOg,Dog,doG
-166,caT,doG,-0.1285,atrrzdvhhq
tfctxektdb,CAt,nvzzkkgugw,eukduwyhus,-0.346
