aucozforro,oqvtyhheac,zewhihgwhd,frrtfdaxip,euffbtkuuc
549,-177,-699,dOg,ovbjexanmc
-0.1265,0.2925,kzgaymtaqu,226,zjtrikxppo
0.017,jjoyqhowgk,vzgfertruf,cexjcaqvhr,domqljryyy
349,-0.3765,cAT,dqiqnxbryz,-465
dog,-0.104,-234,-0.08,olaccgphql
0.368,-732,-0.097,DOg,0.0555
0.071,nzzxxjxskh,zrgawzgpwu,-0.466,krsbaftzkp
oidvusesti,-0.2955,364,caT,-820
317,CAT,0.214,300,-0.4645
-374,-222,-0.21,twszfvvecx,-486
cebgmugxyy,fxwsqxqtxm,chimbdlrkj,-0.1705,0.47
-672,0.299,okbevgxgfj,-651,0.142
918,hxohgcvbag,-49,-553,cAt
DOG,988,867,565,CaT
cAT,cat,-0.441,cxqoohgfaj,wqgkolvzzw
98,-473,0.2965,-721,-611
-634,jokqgkivlt,-0.256,0.3785,CAt
-200,cAT,-0.3425,124,0.186
-0.221,-0.499,nulfnvbjgy,lbomkcuzir,xqxvnvpfxa
Cat,0.354,0.061,CAT,bakjkldukk
ovnbnrewtt,wmcmrldnoc,dog,0.1605,zughyxxjbr
-0.139,nmcubqehnk,bvyfqztrys,sssonizbfj,516
yizeicyztx,ahyuggwmry,213,ffzldncpwl,618
-789,300,muwmuaxulx,doG,obkmsmnbww
wwqxtczmgl,-0.0635,825,0.37,-0.2725
iqpbzsyoar,0.4545,cAt,DoG,0.119
jmskmtcnlu,lzyxaomkxk,Cat,-0.455,0.1595
DOg,-262,-0.459,0.209,-117
0.2655,155,-232,-731,958
dOg,nqtyqtfyka,-0.428,efqpysymaj,0.4885
-987,CAT,vysqlovoyg,0.1545,jkwlhucrda
-0.288,lwgxvfgdca,cAT,auwxgdwzus,-848
0.0075,caT,0.2675,prtxuditpn,sxglbypxel
CAt,inruraoish,-834,Dog,0.31
sovddeckzh,-695,965,omnslkwgkk,-644
ikcypftoov,325,-669,axgnhwaled,0.387
-468,mzvhyzkiui,139,rqdirqjssf,vbmtsoipgu
ndllxniptu,401,mmxwgjrvod,0.3485,pyyuqituen
awdaipzvfa,-0.0595,-191,-758,606
-0.4665,zcqzotksef,dog,lxbuxlpzxc,CAt
-488,0.042,abbmqzyyll,dfbctxkgrp,cat
-0.387,DOg,-776,pcjwavmfsl,-0.2305
giiucmvqlj,-212,-191,-0.2315,txszfrpiai
-658,doG,0.19,sxfdlogxab,dog
xifnpasemn,-973,0.223,lxykokblev,554
gpcfxilblu,doG,-81,41,-671
dOg,caceomugeb,jufmgfserp,-0.0425,0.0665
-0.123,wbmyffphdo,-135,bmdodkvgto,-136
-0.4115,-0.326,-702,708,0.28
-0.414,sagcfshtxz,xpykfxepxo,dOG,CAT
xpiuxyxhtp,-779,xkuqsybnkw,wvixgzzoep,-0.0055
wquvycusvo,-400,9,-985,eqayoybxvc
dog,0.338,175,0.0215,euzfwxlmlo
-791,qtbzcbyfbk,835,-0.4935,0.441
-0.021,228,gjfmvbedbl,CAT,-861
0.1805,-384,udebahfpap,0.1095,bokipklkli
caT,0.3745,cat,Cat,Cat
uxnwedcmjl,ourmqscycg,mxbdhexpaj,qcupgovuhr,bruloccdmr
ercosnttej,wbzjeikwyo,ebmyxlsyrh,0.285,-0.2985
CAt,nidxkuxnrm,442,cAt,0.4695
mzjstogfwl,ncchdkxxgk,-337,qgnxtsvvyi,426
-927,cieopjhiqp,xnqppvxipj,0.254,mwszgsqeyr
237,-291,-664,0.1175,gbmjdaimgz
-987,DoG,0.4795,371,cqocmhqjzm
-984,0.1735,0.424,0.333,dog
-0.2235,0.494,gvlmnqrngi,-614,-0.175
vuawyhhpzy,CAt,-81,-476,0.051
feywjmlywi,843,-45,-0.262,itnceyzlce
xcguovfmdh,0.278,-0.2655,cngruaegeh,-0.393
DOg,ptvfyvutqb,130,uekzatcbda,-0.491
-600,-588,776,0.177,-0.354
234,jpkvphmkcu,-255,-956,fbynbtfpux
-996,nwgetzbzzi,ljmqbawdov,-515,zphebrmerk
0.4015,-218,cat,zktayfdjfk,dOg
cAT,-721,-0.0265,0.09,xtdvjqssog
cat,263,-0.33,DoG,CaT
wzamqyyxyy,0.1005,948,DoG,821
-594,pbrfnfxdew,684,tlsfdfuest,DOG
-864,-0.1835,932,wgwhoriboh,fzimjgruey
-0.025,dog,165,-0.495,381
-290,cAT,woilgphyqk,zeccresbbj,0.391
pkjkbxhrgy,caT,0.4435,lrfyuazqbn,0.361
dagjprbhjh,jcpznakohg,znhzkkudot,0.187,-0.012
dOG,-0.2575,nucgcnrtiu,639,gujkjxxpxi
jutxizqqwm,-0.373,hgutemkjea,-689,0.355
gumfocqsmt,CAT,-0.173,dOG,0.41
CAT,jumorubvcj,kqkzjipfou,caT,zkhmbkcksc
0.2775,-876,dhsdtsegdx,jqojkgclyj,0.388
605,-0.144,esaksivuxj,-0.0185,dykmwqpkqc
626,-0.0615,-433,607,Cat
kqjqfvnfzn,-0.186,-0.305,175,88
215,hthxyqdxit,hyaunvxygs,0.0075,-918
-460,xnkzptyyht,DOg,zzxvofjrrx,0.1215
Cat,jsbdwhxocx,-635,799,DoG
330,-0.238,0,-173,-0.024
875,0.407,lxpozjoesa,-0.262,-0.207
CAT,92,-0.415,-636,groerqrrav
