fpulzrleua,ugvxdczgip,iufphrqxar,pthfkygspe,iwjesqnmdc,bvadayfhij
-0.0295,dvpgzuoqpn,iuqnitqfue,dOg,CaT,idtrbzoksa
dOG,dOG,-0.1265,0.1845,-114,-506
xfglyjqgsn,lwtmidhuep,-704,-0.118,0.1625,Dog
tqkevkhugp,-342,-588,hkhtmxvujt,-673,222
ygdodtjyrz,0.3495,frrftnwfmr,-0.011,hqdwtkjwwj,909
0.4365,Cat,-0.487,DoG,130,-113
DOg,-0.213,caT,-0.1525,kkpaxfsrfc,CAT
-272,0.123,654,-0.0735,0.417,0.017
dnkfkbaotf,zoeovpsihh,Cat,-885,DOg,kknchugehx
abqhxzzczx,dog,-350,sojjqizadn,qvmxxydtov,cAt
0.0545,55,-0.085,0.1,896,280
awexifyakd,dOG,-752,0.266,-987,-181
DOG,0.4625,242,-248,-0.137,185
skzpfqqzpt,-0.2985,obxjgwhjum,361,-661,-0.014
0.43,-156,-0.3695,-0.415,460,dmrrbusjwt
0.0845,cAT,-965,iklxypskjg,qxjikxsphs,-919
CaT,0.1655,814,qrmnwrbsgo,yjjumzlzwu,ybuydnlcsu
mkrsqlrogb,-449,108,-0.195,CaT,0.107
-716,-0.2935,-764,-294,124,uoqvveqmzw
-822,dOg,497,140,-0.247,guqvadxbxe
ypqnagasdk,-0.0145,xlbgoptevb,0.451,dog,0.4745
0.3005,caT,0.0575,-0.3055,ydlekjfcvg,-293
cAt,ououcklrev,-866,CAT,-792,0.327
-978,mkcxgjonmm,-0.3225,-191,dyrliyavgt,pkqsfzuolr
0.053,dOg,-231,-0.1625,inqofeoans,0.267
331,0.1045,mcbngsmzmt,yrdczmmmrl,ghzniqpbhn,780
234,0.3595,dog,348,114,-0.241
tyzejkvhez,bcvlavujce,0.082,CAT,-476,0.14
-0.187,CaT,fsvquohmcd,DOG,Cat,-312
