apamlpoyki,pet,osknzhvtre
caT,caT,-0.472
0.1915,CaT,0.498
agunnkiago,CAt,araigvhtvv
-0.445,-427,0.061
kfejbkcpwt,caT,-189
-0.349,cat,0.0425
zgxzvjrgml,Dog,bwhujghvqc
-0.06,DOg,rjiiypuuvg
617,caT,0.414
-912,kmbuczwwsi,todixlkvio
ljowytgrmb,DOg,0.39
-0.345,wrgqjyqdno,-722
yxvimaqnvu,cAT,dOG
qmdevzurtq,doG,DoG
doG,cAT,iwbijjdobe
806,CAt,cmtussrrrw
-413,cAt,894
-593,cAt,rrmwtgjiue
lsmicdtmnp,Cat,ejapacyezm
-0.2455,0.4255,bdfccmxtdf
494,CaT,wjzeolhzrz
-0.018,Dog,CaT
0.383,mxssmwxumj,-0.1775
-0.366,caT,abralxrnzs
845,DOg,0.3545
vwokzwptpd,CaT,-105
0.403,CAT,-279
pgqpyemtxf,cat,yshjjkcsqs
-0.005,cAT,fvclajjxnk
uvrlfqhham,cat,wdwnebrqts
dog,Dog,eldqueigak
unnffqiqpi,CAT,637
0.128,CAt,-505
-0.446,dOG,0.431
rfrjxgnqho,CAt,dOG
-463,0.0405,-987
0.023,DoG,-441
tnzrrqkmmk,229,690
