jhbvoefrtn,wlmxjdvadl,mfrvkyoiwj,hyqlpigoia,PEt,yrczvlvqvg
kkfgfvrcum,dOg,gqgnocnpxn,0.0465,doG,-0.078
lxfzfbcvok,-0.008,-0.1795,834,DOG,-280
-653,msbebfcnva,pldrhvzdkq,Cat,doG,-0.277
-922,dog,0.175,CaT,hkkyoldxcz,965
-0.1375,CAt,-160,-757,qsqeoyhqgv,DOG
rpoljolmvz,-30,hsnuvardxs,443,-0.187,DOg
-0.4845,-416,0.3355,idrvowiruc,193,0.2545
190,CAT,-0.109,-57,doG,fxenabbmeb
-0.477,hhyavpmtnp,0.2395,-0.2375,DoG,dog
hmvsyvsvme,Dog,0.133,-507,dog,-0.2315
jmblduytdr,0.0235,ryvclafszs,CaT,Cat,cat
0.0455,acwtfrsmrd,703,-135,320,gexfscvldz
-204,390,-0.478,917,-0.079,jmpikizivy
-719,nihgonccrl,cat,-0.4115,dog,0.149
fzszabewlw,-0.388,293,-0.4765,caT,929
-712,nqgcpreray,kynhsgtizp,xunlkzwbyp,qhmbtbifvc,uoulrndszh
-0.2475,DOG,dOg,wioiwwdgof,cAT,vgetktcosh
dOG,pdkjjtsjxi,dog,0.177,DOg,cAt
ebygqbvcjr,-753,124,gyqrcgcjtd,cAT,-0.112
fugkuutkcb,karctlzjww,0.197,102,dog,cAt
ohigzwvtsj,-0.0355,bemdxabqni,-0.2825,DoG,-0.187
0.3135,rltsscnplo,-0.105,-0.414,dOg,950
0.2805,0.352,kuijkdyioz,0.058,cAt,709
-0.118,dtkovlfuoi,mjdoqetclp,uzchtzufyw,Dog,ajescpsdhh
-885,DOG,CaT,-0.3915,DOg,CAt
-0.146,158,-0.03,-818,doG,pcjcghdczv
-0.1045,-933,qliiifvkqe,Dog,DOg,-969
-0.299,DOg,-666,gavhdpdhol,-464,-53
fsmhhyntlk,0.216,xhxqheqfhi,caT,dog,yubukjoktp
cempippqog,142,140,-0.0225,CAt,0.093
-575,-587,ilrcrrbtvx,dOG,dOg,-464
0.243,45,odazetdjua,tuyktbozaa,cAt,CaT
CAt,Dog,0.2175,0.3345,doG,jhweqewlml
wwtjotblkv,-207,xzmudmrole,-0.3925,DoG,cat
