gnvnmydwdz,qeijhkkpam,zbzcpydlxb
fdjclhkrxq,xykcabihwa,0.293
cvyhovyfka,241,CAT
-341,zrygfmbeia,buthlswgbl
485,ykvqpqasew,0.073
-0.3915,-0.1045,ptmknhbzuw
-978,DOg,dOg
-803,cAt,-0.3175
oebagevakw,DoG,cocsuurrwh
uwhnrfncoi,0.393,zipcieooyj
936,Dog,dOG
-0.279,zwuqfdikii,-0.4055
doG,-0.4605,-0.081
cAT,xclbsoejui,0.445
vpcjanpczh,853,doG
jkqrsfvmnd,CAt,DOg
-52,wcdhmagpzi,ktzaeqsuod
-533,CaT,-0.4935
gsapyyadac,797,dog
862,cAt,0.2045
0.432,Cat,caT
dOG,-93,535
sldeuroijl,-0.287,lnhwedxlzq
0.4725,CAt,0.3115
419,hdmeqcfabe,0.077
-755,mrooxbpwte,581
DoG,enwyyqpdzg,0.463
mzykojsmmx,xluzlfqjwr,-0.4005
akwhhhspge,242,-851
