dzkhrolbjw,pEt,hrbdxfntgv,dpjfrdjxho
caT,dOG,cAT,caT
ywognahfzv,Cat,0.115,rpjpcpwiak
DOg,DOg,DoG,pcnggjjjhw
ajqwilntmx,Dog,-0.316,0.206
749,Cat,lsaqzhzfis,-604
-0.38,dOG,fcsyckintk,ztheiseypv
DOg,DoG,531,ttqefsqbyk
0.2615,cAT,jcfvsfdrpo,0.0715
-759,cat,-47,0.492
-0.1625,CaT,-0.1485,-0.41
dog,cAT,640,wxvamsjlvd
mpubpwpcmv,0.37,cAT,624
0.2025,DOG,CaT,230
iikrewsxoa,dOg,908,tvmkplyfpy
0.1825,CAT,zgmbsvutqu,ltqdcsvkfo
dOg,dOg,0.0295,-14
-1,doG,vnjarawwwq,trrlfwboub
jevwddmymq,caT,0.1425,0.3195
-0.192,dOg,0.2625,dOG
-0.448,DoG,176,736
-119,DOG,fvduuxyckk,0.44
tdknodnrnb,cAT,azybapbapq,0.0245
-0.159,DoG,135,qetowxxszh
0.291,CAt,741,-0.024
