vdczxigsev,pnsopixrqe,whmnbijurb,vppqvxdqpk,xhecevertp,peT,owpckdrhig
-0.215,31,0.2035,554,0.0675,cAT,aabiknufxo
0.343,beglwaklqi,0.164,CAt,jksijxepdn,whzgxwrlps,-380
-0.4305,kcpveagsuq,-0.368,-0.2575,-549,0.433,0.0955
163,fkjgkbknrs,doG,DoG,-0.116,-0.3405,nvfhnuakyg
-397,-0.141,eyaarqxinb,DoG,461,doG,zkrawdcart
kzeqnbaryw,dOg,-0.1755,evgeldbgjs,152,CaT,613
-0.192,CAT,-0.4405,-0.353,lrxfojmxhx,dOG,-0.336
njzvrobabm,-0.4245,ungqbmeaxj,wzkixdrurr,0.167,CAt,-928
-0.222,-734,-45,uiizdydebk,DOg,cAT,uzrqgxvodf
qutuvogwjc,pjhotrqysv,-235,mbtilaqpvd,-430,Dog,-0.2145
caT,nnpijdntyw,DOg,eltrppukfn,0.001,dOG,-0.454
-954,-642,676,cAT,273,dOG,-0.3395
-0.0675,0.2695,138,shddmjefqt,-0.464,dog,942
-0.368,piciznntfc,-0.2845,oaoaqfijva,hzdpmyyrex,dOG,-51
Dog,627,-460,595,-0.4355,DOg,DoG
ikxzkcdufr,cAT,0.4525,doiaiggxjn,fxpvtjbsaa,cat,CaT
442,nficpgwjlv,-25,0.127,qhmjgaeeaa,CAT,0.332
fhpgmqnleh,-800,0.4945,245,Dog,cAT,0.2625
-0.004,zkrzmhogju,uopohlgpyi,ulxfjfpmqq,203,elemwzdwbk,-769
0.4055,-0.2245,dOG,-0.5,-0.2265,doG,769
-500,-39,873,598,-36,CaT,0.2925
DoG,ojvdzxtmvu,yxokrmnicd,-0.486,hvnjmqbbzn,305,53
-317,734,234,703,tzrlwtzvgt,DoG,sfcwohqsmw
-0.2055,dog,55,0.0975,0.4565,ivcxhnxtnl,wvdsakbdje
-0.406,zduejyzgzt,CAt,614,jlamlqqbbl,0.274,khysvinalg
cat,0.151,CAT,-561,-939,dog,0.28
-614,665,-502,0.111,-874,CAt,caT
-0.482,xgfxpqlhpm,knqhtdipte,-0.241,-0.0355,Dog,-260
-0.1715,dtfxdfokpw,DoG,-0.332,-0.4095,dog,dOg
438,-0.4775,-0.146,0.1885,cAt,CAt,DOg
-0.303,0.178,dOg,nebizcvble,315,DOG,ayjvabpous
0.0115,Cat,0.2425,0.3055,-0.055,caT,bpeiwbhjar
677,DOg,0.133,-0.0435,qiwgnuzaql,276,-0.1045
xhbheuuibt,0.2455,0.0255,-392,-0.2835,hhepfyfdrz,-114
Cat,cat,Cat,-358,bjxeclsyys,-0.1175,0.308
zribpenqpw,xtfkoolugv,734,-0.297,-0.154,doG,829
yaetzdhshl,djztqfodzc,0.2285,0.2365,-435,Cat,nbwtbitqqf
0.1015,dOG,36,-805,mubutqzvds,cAT,0.278
hhlhkmfwof,0.1835,upqojtcwme,970,-342,dOg,DOG
-62,CAt,dhrksiglki,CAT,cAT,DOG,DOG
Dog,yoougphwgg,0.3865,343,cmbwylwszv,CAT,jyabgwgpsn
-189,dkxrjazoid,217,0.1105,cAt,-0.1675,-604
DoG,qknexfdtxu,0.409,-546,lnxilmufka,-984,-0.055
-0.4075,762,986,htceslleaq,-0.332,-0.407,439
dOG,CAT,210,-828,0.2725,CAt,-98
0.107,-75,-689,Cat,byfwcjgdix,-28,160
mmuaigguub,-429,0.4095,qlbvprxhkt,wpcedsvdsh,cAT,qmrxsfhjle
-596,dOg,0.003,-0.101,0.3275,hwiejqdvpr,hnymraqqbo
ocnbunulrg,499,0.482,ceeqfzpwuq,CAT,CaT,-536
caT,cjzgxykbxz,905,cat,-209,lvozlorxyd,696
DoG,caT,-0.3295,frmgyzcofk,-0.4045,DOg,652
-651,lcxpnbdgbz,ffugqdcxtk,CaT,-0.4225,DoG,-0.0095
qnjgsjhwgz,-0.4185,-0.421,sfwfhjkhgm,dmoybpcazd,dOg,Dog
0.151,eqltzajukc,0.3295,-0.324,whbigisfjz,cAT,jtttiqqfyl
doG,0.172,474,kzqxvwlxxq,-0.3915,CAT,-0.226
-620,nejkgwvxtx,abiojeljrz,-635,0.3875,prhlhdvmjf,wggjxbswhv
0.43,qckelgughx,48,vealupmxeo,pwbgalznlt,cAt,dog
