iogpezdaga,sntogwiddz,Pet,yjfbntxbeb,xxvkcfcyai
-520,-0.3525,CAt,-0.3945,288
65,DoG,Cat,-693,CAT
415,0.0925,rzicpudykz,qhmgywurer,cAt
983,chgwrkibri,Cat,bpklsakxgz,-0.2135
Cat,0.1285,Dog,basbimuwfb,awpvgofndi
-0.1515,238,0.4345,-244,cAt
iykwvzggja,-189,DOg,0.0455,mjyxwmmrmi
0.061,0.0335,0.2045,-724,-0.2
vrzbympdwo,vzveoypzlk,cAt,-463,-0.248
rzuzjjpbrz,0.1035,ajcldivxfx,0.23,644
-358,-967,dOG,ckhocxcqck,-185
0.315,778,CAt,Dog,476
-0.3865,-0.177,DoG,dog,sqeldhflru
-0.1985,doG,DOG,0.109,-99
-0.253,dOg,CaT,askjfaepsj,lypqulplan
omepanajax,139,CAT,orhlrfnxgs,0.1155
CaT,cAT,cAT,-607,ltaqahxadj
vzkwalbuez,jhptnwfpim,CAT,unaifkxdgn,-0.0405
0.0155,tmgfavgody,CAt,tlmeyqskaj,CaT
-0.0075,bhmniccoud,Cat,0.115,688
caT,-606,CAt,278,-159
ifcrrybyqy,cat,DOg,cAT,-0.127
0.0985,-0.1885,ucfaijuvlx,-487,dOg
vrpgdhxrrw,11,DOG,xpfwuwoert,DoG
-0.02,-0.4415,-265,-232,DOG
witopubpnt,dOg,caT,-397,-0.441
dbxiwpbqab,-792,DoG,bzagcukhrk,-0.247
gfszsvqxjm,-0.072,ungiupcdlf,0.1655,dog
0.2955,-0.01,caT,-332,130
0.149,0.447,DOG,cAt,-0.3945
-0.377,0.3445,72,-0.211,106
-0.3625,iuyyihoqgb,cAT,0.109,335
Dog,235,-0.483,-350,uuacfsffbi
913,-143,cAT,-0.3795,zvnfdxkrcz
836,cat,doG,jckjxnexqk,132
0.32,Cat,804,djczenuqzg,-953
0.003,-0.182,doG,0.468,-403
dog,883,gdebrtwtdp,dog,zebcsfkfkq
-842,cat,Cat,-0.264,222
-0.0315,-118,dOg,CaT,-0.0735
747,kphtmjwwqk,cAT,0.0645,-588
frzcrdmeua,400,caT,izmjzzfamq,pssuablncr
-212,jeijpgjymd,dOg,-332,dOg
nfgtwufjwv,-792,-685,-440,-162
-42,-811,dOg,dOg,-0.2495
671,dOG,doG,czaxmlqmua,dOG
duffaggmiq,0.063,dOg,0.3925,qwjngexakl
248,caT,0.3465,0.006,447
-80,hsvqhghehp,CaT,kpcdxbgbzr,-742
