gsuqbdrrut,PeT,xuhzsctxyi,hootmkaxiw,zuwuhshfzc,koczblyowt
lstuiqevsj,CAT,vkjmcfjaec,ohwbklblbi,-79,kjpmuasrtp
-0.4745,caT,274,tuqjfbgroc,0.3645,-536
kppjxhvwuv,567,0.436,CaT,0.258,lzfwmhfrhz
-0.449,caT,zgbuzhfhde,158,fizjbfhecc,1
zhbjferfdp,cAT,-280,0.4805,cxkdpiifol,zfgkonvjrr
vchbukgufp,vzujssyqqr,ymxkshrafp,929,-189,ktsnmwqdht
617,ncatpsabug,0.4245,346,fqlrjuflwo,-0.276
-0.3885,-0.0685,14,-0.2995,255,42
DOG,sxllcomphu,0.086,0.485,0.072,ugrbgqsaln
dOg,DOg,838,nuoctqfbpp,-362,-0.1005
0.282,CAt,napqzoupil,-0.2285,DOG,-0.3585
qjzdaryxax,dOG,-618,gphjzecngi,-0.0355,0.094
-617,-98,0.1005,vaskkorcxk,CAt,0.25
-0.4415,cat,271,0.3205,lfyfbuxlhl,gdrxvfokxu
vasveogmpl,cAt,-0.364,CAt,179,-0.422
DoG,-927,rhnriymsbe,dOG,-103,-494
CAt,830,-191,poihcfoarr,-0.043,fcfrfhgnso
cAt,CaT,236,CAt,qyiunykuqa,nqquoohdpg
0.356,0.013,487,834,-0.293,-0.192
jdtkphsqne,ylvnbtdtbm,ziuxwaksch,-0.1635,-133,doG
-0.0385,0.458,-0.399,ksqpbpoyge,bithxrinlm,0.223
-0.103,CAt,-57,0.256,dOG,hjtpncqufc
0.1315,ikamjyfbyy,DOG,-0.065,vhnpqnkish,-354
doG,CAT,-0.0905,0.462,deezdgqqwz,qeeupcfzav
zuxoecyzvj,caT,cqadjqekjf,megmzhblpg,141,oebiwjxzql
546,Cat,0.264,-0.4375,CAT,-951
Cat,caT,zjrbywwxff,-0.32,bqwwdjarok,cbeojrimam
Cat,ltlurgpshe,ogckicwgty,-839,-218,uiawendnkb
rqfmruunco,-0.491,tbiynhizys,dog,-0.327,ovieatdjyd
dOG,CAT,-0.406,-141,0.2995,-670
mrwbqrxdht,CAT,-0.0155,-0.197,qcqpwlwmns,332
0.244,DOg,0.141,0.23,0.093,-410
-0.128,cAT,363,-0.112,0.165,-523
843,udxvtamqbs,-0.17,-14,yswlrjcssw,rvsdlbnihr
-997,-0.363,pauusmswlv,-0.241,-759,0.334
-501,Dog,Dog,hltkstbvcc,-468,-531
ogqjwwcpvr,DOg,dtsvzfhamv,-94,uyakotccvv,pvrlapvpel
-0.264,CaT,mndxezsajd,-936,bxjytqisfm,-0.0795
0.2055,DOG,314,-0.4305,wrimqwsjkr,607
-991,Dog,772,519,pooyddtyrj,23
wowungucew,Cat,-346,mmgukbrwsz,pjbqoloton,0.405
-499,cAT,0.4075,-691,-0.254,vaqkaepziy
756,CAT,-0.1345,-0.1705,tomxktqkrg,768
0.469,dOG,0.4535,-0.344,yfpfkhmciq,493
-502,dOg,CAt,yomqatnxhl,-7,-350
-308,DOg,cat,CAT,jvkpzpqhgp,DOg
-0.0645,CAt,-717,-570,cAt,196
-0.2795,cAt,-0.225,psrbcotjqd,0.3555,cjzigomqvs
-0.0425,284,0.4235,DOg,917,lpkzvuzckq
-798,cAT,DOg,-503,aaxzmuohqp,0.3145
kslerarcon,CAt,821,Dog,0.1295,dOG
0.2615,dOg,139,82,641,-467
0.4535,Dog,-0.047,-330,0.386,633
sfzxcgymta,DoG,rttifqppgd,-0.321,dfcudqwokx,lprivtmeum
-741,DoG,533,Cat,rfooobcner,-0.0585
-918,CaT,behdsmhawf,-0.2505,280,dOg
jeyddsaqmq,cAt,hwruqxkzvj,qjkylictyt,pazatleivo,zgitarxnvb
0.4145,DOG,dog,dOg,0.182,Cat
