famivxsovb,yxdvkocyfy,pultrvsiyv,kjstibgala,snqxxahlvz,byzvbbsovw,oxcmfnpuvp
-123,-0.268,cAT,0.4835,bczyjmoszd,0.2705,-105
fuqdzpbawz,-413,-0.366,-0.404,0.1465,-44,456
qtqshoqwty,caT,597,mhjfjqmaxv,-0.245,-708,79
292,-0.109,-484,CAT,osctmvxesc,Cat,dzucmbuvqt
0.368,uytlvifdby,0.349,91,CAt,DOg,-0.4185
dOg,669,0.075,dog,0.1005,urdtwxgjbj,0.1515
-629,znrbdxtrck,doG,-0.0115,doG,142,-0.0945
-0.1525,-0.1895,afavdhulfd,-954,CAT,DOg,-839
dog,-0.4725,CAT,yyoizpngpk,ijaadlcfuj,zxjcmrpgzc,439
ysjmpfqdjz,0.475,-0.1425,-0.133,aumgzfvhaa,jqiquvmcir,-0.3065
0.364,zpotorszeh,0.0735,-303,-0.2175,-0.1085,66
kufdosjvim,-746,purnthzxsu,CaT,-804,cqezvzvncl,cthrorypga
0.4345,emugwhgluk,-224,DoG,-0.247,viigqquvyl,goacmfeumx
CAt,napjsyqptp,tdyhugmstg,DOg,-390,867,0.3475
cat,doG,0.2805,339,DOg,gobxagsoxt,0.031
0.3885,-0.328,DoG,DOg,0.154,dOG,0.1415
0.1635,xhcyoftkdc,CAT,382,-0.368,-0.0435,wqdnjhojey
0.0845,600,44,Cat,512,280,-707
-0.278,489,yixndlpzek,CaT,-501,-0.3395,cat
714,228,0.346,-0.3145,dOg,-0.2865,nmbvkepywi
869,caT,ndnhypmjce,dOg,vyfdjsaxgp,ibwwtpgddq,-0.2685
-0.2195,-0.4715,DoG,955,uuefycxfax,-0.2175,Dog
ifpmhgepvo,nhemalztqn,-293,pyqrfugxid,0.0845,izcbecvort,doG
rpbbfqbqkt,jctswthsgk,bufytsnurz,-800,hmoehizhrq,CaT,-681
edfntooidw,-0.3785,857,0.443,CAt,cat,CAT
-0.2815,-0.227,nqzvqkeuzr,-519,-0.382,936,410
hnmnrynhzw,txcphlpxxn,utbnxuqonm,caT,521,874,0.168
CAt,munpdyxorn,-0.3185,300,Cat,tzorrxknyy,-0.1085
0.4265,bxjrwhwtgx,meegndqigw,-292,rprlpzddsf,cat,wupuzbjvlg
-42,0.211,0.1585,cqftrlbsev,-0.1715,-0.033,-223
-993,yaosgorpvo,30,mlcilxuyhl,bltsowclje,-183,DoG
CAt,sagtunxxpk,jpnxyqagau,0.204,-720,xhhbexjtuw,kzhvcpclry
-984,Dog,29,-0.2015,ckhhqksicd,192,-0.165
-0.135,0.4415,mlqsdwrerz,ewyyvxciyu,jnjbgibnth,tckdajvqlo,-759
-0.019,-0.1425,xnqdcwxeme,506,-0.3675,jefvlxjqtm,0.42
-0.168,155,doG,-0.2005,-974,-0.0845,cglwivlqyi
966,ajzbxwnbzg,-318,vdesnzabdw,541,290,388
0.109,-0.289,tlouwewgqo,ecuzejgnik,-130,-0.179,0.325
DOG,frrhvijbln,thmzckatyi,lkbtddijch,saedgvmnpj,0.4455,cAt
CAT,rtxqwtijai,0.143,DOg,-804,znqjxhrlpm,906
nibyjirwkz,zczqghlezo,-0.391,0.0175,Cat,gmmmuuedgv,-68
-0.167,CAt,cat,CAT,0.458,hdxrlyctyd,439
-440,-0.4805,-668,-598,-0.4555,zdbzxcqmdk,217
227,cAt,cAT,-67,-734,-145,Dog
cdisiyivax,-0.4195,dog,-656,rxleroujmi,dOg,-0.2835
992,pchubnzeot,CAt,-0.251,-981,-0.123,doG
waxlezrqko,dyunqmshdf,pbaxorkfhu,0.0725,DOG,DOG,svydtpuwkl
cAt,qxhcjngxiq,-235,0.173,fipyclrgev,0.125,-0.1735
doG,-0.251,-0.318,-271,cat,gbqqravytv,89
-208,whdsguondw,-0.239,fyztwrzjtg,omrjnncmpc,vzimnnzdbd,29
-0.122,574,0.0765,0.085,0.239,-0.034,-512
lmpvvclaca,icicpcdxvg,dog,CAT,caT,-0.3745,0.452
DoG,dOg,dOG,651,-845,cat,-372
CAt,imljlyftwm,dog,lxhlmqtvyn,lgnaemwkan,-175,cAt
cAt,0.0345,ckrdxfvqbm,DOg,-0.437,caT,xdcsenibwy
loskwmtlup,lvvudvquwd,-388,siivjfeacu,-389,-0.31,0.324
DoG,lzxjcmbooy,ykcogxlakp,-0.089,0.4565,pegrqjlcyo,-0.3665
784,lvlgahvwbm,-131,zirvkxrtgc,-0.328,DOG,dog
