htyiknwkkm,anfyicwxuz,yxckgitlgz,Pet,zyjswjghxh
-313,mrcmaxldip,nckedwdehg,6,-0.3245
-0.1875,msdjapgwox,-139,Dog,445
33,0.0815,0.0635,yorvxopmaf,0.2885
-0.3165,-196,vgszeyppid,0.4605,-711
0.391,0.194,-216,qghjtxzolm,-605
lbtgitvlzw,agneqqsyuz,-68,doG,jdozttgmct
762,-0.4925,DOg,CaT,0.3735
lkcncksmsv,crcanulglb,aavffyzsbx,CAT,bdzqanlqkj
800,obklxldshq,0.067,0.0135,-0.179
-834,cAT,zxmcpwpdap,gfiwixxwzp,0.0225
-0.0185,95,686,doG,ozoytoqlwy
czxoncbvnm,0.2695,CAT,CAt,205
-0.045,dtkofeislb,427,uigjsmjlev,ximhcdmvtl
dOg,eqgisxnnqq,-502,CAt,-871
-326,zjzsfvltxz,0.4625,0.437,0.3835
-0.153,wkjeybxtlk,rfnhpyeyzn,Dog,czmwidoiii
vbeuidyxxt,-0.2,-0.37,cAT,-0.4435
dOg,0.0485,757,doG,0.0685
fhwykxziwb,19,421,cAT,0.106
-0.1935,CAt,0.098,cat,72
0.0465,-0.0745,bpnxeyyhmk,177,cAt
dOg,mdqptrjepx,Dog,cat,850
sclqektogk,kvhphekjkh,caT,cAt,-0.1165
0.1535,wanhyhcrkr,574,Cat,imkfpfteuv
qnmgihiodw,0.4045,441,dOg,oyitrwdkhf
hyaqyvqohc,309,0.036,CAT,bicwrnitwp
-0.3155,-212,672,-0.4705,-61
-0.451,-0.0875,-0.1545,dOg,0.087
ecivyiowsn,0.4335,ciboasomzv,caT,274
lqcgdiurpw,DOG,qrdkygrhdn,DOg,-10
jgdxosltoz,-882,810,0.3415,Dog
-0.399,bshkkxzmuk,DOG,0.3185,-170
dOG,Dog,bbfizeiqvi,przyottwkx,569
-425,fouqrvxdai,-161,qcgopawcze,zertygffph
804,396,bsjgcodagg,doG,CaT
whsjznxtxz,yxwqwcxkvj,dog,-169,doG
0.2705,0.226,fmoxzmmzij,-0.292,252
0.0425,-772,evohlyyvxg,dOG,hfnujfjtci
xgztkvttet,-353,-127,dOG,0.0335
654,wapgzqskcl,-1000,bouscmeoay,tobwkkeyte
DOG,uoespwgzct,fyrubpgvij,cat,lwrcngmpni
-0.448,0.351,-721,Cat,ucshtjmkbv
-0.211,CaT,-0.4015,dOg,doG
284,-589,altwsqrlbf,dOg,-873
