gnkknyqift,jhbprrxqxn,tnjhvmtyaq,iwynfsqzhx
-0.444,-564,zpfgxtbeqf,-0.2305
owuyinudqj,601,876,-0.1
0.37,0.204,-704,miqssudrim
-0.1965,-600,qnwaerzfbb,-145
0.232,uxzzssotnp,-0.2375,-0.339
dOG,103,CAt,uorjnfqjqe
cAT,vpeydzedzt,ijffphgfau,116
469,bnbbrywshj,295,cAt
cupmuvtjgc,vcrtegmbcu,mgvznemeqs,0.499
0.361,xtqpqfhlso,hkwytioihx,vqqphazkxi
532,cAt,-479,doG
xwahdmlgja,efnohhntgk,0.123,mfetwtylme
271,-323,-0.098,caT
-0.138,wjepyfidcr,202,CAt
-832,dxctplfkhi,hyrgsxhfap,-824
0.3955,tyuicluisf,628,-648
-636,393,jcmujkevig,-738
mlwesogmrm,-0.453,-0.0045,novzhiskpg
zkvblohcuu,muwlnmwcno,eetxziazgz,rlaepgvnyu
0.125,-835,aeiizpnevt,cAt
hjwmlxgyyy,cat,-969,-33
-19,-297,ogbgfwshlg,337
CAt,aihsqstkcw,-480,0.06
bpcqfzlpfa,qwmlohdwmc,0.4345,-490
-605,vklwbazjdq,olgsazizxr,DOG
-647,0.0855,dOg,dxdhrwamso
-0.406,479,-181,usqmstrdpt
0.253,rxvlqrwiut,-0.4805,Cat
-0.448,669,94,tzfisfvxfy
pwikxkumcr,-484,0.477,-0.2605
-649,cAt,-911,sszurskvoy
0.108,dOg,0.429,54
jfmupmuvom,0.1285,dOg,-0.465
lsajpkhusb,-240,805,hjlmhgtidy
lebbqhsugr,-0.439,877,505
423,wngbzcyqlz,0.319,-659
-623,-0.227,-115,217
-288,-0.099,-0.4685,hjckfrzfmk
-277,cbywfbjsnm,xwtmbcggdg,0.133
-0.3615,mvrjirhmrs,0.2925,doG
