aaiakpsmvi,pqhetgjbnc,qvfurmcbxa
993,-707,bxkubslror
668,-0.196,-0.211
hkdlrpzylq,cAT,hklolykdub
0.32,-0.1115,lfeoqwhtzn
DoG,396,319
dOg,856,caT
877,-0.21,-602
doG,CaT,zbnqnhzdhw
-0.34,caT,-0.351
-0.279,-0.228,jitqjgdopv
DOG,caT,-584
cAt,-616,cAt
-0.15,CAT,Cat
884,0.1525,dybafquzup
549,zjdgvkkuyw,xwlpqtvaba
239,dOg,-948
mlsqwktdco,cat,0.484
-384,62,-0.026
-622,stuuledujo,335
qvjthvnbpl,-0.458,ehnshyzvyc
oieiuffvvd,bvkmywoqjz,-0.0215
ucprawfdwd,42,0.344
CAT,-0.0415,kpzfawuwaj
247,0.0405,hgcdqosegw
0.3985,-0.398,CAt
-0.0935,0,-0.152
CAt,982,aisdntqgsh
161,-0.085,tdlhejldub
0.3025,nffudemtwe,cwermawzao
caT,0.209,-0.3335
-536,robtvxreql,-0.1745
njdrktesjw,vgkeofoxjj,600
-0.3585,706,301
651,alxaigjcvv,-734
0.359,0.2855,ubbqiervnj
0.196,862,0.4485
-602,izqrepfclo,0.201
tcwkemfgnz,-0.334,29
0.3975,433,Cat
qneeimtosd,-353,-491
dOG,hksxzamekl,508
aoqihzwghd,hxcjrtvnux,729
dog,DOG,37
-399,cAt,CAT
42,qhovnuuxsb,mkjkctnxbs
ovqcicyqfh,615,wqhcljccey
-0.4045,0.214,-184
-873,vbunxbufei,rnbcqvhngw
-0.015,dog,cfyxwamdnc
0.366,-669,gjszmomvqf
-750,-356,-0.311
-0.4875,-0.102,-508
pmvjgnyfkh,cAt,DoG
doG,olknkceewu,CaT
mwyjqttbnn,-922,-0.3975
0.3355,dOG,776
-826,dOg,wjfymrsmef
xpgadxmatw,xcqrhfabbh,46
CAT,245,-33
CAT,jhihrnyuwq,-530
-653,-789,0.302
bfdgjshiyw,-788,CaT
fcigvtcchx,-0.484,DOG
caT,33,DoG
0.2755,mhzhzxfxzv,Cat
-0.0505,0.433,Dog
-690,539,cat
-0.378,-0.492,dOG
dOG,-0.477,caT
-784,148,noyvrvteyv
0.199,-0.3815,uweyetsurn
doG,-805,0.4925
-0.254,714,CAT
-853,dOG,xrkrdqojzp
vhypzthers,uhlzkiwfby,igmkxilkjg
lqnvefqoyc,976,CAt
-81,144,-252
caT,dOG,dog
162,-921,-0.268
-703,doG,-507
tvbhbkqise,209,lvoipyihvp
ldbkuywevl,-445,cAT
DOG,doG,brbbtzugie
kcosfuddka,0.1505,206
-826,-37,CaT
-0.1445,dOG,myfrbtvizt
0.2965,0.0995,0.143
fdnxmsnwfw,-0.2325,CAT
-0.173,-0.073,cAt
-0.4135,tdeyfimczn,doG
0.3365,-437,0.0865
yqhughyecz,jrowzhsvup,rwlsimwmyq
CAT,4,nfbcvbqkzx
-320,0.0,doG
tthptmbixu,0.3415,59
-0.024,0.469,845
-713,asjnohaesg,DOg
CAT,-0.0945,201
-0.4755,lduiejzuqg,-570
