PET,iixlsywjzl,afuqrwcdbd,zsnajjkmpk,yolisgvfmi
DOG,dOG,pysmrazowm,bljkhqhfog,alsomnaslu
cAt,doG,sngbsebsis,202,-220
-79,0.239,ozbmvaytxv,gxnwpuozkz,eplsitxmsr
Cat,297,178,-296,0.4535
-350,bowlmwwzfl,-0.363,-0.3825,0.1155
unmqhzeelk,0.3975,-0.363,mbgwsipggw,-0.4495
Dog,exksibfrsj,-0.4115,0.415,lqaweplkhp
DOG,584,refmbwrfzr,DOg,0.202
cat,335,oihfwxyizy,0.039,rpnrtyjivh
cAT,989,-0.227,-369,DOg
Cat,0.167,CaT,176,828
-452,saxeqbiffy,81,ujurywhdwq,441
DoG,-0.3725,dog,rymegblciw,hogkdabqgs
doxhzmmxdz,-0.057,137,zaxicnrcud,0.2245
Dog,csyyklqevk,DOG,93,907
cat,fzbphcjzwk,912,fyhbgfvcmz,doG
-433,xgwxuzkecq,-0.302,CaT,0.171
ihoairifhs,vhileiyfwg,-825,lirpvqrhjw,cAt
CAt,tybnrgdecc,caT,0.3145,CaT
cat,-647,wlquoqpbsx,cAT,ogedmnllgk
dOg,748,-0.0405,-598,99
dOG,-722,0.3445,fjtcreauhz,bfgdmgzqgj
-545,ottsxdbmni,361,341,0.413
