vmwbcruold,PEt,ozigsdyuam,tbjtfqobgp,rrxyprbswt,wfluspmude
-320,dOg,dxhjzvyhyq,0.3625,0.104,qciomywjpy
dOg,176,Cat,yqcspwpzoh,CaT,641
-55,Dog,cAt,-812,ramfiydwxt,rdntdxuceb
osnfuhahjy,-445,wklltytodc,0.2085,flvbdyasow,-0.243
331,-0.4465,-867,rvtxxzihiu,dog,-1000
Dog,dog,343,wjwhbppizr,-0.0145,qjukxpovte
ffridohqhl,-771,-93,jbgdigrbyb,672,-0.1285
-0.0455,CAT,842,cjsqdlnern,0.095,gvwletdnlj
-0.1685,66,ushcyfdgik,-0.3485,cat,-832
491,0.4015,16,0.349,bchpxapisg,kovinumduq
doG,dog,kxbdohsxgj,-0.4065,rjbbsajact,shheplmgfh
rlolmzsupe,DoG,doG,-0.1425,aazimzcmjz,40
0.136,caT,-419,-0.4675,-0.3765,970
CAt,caT,dsclwxevij,eucpfysrzs,-498,-0.0065
vkccunjnec,dOg,-0.2525,itoqivplbi,uiffdfrstp,161
0.445,cAt,-347,-442,thoxjkwowt,fbuysvykoz
cAT,cAt,hfkmpgxwkh,acwpeahsez,-409,414
DOG,Cat,0.081,0.154,0.172,177
wqdjbdbtoy,DoG,-0.234,0.4065,-271,-814
0.1225,CAT,-164,436,wiqwemetyc,gggmczdyru
xddzjbxbds,doG,0.146,-0.4055,-0.253,0.387
0.349,cat,mdahiiiacf,0.448,-354,-583
lswjcvynhd,-743,-282,pauvausopu,cAT,wpxvmwjupb
-253,CAT,43,Cat,-0.007,0.4715
19,Dog,Cat,0.486,0.0645,Dog
-101,DOG,gtrfikgutb,-772,rkenvfdtda,rzpjkaybgo
javvcnlbml,cAT,sytftyjsdr,274,-0.487,xrfruvjsce
592,DOg,auewwkfrei,abqcyptnte,-963,0.2305
11,859,DoG,-396,-102,mrunzklnne
0.3235,cAt,377,531,ngdjyxtsib,idivzfmwjq
dog,-0.0505,-329,0.421,866,cekpshdohw
mybmzclhtl,DOg,mscjrolwur,yslftvsaix,DOG,-231
0.2175,-0.228,-588,0.498,-0.348,575
rjexkbaqxg,DOG,bxqqibageb,446,cat,75
-284,dOG,0.3635,317,dOG,0.2885
igmyxsvyyp,CAt,doG,dhjwrtiwqv,-0.081,0.1745
lstmrrtdqw,cAt,-296,590,898,nxpdqnogua
cbypoignth,-0.018,665,eucxndkeuw,uamuatkwvt,tlxvrnfwnf
745,dOg,0.439,515,556,-0.4455
434,-413,-91,DoG,473,gazzceofri
ljfthjjorn,cAt,wdtkqjjkkn,datgeicxvc,pahcwwskwi,hwudfeosgi
-0.0355,umjuvnuyqc,DoG,-0.137,-0.4055,caT
-0.314,CAT,0.035,cAT,doG,wjvgqaurvf
caT,DOg,dxqwdlbona,-850,75,DOg
qlsrazwovu,239,730,thfwadyutb,-919,CaT
Cat,-0.0445,0.2155,jzmexdfnnl,0.472,-842
362,Cat,-247,0.1505,dOG,0.3285
0.398,DOG,zhqukktgef,-0.2515,0.45,-833
uvcztejbuu,DOg,0.09,-506,cAt,cAt
0.033,Dog,cat,smrqljybop,sqxjfoydwv,ukkvutnayz
0.1245,0.0125,-349,ikbnubdijz,lwmitcxubt,224
-389,241,cAt,-0.035,-0.426,598
