jeaxhiyljf,natdurwmbk,dbmventtmw,llcrcdiwbb,Pet,yxulhfoajz
gpyjzkyddn,594,-0.127,-902,DoG,dkjpgdpnfc
blljopgjdf,0.045,dog,404,doG,caT
406,-0.1895,836,oqaindypyh,dog,258
0.4975,0.316,387,-177,0.1905,CAT
-515,iuscxmqbei,ksimazsrep,dOg,CAt,615
319,0.274,Dog,63,cAt,801
84,-585,709,kcxyhgdpgm,Cat,-0.14
-0.177,vvtxtbyjae,caT,-926,hpkjsbuedr,fvllzutxcw
voorsgbctb,-898,Cat,0.365,-480,-0.2585
dtfonhlswy,dOG,lplnqdgnip,cAt,DOG,CaT
vvkxsvksts,-218,cAt,scslatxdwe,-912,713
0.0085,bwxmnrtjry,vzhwmlgreb,235,CaT,dOG
Dog,-611,ocajwgpume,999,apleibjywn,mobigfpckg
-466,lldhmmffdm,lgkqrjeemq,ayivlvdxdv,Cat,22
CAt,-624,zpvukpcrnk,0.3015,396,cyvjftbkjv
-143,-180,bxxtfgqsjq,kwrijvtjcp,dOg,lvvisphwqm
DOg,rhkkisgevd,gpxrtprrrq,888,-975,CAt
gkvvzxzrrc,0.0145,krmekpuyon,uacrgaszdg,CAT,cat
0.2695,-175,-0.361,cat,-765,xgpancywhh
-35,0.063,caT,0.0875,CAt,nlgntkssnc
-910,0.0125,-0.1135,-346,cAT,0.273
CAT,-0.4975,njgqacmrkj,ticotalzqo,763,mkhcxvqthk
cat,Dog,Cat,-828,0.2175,qjvxmnigms
-822,59,DOg,481,odkcoadhqn,-935
-209,vteurllquh,0.287,-0.3155,caT,qdsawoxwyr
-336,-0.4495,-0.09,548,cAt,exhvxkxgfy
fzqvankpni,-0.498,tmxgtkgleg,0.4945,Cat,-0.126
cpejhlobgy,0.1685,ylczupducq,jnpdehqtzr,koxhicyyje,-0.253
CaT,-0.198,0.466,800,cat,0.0565
tpzaarxcnd,yalrovxxlh,jtqzhztfpf,-0.4335,doG,uohnpqgxzh
-554,-0.3355,aygohhkdfg,0.392,DOg,kdmbugcnca
0.3995,-819,-891,-18,954,dpwefnfymj
yoxtdzzndl,-0.206,-0.2575,0.118,CAT,wcccdefzxa
-157,504,Dog,nhkqoxetde,dOg,-0.068
0.054,avhgattavr,0.1285,rlkqprogxl,cAT,-0.0265
wquqfuywmp,259,dOG,zmuaxejhue,-954,-847
-201,-811,0.2005,597,CAt,-652
-0.398,285,963,tukqhwckgd,Cat,Dog
-0.4615,srrzyfevfo,rwxsmkbhfa,nqiygncesl,CAT,-0.1885
Dog,ewkksfnjxu,0.272,CaT,396,jrofzcahel
syemxmpkju,gpzlzrdzng,CAt,-542,845,0.2345
182,0.322,caT,0.4215,DOg,658
cat,0.39,nqqyyevbaw,0.331,-170,CAt
372,CAt,0.4675,0.385,-0.2975,366
0.296,vitipuclon,DoG,CAt,caT,228
-258,DOG,0.025,lkmzyyurnp,cat,aldvevkgqa
577,-0.091,mehneywyyf,-347,dOg,-714
0.3425,DOg,45,0.3775,cAt,-0.221
ztztcnlsae,DoG,0.4705,lxnuhecdjr,Dog,-619
ojjwswxqdv,Cat,-0.0575,yvjitnoozz,DoG,-187
bspesjyxcq,ghasbupyjh,pijgxkfamk,cAT,0.256,-0.2515
-0.266,-276,izjqnpgmyu,-0.0025,DoG,824
320,iypoozbnfw,hobzlzcpeb,-744,caT,cAt
45,477,937,gopqtpkmet,jytqasdxwo,-0.032
CaT,sezdxlxhza,lqyjlugyuh,fkyuzfoyvi,CAt,gvbigtzutx
zzrgpzztiu,arjtakwohd,-0.496,-0.1295,CAT,orndrpsqtk
wmttbthsml,0.1455,kxdjiinhvq,0.2225,DOg,-876
dOG,CaT,pxxsjmzlul,0.2725,DoG,Dog
26,285,vxygtfrjjd,0.2165,cAT,xfxynkbzxd
440,-0.4835,sgdqswjwtw,ltqnewvjxe,CAt,bgigzdlbpz
699,-621,emkjijbeaa,-0.4495,CaT,DoG
gmwoiqvvev,484,301,vkgykrqxij,dOG,0.452
0.2845,651,kklvjhsbqi,-0.414,cAt,-0.282
-934,480,dog,CaT,DOg,392
-0.086,-0.077,uffmrjtuki,-0.2015,Cat,DOg
DOg,CaT,424,-0.2345,dOG,caT
rmzkpiwfrc,-884,dcfwphxibo,CAt,cat,-32
0.11,-0.076,0.0655,0.4475,DOg,-736
0.262,llctnwtsuz,286,yqxeejzmdm,vfnguqvxpq,CAT
sjguccmzky,cAt,899,747,jsprrkdcmr,-0.2845
-815,990,-0.4785,0.266,caT,-330
302,Dog,-844,0.4395,cAT,-0.25
392,iergvopbng,0.1725,-0.467,Dog,nuxbpggjuw
aogxavbfcx,0.3365,435,-949,-0.4325,-533
woncbbsjdo,0.371,rtlkffzkut,865,dOg,-743
-0.0535,wsqcgpnfvx,dOg,qvtuhgoaxo,CaT,rgixvinlvo
DOg,0.404,zeutztpmux,zapwioeses,CaT,DOg
cAT,trkzbyvcwe,-17,qevdqxsaio,785,0.106
CAT,Dog,0.0425,qhxyfkiioa,dog,-0.073
guqniurvjt,-25,0.161,-0.266,cat,174
aryjexgjrn,zkaycdkjfl,845,Cat,CAT,DoG
Cat,Cat,maulqyljwg,0.4115,-0.212,0.496
jrsjerigxn,-616,yzqdfgaxvu,-582,tjezqpuyel,-627
0.1765,CaT,hqzaxqkriz,byzhwlexks,cAt,CAt
qwqkmippom,tpcwdbgmtk,942,zpyqlxrbwl,doG,abbqcrwcho
191,CAT,-741,wrjrqlhzaq,dOg,regapbjxwt
ladyoxeisi,-0.058,-0.274,ctngfbilev,CaT,expctbfddg
454,DOg,escyfhjzkr,DOG,vozcsjekrh,653
fyvfmplaiw,434,-0.1885,jkkstwuakn,CaT,wdyvajifol
-0.5,0.1845,0.391,-0.192,-256,dfwjkptsuw
