qzevbqhspu,cxddthjfia,tmhbykmpsu,ececcwfvgf,fiprzfkzjh,dywycqxhyt,pet
mmakhhkeez,DOG,DOG,386,735,-0.4895,caT
cAt,937,rpxzoqpmiq,-545,-0.131,jqkvdlfxhm,dOg
waubmilyrs,caT,543,-0.3375,echotwhkxg,osasfxpgty,dog
804,871,294,0.472,dvqsipienn,pmvebzkmgs,mpyltucacg
220,sftnenckyr,kluzxfcjcl,-0.378,yltuzhqxpj,-946,dOg
1,cAt,CAt,-0.168,-0.107,-398,dog
thqnfbrmtd,0.1555,CAT,0.382,-0.0365,tekmdphzbl,DoG
bqhcargdfh,-0.1365,hvzldkpvgu,zenadpbfom,-0.1785,esjkdpznue,Dog
ewxiamuhik,fnyrfzjaof,0.2755,cAt,vznmawhtvi,0.4495,cAT
343,0.359,DoG,cAt,-499,134,DOG
nydeqfucaq,CAt,-0.307,doG,-0.331,0.2075,cAt
DOG,-0.455,-0.2105,Dog,cAT,CaT,doG
663,Dog,qphuoiahpr,0.195,-566,atxojwkjzp,DOg
dOG,caT,gyprilwkhh,fmagxaocrg,zhjctoxxtj,-0.0755,CAT
-284,-106,-0.105,275,-122,doG,dOG
320,-108,uxtcyxrlxw,elnmpksgfy,-0.4015,gctnnizlah,DoG
Dog,185,-0.4885,-40,qcdejgapdl,-451,-0.339
0.049,qzjvqahnev,-176,-58,47,-0.306,Dog
-0.037,fmquqmamly,0.203,-162,980,oyftiaerhb,-297
-637,ebvrvpuxyy,0.4155,adlifldspa,0.3755,DOg,yhynhpysfk
bfccvkqpei,-271,-0.1105,0.1945,ivuqmnpvfn,-895,caT
lzfdmmdspq,ejigerqepf,-905,dOG,811,994,axfjlbpzsi
cAT,-593,527,qifrttyhqv,-0.1805,-888,dog
-0.2275,-318,caT,tvpdeswtuz,-0.0575,zfskdyymav,DoG
-916,0.3785,wulkrsnbiw,0.0325,-0.1875,Cat,fyzznxfvkr
715,DOG,-0.347,0.062,CAT,yzocmfowdl,DOg
-147,-347,-482,owsrmhgmil,-582,zxcterjfts,cAt
-0.074,-0.3925,0.2405,458,0.025,CaT,dog
dog,-0.4475,DOG,DOG,0.1355,-324,doG
-0.1985,alanejduku,-0.0535,-0.241,puzgjbpzkg,7,CaT
-853,-0.4385,0.26,-0.0915,mpsichplif,719,DOg
61,hanngiduyo,-0.172,0.3135,bvdqrsxmsv,-0.0635,dOG
-11,xcdmlerhuh,-0.233,-727,zvmlhgvbuv,393,Cat
