qckqmvzhcj,pcufyndjxa,zubpwjftmi,pozjalwweb,vbdeaiczsu
cAt,Cat,-0.328,-0.042,sicwvctudr
Cat,-0.271,sdftpkafux,CaT,0.239
DOG,75,cAT,bitywerrvk,qfxgrsykwt
DOG,445,uvpzxepxmg,664,CAt
-0.347,-109,Dog,kunbsvvnqh,DOG
674,166,0.1265,caT,-367
273,CAt,mjzfmrrbzw,-0.437,-584
Cat,-506,wzcyjyqxhr,552,grnfzqwnev
DOg,mfoqlovifa,0.414,0.136,0.0255
-0.109,542,512,0.087,0.017
-312,-583,0.101,kgwhvpdoim,jfyvwrxprz
328,-7,piaxffwbyf,0.2835,rotcqsmijv
902,758,-0.395,0.204,0.498
-0.3925,dshfeqylph,kiynujusgq,omaywpsrqp,ehshmkmyof
