nnaweqlhpv,pqhfxncamb,njaldflnqy,hyokfmgwju,PEt
DOG,732,jmbrgrefxw,-399,CaT
DoG,fygsrxsblr,212,DoG,cAT
caT,lswahsphjc,-0.1725,xdetwsyrgx,cAt
496,vnrxzsyszw,892,fyeedfzdec,DOG
caT,-292,-357,0.249,dOg
bsixkieews,rawsxselwh,13,cviklconrs,cat
-241,dog,0.2195,333,cAT
-321,687,270,-622,-944
-0.039,0.123,-0.307,evbeuvlwok,-63
-0.3005,doG,-489,DOG,caT
0.122,-470,-640,-846,cAt
-0.1525,0.2145,-0.1035,pvpykrpxry,cAt
-0.25,-0.381,dog,996,cAt
978,zzhwlswpqn,frusjaftpe,70,-0.095
0.0515,188,zpgydowass,-725,ckhftxdqbi
0.186,-0.373,DOG,-644,-0.1045
-0.4565,sfzhykebno,0.0055,gxsahlkgll,CAt
410,0.0625,enkmdroiyx,sadcsbuion,cAt
dvfjpigsxr,-189,0.305,-0.2275,dog
vlxirjysjk,-0.374,cuxfgodlih,-0.1295,dOG
-471,0.4735,CAt,0.2535,-0.3525
CAt,-0.1425,619,-0.3025,doG
-627,fbjvramekj,nanwcyomtu,897,caT
0.3915,0.0635,0.487,dog,DOG
CAT,-196,934,-103,0.092
igmstkmkth,CAT,ocxxpcxtmg,vuyhzycjuv,dog
wmypufnrna,0.042,CAt,viriricnae,DOG
cAT,iilndvasdj,wvddwrjosh,-0.239,DOG
-725,ruabtzrprt,0.208,CAt,DOG
Dog,cfigasrbec,ruhmizmvdp,hwqqxhmooz,doG
874,Dog,cmieztbrhl,784,CAt
-0.0235,672,0.409,131,286
0.0875,317,0.403,ljstkncxer,-818
547,0.361,0.1115,-0.205,dOg
qudbnjuoue,-966,uznzyxoyxc,loiabgkwuy,caT
-0.125,nvhrdvxjrn,zsvngekvbp,daqsuekryd,DoG
-0.395,40,0.1025,doG,DOG
-890,271,Cat,0.152,DOg
rjnafgjyyt,hcavqctrgm,otojvxbsln,738,dog
0.421,DOg,-53,xfnpukeutj,-0.1115
