rnwcpeehhi,ezqmwqekpg,wfsejgtsnh,aekgqgxxas,bogovtppvn
0.3425,0.017,swkrvshwhw,unkfylvmrw,323
CAT,CaT,-0.2355,mhfqnggyjc,nzzopsazzh
388,0.3635,-0.027,CAt,jsjfubbamr
443,-0.0325,-508,0.1135,0.0745
zedgeunyow,-0.2825,ahhmnpimwd,0.2395,-0.2805
-0.0925,Dog,596,252,lrooyfssht
483,cat,0.27,uovwrngfbq,twuepumwqm
340,tptvaqcsyw,729,Dog,-170
-132,-0.0075,674,-651,dOg
-410,-0.0775,400,-503,dijzcqzlht
xbnqfkhiyq,-123,cAt,qunmgdrzqf,wvprhqrklw
cAt,jryptjhfsg,caT,0.3525,-0.4075
0.1795,-372,yoiarpebto,-0.2045,240
-940,-0.2895,doG,cAt,996
-442,0.433,-959,185,advjduwixb
0.4815,ryzcjgerqx,-787,DOg,-11
jkltinnrfc,-0.4745,-0.4185,uimxomytrw,-825
-607,639,-835,DoG,0.1805
547,0.295,444,0.4595,-850
hiotcnyyqk,0.303,0.35,690,-658
CAT,szdwietpvl,0.358,DoG,0.079
sicezcccob,-0.459,-735,156,0.27
voxunevqwa,-0.1685,-264,-165,CAt
joqffsgogx,-879,dOg,DOg,-244
DOG,-405,cAT,nwbpirigwj,dfxwbmmuwf
CAT,-0.189,-397,CAT,DOG
0.438,cat,uvookfrgkd,xkwgmocspt,rwdwwzzqax
-333,qowgwweiyb,bvbavwvztm,plwbhleytp,0.4835
0.117,dOG,-0.0975,83,-0.439
dOG,659,0.12,-217,0.482
mxeljedzgh,-0.4585,rtfnlrszsj,CaT,szeoicsgjf
-557,mlppeqhthg,403,ngumyjbzns,dOG
DoG,-734,doG,ybcyxmpwbm,-901
-129,CAt,0.344,90,loacxgjqrq
-0.3185,31,7,0.0135,dog
wcbxzyhrup,cmttyruokg,gufxpifnkl,0.4445,0.291
465,Dog,yphggtjuks,-156,Cat
ofwwksmlmv,vfoaxlkslj,0.203,-0.1825,hisxxyznmr
mownkuxrit,DOG,429,zzllgicnss,-749
xsdzwjsxme,-0.36,xbiawpbxdr,ywisrhtobk,998
DOG,0.2855,-419,-0.037,sfsfrojbfo
zpwbvqxovz,0.0765,-678,-227,htybhpjtyu
vbqkkwtnst,caT,-0.22,870,tpaapphqnp
-293,Cat,jpsviyzrbx,-425,-163
0.38,0.4915,-94,CAT,DoG
gvescyjvxt,DOG,-128,234,-767
-0.1895,CAT,CaT,dog,999
-0.11,-0.217,xsbhjllctq,ljxtwcldyj,0.433
349,eecjhhmetf,jyxhhpcrzp,epugpbunls,0.2815
yqvzhftpse,0.321,0.1965,0.3095,-679
-0.162,-0.435,eiuweebnvw,dsikhgwybl,0.4315
-0.416,jmjloddbxp,-589,-844,Dog
tpirijbklb,-0.4485,caT,dog,0.356
duzvgdkyau,-0.24,-0.2715,-948,0.032
tazvzertgo,pfzcvrfgup,dOg,-945,-191
-180,0.047,dornhrbmts,DoG,31
-112,-389,-0.3605,-0.327,cAt
CAt,0.372,0.035,yitflcgwmp,-0.336
dzqhqpeeip,pjttwicehu,-784,413,smfyplouaz
-466,-734,-0.107,dog,cAT
boqtgpfmer,-920,gzpozapehi,-0.1445,-0.084
-26,-0.038,-159,-47,nhztqztkxq
0.394,yohjwbczmc,-0.0285,DOG,Cat
-668,fxzyrrkesx,DOG,0.4305,caT
0.4745,caT,-337,-371,-618
0.045,wlcjutovtr,-0.0765,-0.3445,dog
-0.2295,hwvfdnvcwr,497,-8,dsisihjcni
vxrxelqbxs,190,zkhbbueumr,-0.183,ahqybdinxm
0.464,0.261,dOg,0.4825,-389
985,lkvftidlws,CAT,-0.0355,188
jggpxflahh,837,-98,txaacmxufe,tsqghomcxw
-502,uvzycvacjx,-726,0.2885,0.325
-705,0.11,116,fieeranncf,334
cAt,dOg,-0.049,-0.0435,DoG
ngnjjmuiqf,cAT,0.1075,cuamyzhvpu,mhuqacyqrd
sleitqacmb,-254,-0.2145,-260,-312
-0.4915,0.1105,-957,-0.2565,dog
-0.2125,dOG,xqnznknsaj,hfcjdnzafo,-0.477
CaT,kttmgbuaak,trsbisamtq,-0.2775,iitnewphls
itafcwjafq,-0.4265,0.265,uzyxrkuwkb,kcgazrbbja
CAT,spvlfxqshc,-178,zjhlhvelhs,Cat
-0.241,-0.1825,mxbdqqfkct,-299,-336
-0.194,-993,343,-994,cuimzyskay
-388,-0.003,-0.1175,DOG,qaalizxdzj
203,-0.3415,0.0185,cAt,Dog
doG,xhirjytlzw,otrkjqxjlq,0.2615,xeipaesbjk
oobuelxgky,CAT,CAt,0.03,omnokrbbpc
-0.406,-0.134,cAt,txxumrnstr,jclixbwkrj
-783,cqwszdyxjj,hduhowjjjy,tmkqsmksse,-0.038
0.46,CAT,jwmcsbsttt,DoG,dbwrebbcea
