kpdbvfjrzt,apxiyupbbo,PEt,hzfkqjcknb,grwwognxry,yrgeqrqzrd,lllxjtdzrd
394,0.0505,dOG,0.283,uurhilphzu,jssbplrrnz,-0.069
CaT,DOg,cat,dog,909,wpftacgyow,dmyrcbhvpb
rnftqhtaka,Cat,caT,-600,CAt,-254,50
dnpyubgqcp,artjlbmgqf,515,-0.1315,cAt,dOG,mdqvehdkkn
vnwvunoueu,-0.096,btrqlrgzjg,0.404,zzgggwmlxd,zefwczrres,376
jzlxudnzeb,499,doG,153,qxtrefxind,733,-0.068
-236,piosuyomky,DOg,DOg,752,-0.194,lbqadyxcxc
0.1735,-95,cAt,cat,znvuclbpqk,586,-396
563,-0.1995,caT,dOg,scqwgwkeob,-0.1405,-0.217
-0.111,323,Cat,caT,0.0365,qbwjccusus,528
idosydriep,-0.012,caT,dcdbqqcptm,ioefsuozku,tnfiygaxvq,524
541,nnjvvfvxww,jhnfrtgpnw,zvhrjbhvdv,ondafxihck,beaehfgfjg,180
-8,-185,CaT,-707,-913,wwnetmmmle,-0.1275
-0.272,-0.384,Cat,bkhodnrskg,cAt,oqyuautlws,0.211
CAT,-0.269,CAT,Cat,-276,0.049,cAT
0.442,0.3595,caT,0.2775,0.427,CAT,964
0.4335,-0.2665,0.402,-0.1405,659,djrgwooqbq,fabqdpdodm
60,-0.123,cAT,0.285,-472,0.2685,jyxwkceviz
-0.1305,CaT,DOg,thlcofhmfr,734,-0.319,jbgdbsdxap
813,-931,DOg,214,-0.0575,dOg,0.344
-67,CAt,dog,aohbftsgsw,927,0.2805,0.159
DoG,-0.0045,dOG,-0.257,jxadveueka,nvlxhojbku,-0.338
0.483,dOg,DoG,-639,oafvtnholp,201,-541
ufwxfdhdcv,850,frwiejapbt,aqhksxqcnl,0.0025,0.1335,Cat
-951,otiaaeqqks,dOg,0.3505,oymfiuglql,CAT,-0.334
DOg,-104,dOg,-879,ohsauqxbrr,0.0885,jivnonkcfy
zcowobhjtt,-0.2225,Dog,0.0185,0,-0.3295,-0.479
-0.13,0.4655,DOG,-0.114,-388,cAt,Dog
fpmbsfliyk,0.431,DoG,-0.3295,aerejqbnba,561,0.2435
izkvsfawzm,0.168,yfnlnkpmqt,rhoehcexmd,-0.1705,-0.1595,-130
tdjfpzktim,-109,cat,965,-443,0.3675,0.086
cat,DOG,cAT,edcdbvffci,-0.2135,-0.1625,Cat
ggnydblzgl,-0.0585,CAT,653,-0.2655,fbyfpqdcry,fzvkoinbnh
-268,Cat,Cat,-0.409,Cat,mtcmcbajdk,-0.1165
0.445,wqhvndgjjh,dOG,783,ebhwjspylr,-0.294,-861
920,tluuzbfivl,fwpeboksri,-0.031,992,-112,dwdpdlwkka
quhwqxwydo,eafdnwiirr,-85,CAT,jeagfzpegc,942,0.011
-0.297,-0.3275,dOg,-0.43,omsmfbrdxa,DOG,-0.4085
833,-142,CaT,-0.061,-58,ajjteolvko,-0.25
923,795,-775,riqtdgrmat,776,uxwmfpepsd,-618
0.2945,bhvrciykky,DoG,739,vuucgezxeg,-0.4135,upnlyrtqxy
-786,-0.1625,cat,-0.0255,yvhqyaxxtg,371,0.4595
-41,nnbwirftye,cat,-0.2,-814,bvvchumgxo,-0.34
-264,0.413,vmiytfyspb,-0.47,DOg,439,CAT
-880,-150,caT,xnejiilirh,932,-0.1635,-0.077
23,ovjazsvczr,CaT,ktdrelmqhw,0.409,vdojaypfxo,-653
Cat,748,CAt,-428,0.0215,976,cAT
dOg,427,CAT,DOG,dog,-0.46,-415
qnzpfnmksa,0.4495,-0.1445,cat,-501,-923,vfpceecgde
cat,hkslthfqud,0.3365,pdtkintccd,cAt,-552,-0.0765
ftupgheaxc,xgiqqcwxhu,doG,CAT,-593,CAt,660
-842,xkuywkmdlo,doG,466,619,rwnhrfzidj,ssotlevuim
cAt,zjgbnnvpkr,0.406,cfpiarewyv,0.058,396,CAT
280,sxaadamqqx,caT,-0.1845,-688,0.398,-0.105
Cat,dog,DoG,-0.3135,0.1635,Cat,hlxhwnkihp
-726,ncnnxzcgpm,-0.452,857,Cat,-0.1715,0.0115
499,jlqgjswmrz,CaT,992,hydziaafxb,695,kawfjhvybo
82,-0.284,DoG,130,0.267,rswnfylovb,0.0195
olrlxukbmy,imtpxgjghc,DOG,obegnzijqv,dOG,xxcmsgjfcn,wzpryxeyfj
dOg,kqtmzqnree,cat,DOG,caT,-957,vvbuzbpqfw
qdroimksjv,230,0.3465,iuovfvmkzz,nfgknawlzm,-300,cAt
ojpppkxqgu,zsbrkbtrwj,CAt,-0.126,-0.415,0.258,647
-144,CAT,Cat,wugzvlizyq,-0.4445,rkgccwegkq,0.066
cAT,0.215,Cat,673,wtxyziwuqp,axiwruoxnb,CAt
0.0905,-0.4485,CaT,62,909,htavlbeatt,olvzxwdfth
0.133,163,814,-65,ainuaikkln,kirmarhnyu,sciqpsvuhq
ignqrseoyg,zucymfrfhn,DoG,njkjvzzutz,axievhsuvf,ofpegwhski,-0.2715
gbhsinmqdn,xaqvxxulhb,CAt,0.133,eimweevegv,247,0.3315
