spwtpyiwso,Pet,ofjddhbyjl,fayluhtxiy,isgmefgcht,oajgaqygfr,qpyugvrdjx
-0.2315,DOG,-567,mceyaxkmdz,caT,0.492,onperpolqw
-476,dOG,cat,629,-834,-649,adgljjdzdc
-0.162,CaT,CAt,0.4015,dog,-0.1355,wrqpglslvd
xlowketkmq,cAt,DOG,ohrzghllnb,iihwzcjwkc,hpmvgddwdp,0.1785
553,dog,-454,-522,DOG,jtgcuwvdkq,gmvxoygtky
-0.4215,fbhmhuwura,778,-0.0085,cnczojcnpp,889,-891
-0.243,dOG,ulofocapgb,mpuvcdjavm,-299,0.452,87
zaapeucbuc,cAt,0.2925,0.0275,-0.189,yauphnebht,779
0.1595,Cat,-491,-0.155,-0.469,-0.3855,37
xniskudcpp,-540,294,420,wdwixylboi,599,doG
0.365,caT,CAT,kyhaubyjir,caT,415,opytncbvvf
-0.2185,CaT,rfcdoanymi,eyksbmnieb,0.058,fgrtfhoced,0.4265
egcocewkdv,Cat,-0.094,300,wguuiqsuvp,0.1825,-0.1825
rzhsekjsoq,caT,caT,422,428,ayopkwjkby,dog
adkmcuxmec,dog,-0.4995,541,-250,ixklioqhfi,0.236
-0.1865,834,-0.245,-0.37,0.474,-0.274,-0.215
-966,983,doG,-912,-379,497,dcdjcdtmzk
dOg,dOg,0.1635,cAT,-0.498,0.362,217
0.192,ybhkebtved,vtgzzzfkeo,0.197,dOg,111,ijyagqkzjq
77,caT,caT,CaT,-0.344,cat,0.2525
bmtoriwaqo,784,642,876,125,0.3025,-0.367
0.057,dOg,lcdkeaqifz,905,391,cAT,clrsvlbvve
-0.0815,CAT,caT,-11,400,-0.282,-0.1405
-926,0.2555,467,glbgvtjbnz,516,-0.393,-304
-0.417,dog,-0.336,568,-944,vovmntuhpe,dog
-197,Cat,-681,htmcfodxgh,-483,-690,913
-0.404,CaT,dog,-0.4375,203,-0.0775,CAt
henikqagej,Cat,0.403,DOg,cAT,xenjfzyviw,-0.086
cat,DOG,xxirrtzyst,-0.0055,skewytjsgw,-0.455,doG
dOG,DOg,-667,0.275,lhbmufgvgq,dOg,DOG
11,DoG,-0.3905,shgygkdnlg,470,321,DoG
fpkijfkmwk,cAT,cAt,shidouffng,-0.275,100,-0.474
-0.0105,CAt,199,-0.044,713,0.2655,0.493
0.137,mjrlwkofrc,-0.2985,-0.2135,48,-78,0.4785
rcurbmabmp,caT,qgxeelsyca,729,794,dog,Cat
738,809,563,-0.2245,-0.2835,-793,-0.174
0.249,-985,-0.107,0.1315,988,dog,0.0615
-0.2385,torfrljwzr,90,ugaxillnoa,-92,ewejhzxuut,yzaupuvuzt
-0.487,caT,CaT,-0.036,wejibfmesw,oqinqenwsm,-0.1645
0.0835,CaT,tyvfpewuos,dog,kaqcqpgiyc,-530,ufshuucwyr
CAt,DoG,zlrbauilbb,caT,CaT,0.2535,Cat
-0.3305,-0.1845,72,-0.36,-0.2745,69,brekprwtdt
0.2265,576,caT,CaT,flchxecxcd,cAt,-173
-698,646,0.4655,-518,149,0.082,inpyqyhmgs
624,DOG,lendlhkfoc,850,0.4765,dog,-0.211
hyyppzmdrr,sugpdcihcw,-11,uvhcjzuwla,0.3815,cgrvyyhceq,-0.121
jeivbbcebu,DOG,-20,-209,824,qejblsrbou,-164
