bafrviudoy,zcfjfceoqa,ibonfhfuds,pswtfeaszr,ewaxqhnrvd,vuhwnlfqaw
30,-0.0975,dzvovqlxnn,ywyiyoxyml,mugoooqsbu,cat
0.169,pikbocqeqf,986,jlbdmhepjp,-0.484,DOg
0.483,DoG,-0.3475,cAT,0.1445,516
328,xjnkthrqrl,jdgwsvnhvx,132,nwpsqncans,0.2145
kfvfrctkhq,-321,dog,-0.2435,-161,CaT
758,-0.171,294,fmahrfqsia,0.0065,-0.1275
0.216,Dog,-438,-727,0.2755,0.1975
dOg,-0.31,0.2545,-567,406,-336
qccxyxhrsl,-145,-699,-167,-186,bqqpszitlb
-0.276,0.2265,yzmjgvwliz,-0.39,46,0.1665
-619,cat,dxrdbrtagl,gyoebavdef,-602,nwuohqbcrx
bptjoumlvo,azderzdbil,-788,972,-0.0325,-483
0.351,lpylprczrs,511,cpygjdutmc,zvmchktqal,-0.1655
-0.019,0.349,cAT,-212,338,CAT
ypcagzjoad,-0.237,0.213,caT,-0.2255,391
32,caT,0.391,CAT,-0.487,oxjfwotbbh
0.321,txrrxrhjmk,cAt,26,fzbnqhbwyv,mjlylkcbjx
-827,cat,746,0.1865,faekavuyam,-855
-620,vypbwqxcgf,0.023,-901,616,doG
0.3395,0.0295,doG,DoG,szwaosjwuy,-178
-0.1495,0.0485,0.106,pmcnckuxnr,lsvppksxxz,iiblkodpzt
DoG,910,0.3885,DOG,rnhdenjeuw,483
cypvtsvubr,dog,-307,572,-0.3575,-0.0885
yhutvnrffu,0.1945,jkcgozbajt,exdeexvgte,0.152,436
641,bheyvcaues,qzmgjhmfao,hlxfjymxjc,580,ftoqbxfoah
0.087,vvwplhvbcg,-0.2725,ujhjjgvuny,-0.198,-0.454
-355,0.162,-0.4705,ynlvywlcvz,doG,ujrsziassk
DoG,gkapfwqfcp,tljrphafve,cygtcewskr,dog,-0.0765
xaunqgcwre,-0.477,-0.3885,-45,-350,-0.0585
-0.274,-0.0245,409,183,lrkxaoobqd,Cat
tvmpqqegzp,ewqnoyqxly,-760,-792,rjpjilyxtb,-166
386,zopnrdlsgt,-581,-485,0.0955,caT
-899,0.456,sioknkhdth,rqtvoeimkp,uqdgckjski,-395
uxvoqeycul,ptngiembye,qeyscsjhpz,0.2465,971,dOg
aqdoictaqo,0.42,-559,-855,dOG,87
-0.4075,-0.417,bfdfpujxau,0.0215,ogwgmdljag,vmotkfcbka
jyadndqhux,-761,DoG,bompbwxtiw,cat,ddxbrodrvd
jfgqlydyqx,0.0615,rhiezakqze,rmrtpydoiy,-495,jbvclectdm
-439,DOg,kggtesiupa,-0.431,0.015,-159
waixrcmlth,CaT,709,lykoiaccaz,-0.19,cat
xalluwuxts,kdjlcifpup,0.2505,fvillxjirt,-653,-0.221
-0.363,DOG,ljkcyguepf,-565,cAT,-990
cAT,-0.1795,-0.484,0.4045,-0.283,oywktqfqcc
qsthdtyild,ydmjsvmbhm,saondoocvs,cAt,dvcsndsokz,519
jfziyrilym,zectmobvdp,-0.1955,ayqaxagnyr,cat,-445
ofgqdakanh,-0.002,tkuxuhjycb,-185,0.318,-170
0.4585,841,453,unvxebvzik,-645,0.336
-0.421,xhydgoydjt,dskgnhxkwf,0.2545,tvvfufkkpv,pwqjsxulfe
DOG,nxqnwkqvsr,DOG,0.382,834,Cat
CaT,-0.23,0.075,Dog,0.33,0.1975
dOg,regodpaipd,CaT,0.3535,0.026,vlcyletxba
xahpmbygce,uyoxvujrpp,796,nzlulkbyzs,-0.2515,qxwqypknsg
-0.3535,rfemrafvwv,0.2525,wteatzrafl,bbxuryeeke,475
