bnnbtbyabw,sthxbrnaer,whdyxnuxit,ybyiiosyif,dzqcavrlta,jopbeaqhts
DOg,-784,-0.3585,lxosgxfkgc,-0.1315,-400
pzhdlueuvf,-0.032,-900,ahfrevkwbl,cyllszqtas,-0.071
-490,0.059,Cat,Dog,0.2155,0.1275
-0.2965,-0.04,140,ourllhjhmx,0.0925,0.3205
820,cat,qkeowkdqcy,caT,172,-291
caT,uyytgjjwyv,254,maukxuqpml,ztgohcvabr,-0.415
0.27,-801,ksoimycvdf,DoG,qtneacpefx,-0.012
jwjcdthiad,cat,-330,cAt,CaT,-0.433
DoG,0.477,Dog,-0.007,ghvdcjiwqv,DoG
-136,nxlqaffbze,-285,dOg,0.216,-730
-394,528,pffwxafgkb,yvfriglyhx,CaT,444
298,hikctivrcj,iviruegeve,-911,cat,xctvhoawub
254,dOg,DOG,273,-0.2515,-0.3315
Cat,doG,0.1555,mxpcjewvlj,DoG,204
0.1915,-526,caT,0.2865,cat,0.0285
0.4945,-38,-28,ckampqwoiw,335,0.274
0.1765,0.1065,llwtqbnbow,smbkvbfxvq,caT,bndtjeeuac
0.284,dlxowcqzdw,ossxzfdsro,fzeajukofk,dog,jvkovloplv
jkrehrmgee,-0.279,-0.069,0.1115,0.496,-818
Cat,sytymqeebc,0.365,-320,-0.326,62
-327,0.3945,DOg,doG,DOg,881
-745,508,-797,-0.102,-836,DOg
dlsgubtowi,qutbtulbhm,fssmgzkxsk,-0.3195,Cat,ltodlsuxcs
ajmrxillvp,waktrbehds,231,kcawrnwzfc,-0.1325,CAT
-0.343,-808,710,kicxbuuply,CAT,461
efpqwxrsyh,grhfxhhwma,pejixldjzc,-0.4985,mupeyyxrxj,ihuwchsbhb
zuyojbenak,369,pgbmiiqsiq,cAT,CAT,fjdcmzwjuc
cAt,70,znnjshkmix,kvwqsvorwb,-171,0.344
858,dog,-874,cAt,-0.4285,yhoofrqyjc
-0.062,mvwjozpyvx,DoG,0.35,hhenzibdbh,-181
0.445,CAT,0.227,-0.091,DOG,-0.06
dOg,0.273,-0.422,-0.3165,669,ujiynukwrg
-640,doG,Cat,-929,0.4115,-59
tncafvvbjv,smrmcpecwn,-112,Cat,-804,120
DOg,92,-644,-838,-983,-0.211
0.108,gpmrhnnhom,ogmeuyxsnn,0.2645,DOg,0.3155
603,240,ncbhkbyidk,Cat,cat,0.371
889,-101,0.0125,0.195,CAt,wnpyjlgrsf
875,notfvagpss,0.3155,0.315,97,dog
tcsjgejvau,sopsdbvgqo,-0.11,0.211,cAt,-0.0985
Dog,-0.1075,iwmotiegde,bxvzhthaoz,eplrxhuoar,-342
