zgtymrcbqr,kmjrszakru,ublcnpcazg,beftehbpri,sbkpzxdiln,xyhuxsywhk,pmqltzlgyl
634,dOG,0.38,0.4215,-77,0.14,0.0455
-0.177,gdbdceeqqr,630,0.467,wyyababucc,ickzemqgro,-0.056
-173,tlrzhklftx,ardokclykm,0.001,dog,frcgwfmdls,caT
-0.226,pzwitbhdqj,264,0.3645,267,0.107,-556
184,-0.035,Dog,riloefuvoz,CAt,CAt,144
CaT,-0.037,-0.116,0.36,CaT,117,0.251
DOg,295,-0.3105,jmbkqwsvgu,0.0775,dbwukhnlcz,0.2925
fchjquqryt,cat,-998,482,cat,ldprlnmtkt,fnfxwamoqq
rpkghhxrsd,-0.3655,jdbqbcvwwh,-821,641,cat,CaT
-0.406,-569,-0.27,tvfysvtdsl,-108,-805,0.3765
msugatrcbp,kiyqvxmdfi,0.0215,nziumxkdne,-0.1865,-0.258,dOG
ljeykjricy,ilutdftzog,kpgrfhqsrc,hnyyznijqd,fvhmqdvgqi,ioolhtyejh,uvyqtprbdh
0.2955,ijpxmlrytu,mkishtdyhi,-651,afrqlvgkwk,0.247,-995
-0.4525,0.1085,246,-0.317,-0.2755,442,xistmlasle
230,cAt,868,atgmzlgdkr,hdpeyfgexp,-655,-538
0.188,DoG,0.418,-522,653,cAt,spvnuvipfv
-990,-0.075,0.3235,282,lifmcctssv,-548,-731
163,0.014,0.229,makxchooux,404,530,mlhaedtvyq
rhcnuvysbh,-396,0.207,fadwjskehr,caT,CAt,-0.051
0.3765,-184,ycltrpvwjp,dxcnsnlaup,gvaizunevs,0.0025,-782
marcskjeox,-704,yurhtdomkv,0.2985,12,971,344
-0.206,dog,Dog,0.216,-0.329,kyujkdtmts,-0.42
ivauhevmyz,-695,vajpztyond,-0.3955,-0.2225,0.0385,0.259
dOG,0.3785,ecpjlpfkzb,-0.4085,-192,dog,-0.2895
-0.1025,-0.259,ritxsvdabd,cbvocetvxs,exhtocoftj,0.2085,gepntwevpw
pmwubiufjw,-568,699,-0.482,494,903,cAt
dkkkiuxmeh,sntwjcyppd,-160,-0.319,1,820,dOG
dblfrtftci,0.3105,0.0165,wculbcsomz,-690,CAT,-0.25
-973,bxwozokvze,Dog,523,Dog,ttjvgieqsh,jndkqgijjy
0.334,jyiuyobybx,tifvpyoycb,80,5,674,kelwjuvhal
0.478,-691,jbdbmfpsxd,omntlvazpm,-640,0.0025,-829
brfhcrcowo,-0.2455,umumuetmot,mjwklarggt,jugnlolzry,DOg,DOg
rvmaahhmbg,cAt,dog,0.4725,738,-599,813
-845,11,825,292,rbivdlusas,0.205,471
0.1785,-0.0775,0.358,-0.0455,0.236,abebakcmkv,ksephboviq
dOG,jvnpzbpapn,CAT,DOG,-257,81,0.427
iirrdrevgm,ucnkbavdti,cAt,-606,203,Dog,0.1845
smelfxdctk,hqswmvwknj,-184,-241,Dog,unbskojdsj,566
-0.151,-0.1475,0.1245,zgvirxgqjs,-0.01,-0.12,luhhwadfnj
443,zcxiyqeknm,-316,-0.173,627,0.232,zcxkgyqrmf
-981,felqxjsyto,dOG,648,492,0.319,-827
487,-771,CAT,-0.4785,coaycmspuw,ejdmpdypog,tjvnxlapue
-540,0.0525,oopdxahufb,-0.4065,cAt,vfjzerzoag,723
495,jgiertacxm,axjcducpzx,cqcabaiijn,ylfhvcjrje,gahupsceda,CaT
grksaqoqmb,-0.382,rxjnfqerfy,logpkmnhkw,-0.37,dwudujwgyq,vbzdqgspoy
0.4565,caT,CAT,-0.236,-587,0.253,-335
kgicpqgbnn,-887,-623,doG,-0.041,-633,-0.385
caT,0.1835,-232,185,0.0585,0.482,0.4525
0.3295,0.3535,-921,-45,0.378,444,437
udcslyjlhv,0.2065,mlsibpfyyo,-0.1105,694,cAt,koxmwqfros
-233,804,779,cAt,doG,ycnuvlsdgu,-942
0.1095,0.245,DOg,-164,0.119,gitxllouha,-0.2555
