amvvdyrcjn,sezndqpufd,ohmojfcqwf
0.1925,499,0.3585
-924,ityiizoydy,lvxeuxadga
0.066,-0.2035,tuhnkpavyp
mrdudqhxvd,0.055,0.4095
447,-0.2715,-0.231
cAt,0.3895,fxnfvlrtua
296,-690,220
0.064,cAt,-769
-0.379,avjcittdjr,568
-0.148,-861,-0.0255
731,CAT,ndhhighizu
790,ihfgaxgpva,-61
Dog,933,560
-337,856,CAt
jxdagyxguo,DOg,70
-0.399,0.487,doG
nywqhwsowe,Cat,-0.08
qqxosvkmwr,-386,-0.173
-0.2725,vxjzfxuqqy,-0.4115
punxpfhynu,26,-0.2565
-347,nhttzbewmi,765
0.4435,0.272,0.497
-774,-0.287,dOg
-862,sincinfbtt,-0.088
892,fpnyfhufxl,DOG
-788,hmbvfhotyg,ijcrfedinx
cdkifzgpkn,-158,cAT
CAT,-0.0255,0.4525
-52,egfucclbyb,-627
517,eupxrfsvyg,-489
-266,-141,ryhaebmhla
-0.055,qasvhqorop,rpiscczkng
cwttcjjwey,338,0.0295
0.0345,nhddfyxxlm,dOG
ayppxcjxxt,dOG,-36
0.191,Dog,0.3075
-0.2185,ggisfbmrtx,gyecfsqzsg
913,-0.439,754
dOg,-0.085,zzptadimvn
-975,CAt,-142
CAT,garyeqfeko,ckvcpbmrqr
zupbpacwmu,-789,0.455
-883,-0.3525,snwvqzvmau
-0.2185,997,menfcfceny
938,0.4465,hwhkxdkbrb
0.111,831,-851
gymiolmods,cpqbmtvtty,qyvtewlpqy
yxuqcuhdcg,0.2785,-331
DOg,-700,vqudagxata
-0.0965,doG,59
juzranjwob,pxcepbpnrx,cAT
srtvkegkip,-0.3195,wcrdbxnolw
mjnjdbukgj,-527,xiojyhfckb
-463,dttrhfewrl,-536
-0.372,moioqdwhlq,jxrnlknilz
jdkugxqcjm,erwhzwnxfs,-0.3195
axjlzxifns,414,220
117,0.028,-0.2645
dog,-555,-0.282
-45,DOg,-0.324
-0.24,249,wtvnztetkj
zyupgcwdih,-0.02,0.022
cxyfuyfoum,0.1715,CAT
-725,0.4715,0.169
Dog,-0.1885,456
776,0.42,wfphcbsept
0.1675,0.255,-0.3215
lkxfoaafzs,tbumnkwaoa,cAT
538,atzylpfjjx,534
-907,0.2325,wwcurngwzy
cAt,234,xwxnzqwbzz
sduzkggalc,tltmgsjtne,ebklkgkdtx
dmspxgsbjf,pugppmrowg,bazgnngqpk
vqqwjhipew,857,zblfqqblyk
hfqmvyworl,xuvrnditfl,aojzqcofua
-0.0115,cuyteqcire,nqdesbgyhe
4,lddihiafhc,18
npubtoshvl,sailopzjgg,eyayfnqsey
473,-854,bxyrjzkubx
-0.4745,0.1225,-595
eaojslsxup,cdweavtmcz,qubihdcadn
-0.0425,ziurewsktx,vtyzbmhkem
