zvnexkvdqj,qccbekbdgb,PeT
caT,-687,-935
cAt,210,lrjbbjvdjm
-627,lrdwecwzxu,cAT
dog,doG,CAT
0.162,cat,cAT
307,0.431,caT
-0.045,hkbtiunbup,DOG
19,-0.041,Cat
CAt,-0.0565,771
229,504,ghonyieayt
nmeauzcjrj,-800,CAT
dOG,pceyzdvjgh,doG
-0.157,-0.3415,CaT
pysicryvkn,mmjgwpdbop,Cat
-144,cAT,cAT
exijuaevxj,703,doG
-0.196,-500,cAT
0.126,dkdfsuekmu,xhyxwskjau
70,-806,DOG
imlupulmdr,enuquansjy,dOG
197,0.3615,DOg
-397,-0.376,dOG
DOg,0.447,dOG
-96,iykrtpdpgc,caT
-0.004,DoG,sgzcuutnyg
0.415,cAT,dOg
462,-612,cat
-0.1615,-13,dog
CAt,cAt,doG
0.228,iqfahcaqvx,CaT
CaT,stxzmquljy,Dog
CAt,-733,cAT
0.067,629,Dog
caT,-867,ivnekxsejs
moaqukzoqa,etamvrmvgn,DOG
809,-0.0565,cAT
oonocodyzp,DoG,Dog
zrhqinmzrc,lxddequffk,dOG
Dog,0.0985,cAT
-0.3695,akvsqezmog,tywtaqrqhh
-0.303,lelphfsprp,DOG
dOG,0.293,CaT
Cat,-0.2035,dog
xankovtrjl,-597,0.177
DOg,jwgytufgnd,dOg
CAt,-613,CAT
-889,xgdqqvwmln,-0.355
0.3765,0.207,dog
-0.1905,-0.43,tvadlgjosu
-572,dOg,dOG
0.2745,gowxifvokq,cAt
cat,-0.487,Cat
qblumjwlxm,-618,dog
-0.1825,doG,qbnkafexfr
yptzhbsdbo,-0.061,0.244
0.008,cwyznmsztm,dOg
-0.16,-0.3645,CaT
aihmecmddl,cAt,caT
-743,229,cAT
-0.075,-0.129,DOG
dOg,CaT,DOG
0.2795,0.1845,481
-779,-0.055,ivlqhpswyd
lhdwgwnzev,CAt,aubkrmdgvj
hqohggodbi,390,Cat
dog,-0.4535,dOg
-697,dOg,cAt
-397,-0.033,Cat
-0.0345,0.3285,ymumifcvfp
-677,0.1785,DOg
-786,-723,cat
pjxuclyrma,djweinmgqm,cat
193,-0.4445,doG
313,208,CAt
tcvetwohrz,0.01,cat
jyjnadwkmi,286,dog
936,sjejomydvs,CAT
-0.1425,uxsdaimdhu,caT
-0.1705,372,DOG
174,-0.313,dog
-0.022,0.2145,doG
418,ryrpljyipu,0.452
0.055,DoG,caT
dog,344,CAt
-266,0.057,781
