tyaxfxpdml,ycdjzvdshs,qrurairplv,gyksxzgewi,PEt,pmmmgrhvws
-310,yelqmpqfma,-815,bjwmvdgape,cAT,558
qzrnvlwsjg,fsobolfofr,miybjckwxi,0.1155,CAt,-336
cAt,xlmiofxfyo,-0.352,-737,-739,0.062
-0.463,-988,-741,-0.153,dOg,321
skkrcjjrit,xfajmyrxca,217,fkaftqnwwr,caT,0.2055
uztozaadnk,-792,hzfjawnfrg,DOG,dnjmtsbxqj,0.308
shffzgbhac,-115,zbnmezqvkj,smxhjprhve,280,jhjqgnycbf
muzbkpidln,0.068,caT,wenmqwokyn,cAT,-515
0.373,-0.3735,0.366,segdpmpsva,CAt,-0.324
-740,-745,-0.4865,wjhxxialan,-0.222,uoqeffdbpt
njtilzuxta,-159,CAt,0.1065,0.2335,wjnkqnsspr
kwublfegfw,CaT,mzblymtjvw,-0.012,dOG,0.13
mxxkdphsoy,jxncluxvot,Cat,-0.2855,Dog,0.3785
mklwgceldx,dapjdiajpi,wreolrbtxy,466,DOg,cAT
-724,-0.01,865,jzovxyocat,0.3445,wihptzkhed
cAT,CAt,aehrytggfa,oufcoxcnqh,Dog,sgtdevxgql
-0.1155,-456,rayxfpdrti,xaaaknhgnp,cAt,-685
-0.4115,0.087,0.416,djaicpxrwk,caT,-0.1445
DOG,0.0145,-0.1085,-564,cAt,0.0
DOG,CaT,-0.0505,bmbsffmhkl,CaT,CAT
-193,-0.177,DoG,0.143,dog,0.332
ivuczelrwu,-827,0.3855,0.367,Cat,cAT
DOG,tjcbhqcqao,0.047,dukhwkfaav,dog,-115
-0.151,0.368,-0.383,nfwbsfxqoz,wthzqfmygh,-0.487
-0.0755,dog,-0.266,-495,dog,-0.336
518,-0.2445,-0.3985,47,wvqbfgoluj,498
-7,-382,0.339,ipjgifcini,dOG,338
-0.124,-711,-0.107,Dog,CaT,122
0.129,-788,146,gureknkzgc,DOG,wprzooouhh
-0.2095,161,950,453,ftzbsmqqaq,0.38
-931,-113,0.197,-609,caT,hsnqxgdmtc
CaT,0.3655,-0.2075,hixduxfmdx,CAT,ictgqcdfvy
uudckegxxa,cat,-0.0845,cAt,cat,gwwvkcvvsu
-248,-161,-227,-531,CAT,jrfllppwdm
tpqfndztds,-0.082,ghvyzoworp,275,caT,cAt
-0.081,ivwaftocas,603,-0.427,doG,-781
0.1325,kfzequwicw,hgpedyxldg,-10,-14,-454
aeefqenqix,ykpckfhxji,iqvljbdmzo,-0.3525,-333,-0.4695
ucfdwyajrr,-0.317,-0.272,-0.0125,Dog,dixevvhnls
CaT,hdngkttios,DOg,qttmbxzsjr,doG,cokfdhtdxc
-838,-0.5,tnkitqhuni,850,doG,0.376
DOG,-841,239,781,dOg,DoG
245,jsuuoulgcy,745,-551,CAt,-0.056
0.249,gqcwlivsih,kdeatczbvo,ijvrnjqjrb,8,Dog
fseinljhsl,vxokbsnrzk,-116,-0.197,cAt,-0.2905
filskfbwsn,-0.212,tmsovnkgrd,CaT,cAt,hlfhlosxdc
Cat,152,0.2905,-482,gygmngxqtk,-0.255
105,vwyjnqfzba,cAT,-280,dog,-836
tjevtrfgkq,-0.087,ppffvoultu,0.068,0.278,-910
0.132,ndvsxfmese,vudercqbaf,qdqtoawwrn,DOg,CaT
jrbvbizqfi,qdjjoyrenk,mjsdqsyafg,891,-0.2285,otdtrolozz
cAT,ktectuviqp,0.1375,-0.218,-0.197,zolmplhggp
DoG,-0.372,hbmfxywyku,blbuglvlkm,CAT,0.217
-316,rnxpyfotaf,wvdxctzouw,0.229,-0.366,Cat
524,nrgbrkfyfw,-487,mbugdnsmzn,cat,-894
dOG,dcxovmbvtm,wrqvzbhamo,fkybekiskj,CaT,652
0.032,zvceofnjev,DOg,0.3155,DOG,974
0.1385,801,-0.3145,587,0.0115,245
-0.2515,CAt,larcesancr,fetjocoxkz,0.0945,iszvxxozri
-0.2535,-516,oqwirjvcet,-824,Cat,doG
-0.244,doG,0.4095,zztoschmof,CaT,619
82,DOG,0.266,pgklqekawt,cAT,-333
827,890,-0.0295,-0.4265,DoG,DOG
-0.258,dOg,-299,tkbonzptif,dOg,0.2615
rxodaemjux,-614,-0.217,284,dog,-85
-776,0.217,824,czwalljwmr,DOG,715
dnwkmazupk,-0.207,-520,58,DOg,289
CAt,oinfguxesv,0.061,-0.416,cat,cAt
-545,jdbyyueibt,-0.3065,724,CaT,gzeuyhdorc
-0.002,-0.484,10,0.3855,cAT,pmbqzcvjxm
