ieutxwctbe,bkmysxasej,uktekwxuqp,ixejprfppy,ghmcrswwsk
0.159,gmrwhtiviu,zlbqgzvefb,-602,-167
-0.3985,-0.0725,0.237,0.291,-717
0.3125,Cat,927,stvljsiazd,-176
gobfgpidpz,-409,CAT,DOG,-266
0.286,-34,-0.269,-0.3885,DOG
pxdbicnexk,sifaisuuhq,DOg,-479,-986
-623,904,-0.09,-0.362,urblsblych
Dog,623,caT,wuezwugnay,555
867,zvrbbiwnjr,DOg,eqvvtprdit,gryxnmsmkv
dOG,CAt,-965,CaT,-0.419
-206,-0.032,0.289,-0.3845,njuvukuilu
-591,dktprovqrn,bhfbbtztnz,99,hzxplqdogp
dog,736,-0.051,985,dOG
cvbsstqkti,ascuvfybhl,cutiankpmm,mzpomdyskg,zspojqcrvo
fathrwmahl,-0.4255,-0.474,sxqfelncjp,ssdfgedsbo
rjetdavfpx,dodcjkgibf,DOg,-0.0175,0.067
vhxqmmmfpf,CAt,567,vjrfctftlc,beidjyknzm
909,zysuwfozag,fhcvkhlxqs,CaT,771
-0.4485,0.176,aqjsgzzach,-409,saecspfqvp
-0.006,899,-968,phqrbwwdvt,0.029
cAt,-277,ewtqmqtxmt,214,-0.422
-279,-401,-212,-604,uzganqxvno
idggysgatp,qjhjybjnew,858,-222,aoflalqfgm
DoG,pbnjkqxkuj,14,bhgibferwy,CAt
0.4605,744,0.018,-527,-0.451
805,-0.16,eskzcjcjza,0.0895,263
asqixjuopi,cAT,manqnzjhgv,82,281
igugslrdcx,843,terdowefgc,-74,277
-922,-122,0.027,-488,-654
cuyhlnxgaj,-952,cAt,twsjtfsgem,mnnyxrgxvl
cphjmezhmj,26,DOg,qzyblpihld,-0.012
gyrcnetxoy,614,gixfornqyj,hgbbevgwdi,0.488
CAt,dOG,-232,ehlzuxhtay,449
-558,469,-0.291,-0.407,pxlyjibkvc
-0.4425,-0.072,kkuypuchbo,500,cciixsyaan
-90,DoG,hazfdrsjjs,yfkgcduhww,99
pvldrqxncp,lybgigrrrb,615,-0.3455,doG
-594,lexvupqrlr,cAt,cat,dOG
-0.4155,-222,-0.013,ifwaaelpcl,-456
-0.489,gvfyabkdcd,834,DoG,fjuzhfqbqk
necwyvzowi,dog,0.0435,-998,-0.473
469,-178,-877,-0.445,-529
0.445,-948,brlkczdbur,-142,0.4225
-0.3745,-51,0.414,-0.211,CaT
muodfzjstq,-212,cAT,-556,-452
uiytlbmzmu,tadtakftfz,-0.1545,lptfqrmlcp,gdyxjodewe
gahxcvjgop,-0.0795,Cat,0.122,803
825,997,-0.4755,-0.4075,cinpnqwjys
0.227,-0.443,lvxxirajkj,caT,-16
774,0.3135,nqvspwdxbx,Dog,sjhgpnsxht
ywltccbzmg,659,-0.432,vizifejsds,DoG
888,pxfyhewjwb,ijnygpgzfm,-11,anmcvvnxzg
0.485,0.4725,0.16,-3,0.2825
0.361,-60,0.4705,tuukgdwpnm,kgkejkvbkj
-704,-0.088,CAt,fbkwjxkxxy,hzparmofvi
mdwspxrvev,Cat,gaqrixwswm,odmseexzwq,qkriuwofih
-861,0.355,-73,-0.415,lfornawzom
-0.209,-248,0.278,jjfszhidsn,-943
-967,0.195,725,0.4415,Cat
686,doG,-812,-0.3195,kihqltyqtb
ocrhlmfwiz,0.3975,483,dog,oevdbggmou
0.429,Dog,Dog,-908,0.325
cpzpymmojk,82,wndmbatmoc,DoG,44
-0.256,-0.002,iqanpolshu,-672,txdnvrpbnh
926,0.419,214,doG,sxuejgwujx
-0.0695,njotclwjwi,-0.484,-0.37,zwdjuoznhu
kugdnnpcbj,-380,cat,ihouodesna,-0.188
lnezrzbqdv,wlxbafoyzl,bibuhdiegq,qqffbymkon,0.461
0.0185,0.1165,-788,mxnfcxzveo,-0.222
-0.335,djsscwosxc,451,-810,dsquqtuchc
axoovnsazy,159,-109,266,-0.12
-0.0005,357,dog,-0.0235,dog
