hfgnagvxjn,kljfddmzcd,gzyahvzgjw,ezgmvreotf,zsauowqvoc,ntgwdvhqhp,oepqytkzqx
vdcakrnkwj,290,-0.335,-518,cat,644,0.2855
617,cAt,dog,-0.1705,0.267,0.0015,bufaelvaov
0.186,-0.265,cAt,caT,0.468,65,905
-0.195,aiirjfcdsf,mjbjutulpf,caT,-240,njpqjunsvo,cenvwczsqj
0.152,0.2385,-193,iwrpoarroy,-251,DOG,0.198
-0.3325,494,-988,22,-913,vbimdfnirj,dOg
-0.322,-0.2825,jnislvrkft,dOg,xrajsfrese,308,0.1245
-860,bbblfncpun,564,CAT,77,-0.2975,-0.319
0.471,khftqluets,-241,dOG,0.0565,sgwbhbhonv,cat
-850,-658,krvywfjzbo,CAt,-653,Dog,-0.0295
0.3785,0.442,467,koqegcraio,DOg,ijhtdjefws,704
lxquufyfdr,0.3335,-732,-0.2825,-0.383,azociwakuv,919
-516,dog,0.294,846,kodelxbmfy,-117,ajcoypokde
0.32,yznmsxuyua,-0.421,dOG,-463,887,xgaqcolhzs
cplfhfaocw,-0.331,kityeujjof,147,-0.396,0.0315,-0.1755
xyorimjbty,DoG,-31,nrbrkiosrl,mbuufxsvbu,0.3615,cAT
gtrilqmznr,-758,576,nvejvlxtwd,-814,505,grtqvpyqsz
-0.26,-0.1945,sjimyrprsv,atsvqhwtkh,trooqwwhqf,-0.2105,-482
0.125,0.144,dog,cat,-0.4245,Cat,dOg
ufzjljxqtw,DOG,-0.2035,-251,0.034,dOG,amatgqbwgu
doG,wjfyutoqch,doG,-2,453,cAt,581
oynoxkqaog,vgixywvmtb,929,-559,CAt,-682,643
bomiotmmkg,etjwyiybpw,951,rfrqgbwvqh,-730,0.4245,rgbjxpbibw
-583,doG,-0.395,widmqvoqsi,-644,mehjqmqbtl,0.2685
-965,hkncrslapr,jagprgpqvg,647,0.413,-0.2495,CAt
cAt,-0.4465,-343,Cat,-0.308,DOg,-0.237
oufqeuvujp,DOg,CAT,-0.075,bhvbbgofgh,0.489,-648
nejwxoatmj,mptbkaqhbc,-0.2855,cAT,-925,309,dOg
0.386,bkslkmscai,637,-641,usnmvtuhzu,-0.1385,0.373
DOG,0.446,nxoyxkegob,-757,-630,785,qwsygoeepu
0.1565,985,0.3405,ktdihznxlp,-0.387,0.1325,-188
0.0125,0.0975,-932,snantmaspv,kcebcbvacs,hjefjcvecf,xrupndqtha
35,fkdtwfkwwl,-0.3955,fkjjqdgvfs,ukjtfcilad,ngcefycnnn,-0.465
arsvfziupf,tftuzcgquo,quhwxcqsel,ojazslsfnx,ugdkmbhsms,0.495,viuaftylmm
567,hrfhbjsaek,-0.3415,xxzygfbufo,0.376,dog,rprhhyqyxg
CAT,896,738,220,-730,CAT,-790
DoG,bcfzpyerce,-818,qknbchhmdd,-890,771,-608
0.4845,vxkdgcdzot,-0.4585,CaT,-314,ygnmbdkwpz,baopimfcnf
ofzfnjlvvr,-0.084,CaT,jzbddkyubz,0.155,-0.4025,-0.2575
cat,hwpozpnyly,niuuvjlebm,cat,-0.0215,0.3215,mlmzcmuulv
0.4725,caT,-355,cat,CAt,-0.0655,-985
0.26,DoG,-840,-295,qziywdytdb,0.4795,bsgphlluwx
-772,490,0.4975,763,CaT,CAT,-545
-440,egozsydcif,pgdjnazzsy,0.2,Dog,576,lhwsptfibd
-111,485,0.3495,obhefqzfsi,CAT,CAT,cAt
0.2575,0.4175,-0.3885,-0.426,-601,-494,622
dOg,CAT,-0.124,-488,-0.1805,ofktssrwmh,DOg
-0.0045,DOG,537,DOg,-0.4865,cgxfvahevr,-473
dOG,-0.048,CAT,xcymvpjsvv,0.2405,252,laxtveiopz
0.014,156,Dog,-0.17,-0.2285,760,yickzugnjf
wkwmszaeul,greaxdocgp,Dog,-665,351,dog,-0.314
323,0.417,-582,-0.1685,-21,DOG,-0.4315
873,918,lvzuddposl,-0.1045,493,CAT,ovgptramuo
dwwwenusek,-468,DoG,jkflpqdkxg,uczbmiikkd,677,0.257
0.0795,-700,colkyajyyq,-931,578,qtntpnsxez,0.413
-0.438,0.3225,dwpngjsdme,0.012,dOG,gxyoseerkk,0.4765
833,DoG,-0.4085,rbruqukphs,-0.049,-0.343,-761
fmfnbfgbuf,444,-874,0.107,-769,qqwieuzdnw,-0.48
ulfcfarciv,hyibibpemt,hcffynmacz,iefxxroual,430,282,-0.108
0.09,-0.034,-0.3765,-687,0.0745,0.462,pljnbkihqc
mlyfcnmyev,-0.345,-0.2625,0.267,qkpixzykrl,-178,-476
230,pfxrnqbmmv,0.3885,tuckeknvwt,DOg,pxdgqlzmub,826
ndwertorep,nbfzxfmwkt,-0.373,0.208,nuuprwyove,797,-0.181
