nbbosbkwxg,dpkktoodgm,sfygysvmof
dgjyitpkpi,0.1765,-724
0.3585,xwhbqttvno,20
uspphohgux,0.2155,-0.2575
0.2455,347,dOG
cat,0.4115,-0.0015
oawuoruupe,vmgvcysaqt,yhsehbesxu
-248,avukdfvfro,-755
DOG,-677,CaT
756,-0.204,cAT
-0.055,0.196,-955
-618,-0.3,15
-0.0835,-0.332,yyldjuxejl
-0.291,CaT,xvnnrhbxfq
-74,-506,-0.098
72,-896,nmqpwzbxgf
894,0.1695,-693
-0.1685,-551,-0.2355
xuzdplrmvl,-147,0.156
ilhwqpvoiw,0.4675,0.1625
743,182,973
dOG,llfhzimraa,-0.122
838,CaT,842
160,818,DOg
0.275,-114,-22
dog,-0.062,CaT
hfirbwytej,tvlduwaeas,-24
pxnepbnbxp,-0.432,-5
0.228,-66,dOG
-0.095,zzliicqtil,-0.0155
lpfkqoudud,0.202,ugaifzggnm
ozqvuwtwop,217,-0.324
znakmvrlaz,nkwvzpihri,srpuxaosez
-0.0965,DOG,-449
0.151,ugcfjebvku,cnegrhylmx
DoG,-0.1925,-422
caT,0.251,hsilhzcmsl
pvzkvbpoas,Cat,-0.3695
cAt,unkvwhkhbp,hguhauhanm
-506,780,-517
350,-0.216,iulukozwea
321,caT,-0.448
0.1095,DoG,0.3125
dog,DOg,0.0225
0.234,319,0.344
0.419,-77,-111
caT,DoG,ibskvvmwet
-790,zwqpmrunro,0.0085
mcfbvfoedj,-0.0085,-32
-666,xwexsxdtjl,fpkkbrroqn
0.2605,-0.2695,zdxkysxhqn
seuskrowmq,dOg,-0.065
jggmacyjtq,dlmnbkhryi,Cat
ndsmglczzw,590,ihentodwuu
0.1915,kayjogtktu,-680
DOG,915,-701
wzluqdyfqu,ubahoirgot,0.079
vlmxgbbgcq,159,0.1495
258,edicwilxrp,699
cudmrtmhrc,dOG,cAt
oxcoekudot,yrypmsozyv,-0.0205
0.1125,-0.194,0.4745
ewyftggeyb,329,nflxvbebbc
-0.4515,Dog,426
247,dOg,0.2155
-873,-0.1645,-529
CAT,DOG,0.3855
iqfhpwigqv,-0.269,Dog
DoG,-0.214,bjmnmhlqby
-612,Dog,jqgorrzooo
gpsyrculpw,0.077,-617
cAt,-706,-967
