ivtpvxcrdg,ypnbaeymiz,nrywgmdvpv,qtfyhjhffl
-0.1405,446,639,264
fcqytyynlr,DOg,0.353,vrwazfntbq
CAT,CAt,uuwlryjryl,loloafvcmv
ameoeicgbi,-0.0195,cat,nmlboswdju
-0.2735,cAt,0.2715,-166
500,-707,CaT,ygeanknzdr
0.271,-0.035,-525,0.467
-0.355,Dog,fixoyrcsiw,cat
-476,bywzjwttbe,sgkziywwyh,272
bkawfkmugg,dOG,tsqxmlmuys,159
-959,377,0.423,-181
Cat,CAT,qdwcgrphna,dhflupkkod
ttvdxshbmu,CaT,xepybgbvom,lebmxppqgs
qexbzlesfl,-655,uuphxqroot,bdgkbljdzl
Dog,741,-697,lprentxddr
tlbgqajbaa,0.3265,ixetpuagay,532
-0.453,DOg,ipwwbejsmk,kpebdtcdkm
-628,86,dog,-0.4245
0.4345,zgrbsevuxw,doG,zbzvtevreo
uzqhvaqvnc,0.087,-0.4025,tddbeowkdw
864,kfwdztjfmy,rezdncrjns,0.0005
0.2505,-0.3575,513,0.2915
DoG,0.0015,itbcrahaad,-547
iuacldbeij,-676,-0.043,-261
bscqnlwhvi,hrkiaxmxdb,CAT,dOG
fnnfwgvhbz,yhuvaugtly,259,0.344
dOg,614,zftvidusuf,-0.2715
-171,284,-0.119,blvwhkgbiy
-0.0735,765,-0.387,gsfsacmsmo
ascyjciwcm,lkljeabjid,-0.323,547
710,253,0.044,178
dahiokzplb,gywunpeunw,0.4415,845
945,cAt,ieddouhipz,zuaflxilnb
fxswtxwwxi,-0.021,ohilgqwxmg,0.376
snyguicwlf,dog,-893,0.3705
-162,0.108,379,akrsxcelbk
xvyfmwdvbm,603,fzavxsxdds,waclknvwxb
0.0005,0.2825,cAt,0.362
0.224,cqqnmszwmt,rsmcdrrcfd,cmgtqipvnx
-0.3055,zhphbkpgff,aolrwzerec,dOG
lsjnnelwnt,0.1835,919,-113
xmiqpnamiu,-0.048,sckgqttsoz,-0.035
kcdjbndffq,dOg,-418,-92
xgmptuxsww,0.4175,zuhlbejuwn,wgtckhncqk
0.201,zedrxyiyug,0.492,Dog
fddsaqgjog,doG,CAT,343
277,lbftupymgp,0.0505,rzqpcepast
637,zfkiacxypa,-0.113,0.204
13,caT,xvqmgxyvbs,caT
-787,19,ojnagawmwt,-157
-0.381,myanxbnrqy,Cat,345
dOg,dog,-0.296,divvazgaaq
mpsisdteol,Cat,cAT,omqfeawwph
xkjgsomfmy,CAt,-0.4805,0.307
doG,-0.32,xouycxytca,-418
0.4415,927,wdcsqdvsvi,-0.0335
CAT,mzyjbnaani,191,269
-0.2485,910,CAt,-0.242
dOG,550,537,-912
DOG,-200,htnpfrsmur,viyaeoxwkt
930,thjywllogu,-0.2755,0.155
366,0.0535,jnbllhrjfg,-0.1565
dOg,DOg,-0.252,214
0.4665,479,Dog,0.04
