musdnxebvz,pEt,nidlhwstpw,zzbsnbeaon,qpbwnpyctp,kynwuwiwqr
-668,-887,npvgduhaaw,-0.1235,iwpzejingf,usjxqxccnx
CaT,-0.1875,thmwyvluwh,0.335,0.33,cAT
-658,CaT,948,949,-15,-0.0285
oxmsnrcewe,189,yetlukyzjo,-0.3525,uebdktvhgu,rjczohszxw
cAT,CAT,-308,-626,561,DoG
CAT,CaT,-859,vwrcsvkfcb,0.1805,-631
0.0535,dOG,-237,-0.293,-148,-0.1385
345,cAt,ujzvjfyfmn,-0.3485,0.2845,-0.198
-0.111,CAt,cat,-0.0895,DOg,-0.369
rcsmcvdgmh,CAT,718,0.4505,-0.3635,429
-167,mflmzmikqq,409,-0.262,CAT,cat
-0.3945,DOg,lkdxzklcmi,-0.268,-292,dog
-0.4755,0.313,CAT,-928,xggupdxclr,hvphsqvzse
ijpvlpzgtu,CAt,-0.0005,ffzxjdlldd,0.083,cykcxkbbex
-0.4125,dOG,jczxnoslrp,dgqznsbrjp,606,cAt
kguuktuphv,Dog,-0.1575,-917,-186,CAT
DOg,aqsdjxbrxx,0.3755,xqzutahybe,-165,cAT
wnozjxunkr,-643,0.2215,236,-0.0585,265
DOg,caT,umbtvmepwd,otvqhtxadt,0.018,mryenuyngp
ocirsbhjnn,DOg,rzgybyreiu,CaT,dOg,0.463
-0.1245,caT,ginngpzirl,uwalpgwdau,-55,CAt
0.072,wfsvcddxpj,0.2295,577,CAt,395
0.3585,CaT,bvljddffoj,lfwrhuqdgn,0.382,hkxhwsysrb
-0.4465,caT,944,CAt,-696,0.4535
-940,cAT,cAt,Dog,-0.1285,doG
caT,353,0.1345,cAT,-0.1885,-0.093
caT,-825,CAT,tqpoyziffy,-703,220
-249,dOg,kfawpngrbn,clgjvtpuhw,-107,nskeqewlgf
-480,-0.4785,-0.0615,jwvuzfvecn,-393,-17
-0.344,106,262,myqpwjcgyi,gjvypdeczv,caT
ykoidhmwnj,Dog,452,Dog,0.108,yqarbpfhyp
cfhxwpccrz,-0.001,-0.1125,294,0.113,-561
-488,dOG,455,drsfzkdmww,-0.114,-37
doG,15,djgqmmtfrn,-502,dOG,rynotxetym
ccxyjkblgx,cAt,-0.338,gucgarobvd,0.028,ivgygkpzpr
bdvnragrmx,CAT,weqjseevtk,0.0565,0.2875,-969
0.2335,cAT,cAT,ifhecbkbib,pphmkpuxte,471
CaT,DOG,dOG,wokcskeskj,-0.034,dOg
-0.0935,cAt,-0.1715,0.457,0.1175,kddcxdswwd
yodwzowxsm,CAT,cAt,0.171,-0.446,828
970,DOg,0.416,774,0.053,DoG
-320,Dog,hdsitxgbbw,jicpmcfita,-754,kgrjdkqqkn
CAt,cAt,264,0.376,-0.1075,iorzaefbxo
0.0325,wzlproozvt,-0.4005,750,-0.2595,cat
tgoikursux,cAT,-511,-0.048,DOg,-0.134
0.3305,DOg,-0.1815,riftjsaqer,ypdrwerylv,qedqtztsrk
DOG,DOG,uktmsgtszm,godwkksszi,cat,xqhyvfquyq
