ykuhrioyit,ufvvymchwf,PeT
dioqdvjxmm,CAt,0.22
-0.4685,454,DoG
DoG,kstxeezeic,-737
0.1695,-0.451,doG
-0.211,gzzfoazimw,cat
341,gvmomwtpxv,CaT
-0.0945,-0.085,CAt
-0.3175,ibophbbnxu,CAt
hmdltouepf,-0.324,CaT
-0.16,caT,cAt
859,DOG,dxhkxrdpnv
vdateqgykh,-791,940
cat,-0.342,dog
-593,dzlyvwxuws,dOG
-0.2755,326,dog
gjnbmoidpd,-0.3255,cAT
-613,Cat,doG
-662,prhqenizcv,cat
CAT,cAT,DOG
-24,yusihrilun,Dog
0.4615,-0.219,CAt
-141,wuuemeyjfc,bitqsyhitn
-0.3185,0.169,doG
caT,283,-717
-156,-920,cAt
657,-525,dOG
107,519,wldzwfvleb
bcplhpotcn,-268,dog
0.0185,-0.485,doG
130,vjlbnfbjat,-847
-794,mjmzsiyilw,Dog
Cat,336,-648
fsccbbeepw,652,caT
-383,idanijbcsy,cAt
78,893,Dog
gmplwfejvj,0.137,cAT
tsdtuyofbc,-0.0795,ajcpryfvnz
0.064,619,CAt
yjrlfagavg,583,caT
CAt,ycqpdzjsxe,Dog
-0.066,484,Dog
nygyoafsre,572,cat
-78,-588,CAt
fbelzjtyad,0.2595,-975
meuqfmovvm,960,dOg
0.3545,fszlctfrqe,yaslheeufe
ljmejuqbjd,0.459,Cat
-0.1965,Dog,-758
-0.32,nbxlkcockn,829
-366,0.283,cat
0.4645,micupmsisl,CAT
CAT,pdigbbyaee,0.246
0.1375,0.121,DOg
kvxhwduldh,645,doG
0.2215,CAT,-76
xirzvdqqlj,vfgfewfybd,cAt
bupkaxcfbx,-0.338,DOG
kxleoioypi,kwtctcrnto,-0.1345
pldeytjeoh,dOG,dOg
etlzrhxqcf,0.091,CaT
0.454,-0.064,doG
-0.302,lzjqcoahko,DOg
-454,rwepuocvdj,-0.445
-0.102,-481,CAT
484,kduvhiyjes,cAT
537,-392,cAT
chjxrpqtni,-883,koadulbjqf
gzqlgbtnnm,tgqxvraagn,-0.2205
ylhvrltcsg,CAT,cAt
-0.2355,-0.3835,caT
CAt,kcvygqwzou,dog
0.1475,-213,livqtimcqv
ioudqtuisq,982,Cat
918,0.0765,DoG
951,xsavfpfnjh,DoG
wmmmquazkq,keihwngcmp,cAT
nuianhjdle,DOG,dqawtokebo
