pzopfwqwnv,dlarchznvm,umfggtawwd,rsykwpnyje,eigbyjfewo
doG,-626,Dog,-9,erhnwzlrjd
-0.4295,ybqoukqxbu,cAt,0.038,yrwdgmmebs
181,CAt,DOG,-0.303,dpzvgrljbh
0.2555,519,0.053,0.0685,ncavgbchof
0.2125,0.3195,cAT,qtjhwwxzvr,qafwrmwocx
efambrnegw,nvuqulvaff,0.187,-0.4965,-737
-900,172,967,473,767
CaT,9,246,-0.395,-0.115
-0.226,836,-758,960,kndooxabld
cat,cAt,0.405,frilfbtvah,akwleuvjwj
hdctsdplsd,-0.177,0.383,jigovralgd,ejpllgpjzg
-0.1725,0.286,vcefjgczxq,0.0525,-0.0515
0.261,oxhqowkcad,-0.0765,0.2865,859
0.015,twhbjsnioh,87,-96,bgxmpcqnej
DOG,0.2165,237,dOG,-586
thdphjxrgm,wtsehxyzox,CaT,0.083,0.1675
538,849,-0.034,nuwwatykpy,737
cAt,-743,-452,CaT,CAt
-371,fijrvjwuef,-0.4975,vhhigvoduj,-329
0.128,dmndfhygzs,caT,0.285,0.2615
0.2785,CaT,ujbjmiefki,dOg,dsqutkiepo
faodhuezyd,cat,-0.0375,zndxvacumz,282
-935,CaT,-0.0845,svxsldaaqz,-712
-452,463,-0.0125,0.2095,cat
DOg,-361,DOG,0.3405,cAT
-370,yikpsrvwqz,wbpmfreeky,-0.199,avluuqiqbu
-0.243,jeayutyydx,693,Dog,wurkwnbalv
-0.234,sajmujbgry,-768,dog,-146
-44,-0.0055,vlqhuwfvbn,-6,dog
0.232,essugiatjt,-0.4315,-232,0.07
0.155,bhaohbkuuv,0.2065,-0.145,0.403
-772,63,-604,CaT,0.4265
sldxxyjamq,-0.057,zgohywydoa,-546,cat
dOg,-298,533,CAT,nqjycfxuoc
-0.06,0.1685,lubfzuenbj,0.3245,rqnixkkmca
DOG,flavztauvp,0.416,cat,-0.0885
ukgoqgfeix,-0.0035,-0.322,-497,doG
ajvfysbkcg,Dog,yziqlppogz,192,bfbbuqtxrv
759,-0.223,0.253,-459,jducxlddnm
gtrwxkrlcx,698,cat,dorkaquvty,-957
fwgttrmauw,dOG,xxvrcoluts,-466,0.426
-0.2075,-0.419,cat,gbyqilaezg,-334
-991,614,-546,xiqbsszfas,-698
-922,ocatdzmjwg,0.2645,-0.013,wqsjieigbh
-0.1105,-145,Dog,CAT,CaT
cAT,-0.4245,-870,szevibanxh,0.196
0.182,739,yewklaxwfa,bwwmusqgoj,-134
DOG,718,aliwmavcdk,dOg,18
702,-392,-291,0.326,gqfwzzshfu
-779,-0.3995,0.266,376,kdwcynfrsl
-210,dOg,ubnuvgdgai,-0.214,-0.202
dog,-10,rpkueulwwu,0.4465,-0.3225
-0.481,0.3115,cihkweqloz,520,-250
-44,-0.1865,0.093,-368,ysffvsuamz
-0.4155,CAT,370,-0.4925,-0.38
gdnkrrfmkd,kwgkrewjin,101,895,DoG
weiztutyqo,-173,-915,DoG,caT
bzdbmacbgm,0.277,hqlbnmtwkp,-20,0.2045
DOG,tzigfnrwkm,7,kbrbukkavo,0.456
dOg,CaT,275,-0.3395,wgruxntvmv
tfnihedqfh,-202,-0.4075,lmklnqhpfd,-316
0.029,wtihklvuju,vjopbqvwfg,-469,-61
fixilunnmy,cxphlzzjfv,0.2375,-559,bjfbnvrlbg
dOg,CAT,-838,-0.202,-482
0.047,-0.0345,-525,dxhsygkpmk,-806
-0.377,-209,iswrgrizvo,566,ojopjqeemc
-0.053,-0.067,vsgbnjbwcc,DoG,mwvwuhyqtd
-0.3675,-978,-0.373,yixpjjiajd,-758
-0.227,343,plrrnmpvog,rhzobghqgf,ebabggzvwj
0.028,0.151,-769,469,0.158
309,okjqxwucub,acoidfrvdj,cAT,Cat
ocgodlvexs,doG,-0.3565,0.2135,-0.1305
-0.467,0.068,okqehcizkk,vuqtwaghpy,obzpsokbws
250,-766,-317,0.311,-0.192
CAT,0.335,-529,matsrjxsau,187
277,Cat,DOg,ezjnxkegmt,Cat
mgkqebcffx,-164,-481,0.049,908
-0.154,CAt,0.31,-674,rjetuetgnr
-0.066,-38,596,-0.499,imtkqsqovz
dpuavpaxrg,dqtixsbayk,DOG,ifytyhylrb,344
981,-0.29,0.333,-0.4845,0.3465
hnofyvtxps,0.1065,462,xgunijtbhr,0.489
-0.0815,-0.3825,bzavrnujom,-213,0.0515
-984,18,-186,-186,covfchakop
575,455,441,-536,166
0.187,96,-613,CAt,-0.354
-0.294,-0.1845,0.423,eaapqigktv,-0.3845
-51,ijqgmivdcx,ebnbzbykkw,376,-235
utxynscczo,487,578,cat,-917
-189,dog,dOg,598,afelehcunr
cat,-0.271,lgmolgihdo,ukxhxwtkkf,algmphngcs
