nphfbgtair,inreyvqqso,wdxseybzcu,pqwsczbilj,PeT,hwemuendgv
-679,0.03,559,-0.3735,dog,-376
tvptiaqxrh,caT,sizkmpxjho,0.0625,caT,cAt
deevuvtwkm,-156,835,51,rxoreulefc,612
CAt,uobscayzpp,wieqezhnys,uyptkrcami,doG,CaT
732,brdjjdamvz,cAt,0.026,460,nadfnoovlx
0.3,pxtrjozvvt,-172,0.0865,CaT,zwxaqrylqa
-0.421,znfawjjdnm,-907,orcuyomhzq,caT,0.0465
-0.4945,977,0.088,-793,gcwffulwxq,dOG
901,0.0995,-694,czpvnmjmsj,oihaafftfu,CAT
ikmpepgswx,Cat,-895,CAT,dOg,-0.384
yqvwtcrdyj,cat,npjjqccozn,pbzkflvnry,dOG,cAt
-29,bjveuyhnzz,unefcswtee,-37,0.3865,302
0.229,-0.264,-0.4165,19,doG,44
-0.3885,dOg,938,dewlmeihbk,CaT,-411
-305,rrbclpalsm,-502,myrjsrlxxs,CaT,ukrgjqhsyi
-232,DOg,-0.144,0.3225,doG,wlxxcivukj
dog,jsrpzeqxur,-0.445,-0.3665,DOG,-0.253
0.4085,0.25,-851,-0.2025,qogdraekyb,DOg
-0.22,hluhzmzsht,okicodschu,845,Dog,-17
qscpdimzjv,0.267,ggedtilcat,0.1045,859,491
doG,-0.3115,-195,-284,-735,swfzjuxemr
873,doG,-0.2725,827,cat,0.3445
0.311,soskiifgcb,0.0815,cwajuuesta,0.132,0.1305
lrfvxextrv,dog,685,aqavmuqyea,dOg,565
