caljtauqwy,peT,jprqbnjmqz
-0.0595,DOG,-0.289
-93,doG,0.2925
-0.471,caT,tpogirzfkx
-0.5,dog,skaeqvegok
782,105,otjngpdhrv
CAT,rhaizhgkkz,708
cAt,0.344,282
nemxuzamvl,-0.1425,doG
557,Cat,umqteeevcd
ihibkzdmoj,dOG,dog
icezpixafr,-0.2845,-0.034
-510,ouksbbedui,-937
-0.1295,CaT,-63
lpjakkdlyz,DOG,ekuqepthbv
0.469,cAt,CAt
0.0475,cAT,cAT
0.0475,caT,0.1725
CAt,CAT,unkcsjeesr
-0.1775,-0.2675,pwzaqtiztq
0.28,caT,-0.484
0.44,-0.2715,740
-928,ryjcjnuomw,CAt
-233,cAT,640
-349,cAt,0.1465
29,DOg,CAt
-0.4545,187,CAT
0.158,0.4835,-0.0455
70,Cat,-788
CAT,cAT,ekzrujuikn
ogbuaskfez,CaT,588
-272,Cat,250
-304,cAT,CaT
Cat,-0.09,CAT
942,CaT,-131
-0.1275,DOG,CaT
odnsdigzvn,DoG,trkdwgtznp
633,CAT,cbulirqeyu
asdugzpjtm,dOG,-139
llnphlkccv,CaT,223
913,jsenxnndaf,aawjhqdqpu
ksttukwiaz,CAt,919
pohymiqviv,-641,qxjqpoaxxn
iquzfiwbgu,543,120
CAT,caT,wrcmrfgmdu
