mtbehcbwnq,hyebjfabez,qkjuoebvrk,yjskmcvenn,yjkveyiljx,gfrihpdwdm
dog,CaT,256,-0.223,CaT,cat
335,oddyajfwqy,DoG,184,-0.0745,0.2915
cAT,CAT,-0.3265,-276,DOg,944
-0.255,-561,423,-0.187,Cat,fxecckkuqf
0.13,-0.237,0.12,gryjlgmjul,Cat,-0.1425
0.274,-209,0.1335,pdiemnwngr,-0.2735,afdrwoubxc
0.333,-0.4905,xcufbmypzi,dOg,2,-0.0855
-705,dsggnquofu,-0.2115,sudjguuwxf,-0.2925,-471
-872,644,833,0.2945,0.47,vbenvxhiyu
ybesgohuoe,eudjunyzll,wnnvqenbwf,-823,-0.131,dOG
jcvogrovlb,-495,cat,0.2675,-673,0.088
-831,DOG,596,-463,Dog,CAT
-701,qvczikqfie,0.1375,vvlwfqestr,Dog,-0.4935
tnasgtbkys,-0.261,-0.482,-371,-0.1375,-0.165
-0.3545,-0.063,-0.2265,-0.0765,-387,0.0355
qpqfaiiemk,DoG,454,jrdjkplsro,qvllsttedd,-730
doG,dkqjiodjzf,vwspyviqhp,0.42,-0.117,-114
DOg,jyraqqmbdw,-0.0505,-487,DOg,obokknhqns
252,-0.486,302,nuarcbzdzr,420,0.2705
-645,cAt,227,CAt,srwrnrnfmi,0.1275
0.4595,0.05,-120,envjnrpina,-0.2775,dOg
-882,654,867,0.4005,kksltmneux,347
0.289,402,xghtdizowq,kwsskawscj,yapgkfkylv,978
0.121,0.254,Dog,siczzfyteo,-0.4265,lgbthimrnk
0.3025,slakkhbgoz,mxpzarugck,DoG,bsxlbedskj,-0.27
-619,212,0.377,ubucekjplf,-391,-0.3005
bwmlligwbx,534,dOG,-0.244,mzrwfxqvjr,kchzagyeme
rgpwwqwtpn,Dog,pktrmkppab,334,0.41,dcbkuydqvb
-0.0395,dOg,-124,-767,-301,664
-941,vmquxpmujg,448,402,szexbeorxl,-0.076
-0.4955,bokfbgcvbo,-794,-502,998,0.286
-982,CAt,CAt,0.2585,297,qtepkbgaze
-0.282,whitmtpogr,ykzfviroml,ymzcjqfjvp,280,-475
-921,ofmzdyweee,zbigmjppao,kzbkxdaqmd,0.1,-0.153
0.2995,DOG,-185,bavybrbhrd,pkgpwkfsph,akbqcrdehw
311,0.141,226,-0.213,dOG,ixgdcupkhh
0.3185,-0.114,707,-123,0.437,0.3935
miznqonvnd,Dog,-0.114,-0.3085,Cat,rcpbcrsuge
-0.1085,7,cAt,ttumgvyqel,gleiygthsj,862
cylrgdxtqf,CAT,gsfpqfeidz,-0.1335,116,rniqypkzze
ijgvjnjkrs,-0.2475,uwgatvofpw,-0.3735,594,cat
ondlsiwfum,-508,0.41,frfgktlufj,cbwwdvqknk,-609
