bddpyeuvvn,uhwgetbjps,qlirkvvwpk,PEt
ymcjyrxyms,cAT,-0.138,dOG
7,Cat,420,cAT
haajqnqrbv,-962,-0.2645,cAt
-0.3095,DOG,-133,wvrpxbxcok
0.3945,-0.2995,cAT,cAt
-205,-0.2575,hkqkzlkdtx,Cat
dOg,ichjglifty,-0.207,ruccjwpock
-0.494,dOG,-0.1675,569
782,468,cat,-858
-0.0745,-0.331,ipaywqsvdj,caT
-251,0.079,dOg,DOG
-0.3365,-609,dOg,ekzcldhxkd
0.2765,626,-602,cAt
-585,0.0045,ayeqinmylh,doG
561,DOG,0.136,995
Dog,-0.192,xcsihifvni,-0.0535
0.447,0.4815,-0.3605,Dog
onommucldf,bqhrzvpgon,-987,CAt
pcxspvorzf,CAT,55,DOG
cvypnzeiby,682,0.427,mipkgtmpvp
DOG,0.069,0.2395,0.157
-0.128,0.4245,-71,-0.419
dog,dbojnvogpf,170,cAt
ohkjrmldgj,doG,qakzbjnavy,135
0.4035,CAT,CAt,-887
dOg,DOg,0.351,DOG
