jyjvpymzzx,jrbhvppfmn,PET,tjwzmooywp,hhiobburkm,iwfczavlwe,tbnzzxwdtv
cAt,0.3905,cAt,-0.4455,0.348,hjayscqhzj,308
dOG,gbogsmivya,cAt,uptnfshjmf,btomezfgzs,659,caT
ordljrrrwv,DOg,CAT,hmotryugoa,882,0.2565,dog
0.456,-882,DOG,cAT,doG,xetosjlntc,iknzaohcrp
-0.1395,rmkgfefzdm,CAt,-0.236,axtihrmewy,103,-0.408
uuztmsjqbq,0.24,-0.1755,-227,hwywdlxzko,-0.0545,csncuhumex
-0.1375,caT,CAT,-901,684,734,135
cqbpixnacn,CAT,CaT,0.2795,-613,DOG,219
qrvxjxatnh,138,CAt,Cat,804,-0.42,CAT
0.1675,CAT,dog,dog,-185,ilvvuosfqy,74
DOg,ndmsqhwctk,Dog,-0.2035,0.0735,dOG,nvlljdbpvg
-0.335,-0.1275,cAT,rfwthiqeuq,460,-0.0605,793
-292,-0.337,caT,-0.2325,yhsegxvnex,-0.3105,DOg
-782,arwaekhyny,974,-0.3365,Cat,506,0.4125
-0.305,rjwkbwbkod,Cat,-0.2245,aefqijfaze,offvjqackj,-0.057
DOG,0.018,CAt,0.3495,DoG,-620,ajtwhwvtgr
-602,-0.0385,dOG,uckowknccg,-0.224,38,-0.0555
-0.4315,-343,cAt,stsnuazogx,-178,-0.268,-0.4355
897,dOG,dog,0.4835,caT,156,slmcydpavz
894,xtgxdtxfsl,doG,0.0225,-0.4,738,injzkrozoi
-244,-690,cAt,qfodybnllx,-0.19,448,450
-236,0.1395,CAt,gyoasjrnng,9,563,caT
Cat,-282,cAT,ficqowpowy,0.466,0.187,Dog
DoG,0.3255,dOG,0.2855,iieqjlcgls,-177,-0.416
-0.451,39,cAT,70,pfulgwqzwt,-0.496,-514
404,0.129,0.187,-800,749,mmqrujgrkf,caT
-685,853,qdmxgjienq,CAT,adxwdsinfg,0.38,zrrychunkz
kkayeyvica,-844,0.0085,0.0535,apcioctoad,-0.298,dOG
iiiayprnqb,DOg,-0.3275,-0.386,nntwkbjvcw,otgjtoutnq,-0.1825
skrybhlrmc,DOG,cAt,659,-0.423,0.415,0.4495
DOg,-99,0.2795,vkgogqkhij,-528,-823,-0.211
xmjbrlxhdf,-432,DOg,161,0.341,hmwnscwghx,0.433
doG,cat,DOG,fxpwnvnuhe,933,0.1695,0.0985
0.227,yxfnmnltsp,-235,0.3595,0.2615,-0.328,-139
-0.212,evukpahlxd,dgsjlpaskw,npauruaybi,0.3655,CAT,cdiczmjkwo
