cmwtizfhxj,qfnfrwhrvz,qxztdoofzt,subvddkcdx,weruslnmqm,Pet
-79,-521,-0.397,ifnyuwrtko,eoizzprvmm,Cat
ydvmmzdbqs,doG,cxxjvnyhws,nlekbriysf,1000,caT
0.1125,-0.312,gkgggkqxwi,454,592,CAT
doG,yuostaekib,0.272,Dog,xjwilnikdd,dOG
CaT,-673,qzrjbxqjni,-0.2495,0.0105,uwrslmvurl
vamvvhycng,-225,qjwruiqwpe,DOG,0.12,dog
cAt,-0.2,cat,779,xpfhfwiukq,CAT
-186,-729,CAT,-811,241,278
0.275,-0.042,-525,-18,-0.2415,0.3825
-415,dzoqosenwl,caT,-980,0.4635,cat
-896,0.2505,btjfaiocqd,0.0215,yrcvdnluyw,DoG
wuelheinbo,wrphgxkdwy,CAT,fymcjmnswn,-0.0945,Dog
bgxwdpezdt,455,943,245,663,0.0615
CaT,berxdiirmi,areonbjxog,ytlnjekxvl,pdgezokdys,-0.325
cAT,0.318,0.472,CaT,0.323,ycvxxmrozi
mbtommagyl,arhtubbrfw,-785,DoG,0.4845,Cat
cat,dynnarbdrt,460,-0.363,zgblscdjfp,dOG
wdyitfbchp,0.2665,-253,omosppkahv,0.4305,Dog
0.0305,-0.1635,Cat,olmvqiohjo,vhxqczfqqn,dog
0.0145,0.0785,-0.2275,caT,0.4515,CAT
eowxipyhzs,0.466,dog,0.4895,784,cat
0.3575,onctwcfgqa,juyvpenijx,sfdtkhvqkc,DoG,cat
-602,ofpgktyicr,-798,jjgulxddvk,xartgvuffr,DOG
0.0095,-454,750,xqtytsugru,jjhpubyumq,Cat
CaT,ynkmjkvtfd,519,wikxgmysoe,shehzkdmbc,-323
dOg,-603,-977,-658,0.3805,-0.1105
628,-0.371,ujlxbasimy,-0.0785,-0.0065,doG
-648,dbsajvfrsv,544,bzvirwfkbv,tsrypnhqte,CAt
DOG,349,-0.2535,0.2025,pgpkibynbr,CAt
0.136,-718,vufgcrybmq,552,dOg,-0.416
aoncnyuvya,-397,nzehycbvuv,CaT,cat,CaT
9,209,DOg,0.3805,diwahwdraz,CAt
-0.327,0.25,yhzsnpnupb,cat,97,cAt
cAt,Cat,0.063,-0.346,0.0095,CAt
caT,854,CAt,-810,602,DOG
kmfefdennq,-0.3845,CaT,710,efminpigut,Cat
imfttwgtxe,-669,0.3805,-556,-930,DOg
-189,zcugpxoqpa,-708,-0.153,cAt,dog
DOg,cAt,0.4755,-0.302,dOG,dOG
0.07,-0.4235,315,telvuhwefm,rkrhlhjyms,DOg
zztoloduxj,doG,-301,yxyjweedxf,0.012,cyshlsoequ
rxofjngbld,0.2465,0.3945,-0.1085,-0.023,CAt
527,wpwtfbswsj,doG,cbsanjfnlh,oxiaikxjrb,dog
itoquhqscu,vwdqpexctl,-574,cAt,-0.2935,caT
caT,vfvxalvmnm,-331,0.2935,xmugcjbqxm,qtcrzgboyo
assdxuhnmw,-922,462,-0.0075,120,cat
942,-0.185,0.28,cAt,-0.3815,dog
-994,-0.446,xqdcibvveo,0.398,845,750
0.3205,rfyqremsee,111,-0.142,-0.0855,caT
