oagkuqbesh,itkuedltnc,miwlmmpyhk
0.2965,-506,0.1455
123,-587,fgcuzyfxax
0.013,0.0565,-0.103
-0.42,-0.2565,jersqiwgvq
-0.457,-0.3205,-0.2075
-0.318,-0.4995,iciwoekwwf
osznaigbgt,yuoukepztq,0.0075
-0.3245,-964,0.3485
478,CaT,-525
-0.4555,0.2615,-62
409,-606,lcjhzbtdqh
CAt,Dog,Cat
-0.4615,392,dOg
egnfxcchuh,-0.317,442
DoG,-0.24,-0.107
cat,DoG,0.49
0.272,cAt,0.0265
-0.347,420,-356
673,0.1795,0.476
-532,100,-0.1195
caT,642,ltbhbfzjgn
qdlgtzdqcl,vytyvnwvrz,CaT
968,vyxlaswrzi,-0.1605
Cat,-0.362,doG
-448,tclzullhgz,0.1235
jswibkuedo,cAT,cat
lmqwlsqami,-0.0055,856
zseuffjkou,-329,kambormlrh
xdxwbnxpyz,0.1905,tbvxihkzdz
yrwpxrbycd,294,dOG
-508,akjknroykg,rlgcwshiwx
gnshdgwekw,0.0255,Dog
dOG,CAT,672
-612,-374,-0.245
hvpdjtlmdj,cAt,nkalxgfywk
-0.12,-0.232,-0.2515
mnghjlhllm,Cat,doG
0.186,CAt,387
qunuggbimz,-896,-0.44
sfzyifjuxn,-589,ufscvmdeiz
dzeclxphgj,554,dOG
0.1725,dOg,hjvobckmtr
-97,0.2765,-0.2705
zdsjajxsxr,-0.403,327
dOg,-0.3285,0.061
620,svzqdogdoj,0.316
0.4085,317,0.035
