PeT,chqgrrzctk,toqpshabzr
947,196,CaT
cAT,115,-0.43
0.3125,-0.0975,aclhfivywm
Dog,-435,0.3815
0.218,likkemrxbz,kymkgxyrez
dOg,-415,gejpolooyo
-642,-0.101,-124
DoG,0.2335,-0.114
doG,0.088,CAT
dog,145,317
0.3355,646,tkiymkpeaj
158,0.496,992
Dog,0.1215,-0.1315
dOg,-0.18,rpulthkvfw
0.173,cAT,gobskxdsru
caT,-0.193,jwdbkhlebg
DOG,581,-0.2905
117,DOG,cAt
CAT,mxlqswsich,-6
CaT,-584,wbxpolqpgo
DOg,-60,-0.25
CaT,dog,lnbdpoofob
dOG,296,709
cat,-0.463,-0.462
CAT,CAt,DOG
cat,246,wbuejpwdcm
dOG,818,0.026
cAT,tmivqswxer,kqtsqoemvt
Cat,185,-0.1905
tejggeaila,cratqypawc,lyxsjncfok
-0.482,188,-0.216
-0.151,DoG,-0.404
DoG,eijbwiiwqk,wvgabvpexa
DOg,0.0035,0.2035
cvtgzwzdio,-438,0.0795
CAt,592,0.018
DoG,57,lykvweljtv
0.094,ekuaeuuaji,CAt
Cat,fvkrnivfjy,-333
cAT,949,-548
