ozijbnwbrb,tlhrirsdev,cogojonkrv
0.336,ydrtjvlflw,0.269
uitswerpcr,wszygbbygn,cat
0.1965,-428,bmzsnisyey
-746,0.2525,-0.1155
0.1845,cat,0.0405
cAt,eivagyuhdm,DoG
beuztowjow,-0.297,Cat
caT,CAt,-657
-0.115,DOG,0.352
bsofbpfeks,613,-0.377
dog,0.286,-0.4085
0.074,Cat,862
jjuseukcvs,410,-0.3375
CAT,dOg,reufbkcxao
783,qhuziyzciz,-0.2135
-846,730,511
646,dOg,-67
-769,-924,ptgtznhsgl
-219,vhquamsgev,0.3325
947,-0.3235,-0.1865
0.013,sjeacfqvzu,jwjmlrqcpq
0.1255,0.0145,dOg
-518,-472,474
kpchrmowag,34,845
-746,CAT,0.3045
-277,CaT,781
-225,505,doG
fdstgxkucy,mlyykprhjn,cat
xjedbxbunf,-524,-56
pmqjzhrasf,0.067,caT
qnnpwdbmxb,DOG,dookzhblvh
-812,445,lvwpasqfnn
CAT,mhlcfucvnz,0.0075
-600,ruiwbbwubs,0.1425
DOg,409,0.051
njmntdbnlb,-614,-0.031
-985,-0.4805,kegladcicx
-886,275,0.2815
-185,fevtyjzopl,bkhywdjoum
-0.1575,-674,CaT
dOG,CAT,ojqlcgdsvm
786,-206,yxlfkaprzh
-130,rhotkzehye,689
119,dOG,dOG
-0.313,sdehxpwoyp,-0.0565
763,0.295,-955
0.087,CaT,msujirjtxb
ihfbjtfskj,376,rvqxrcvmag
-0.154,-0.06,0.252
682,0.227,0.3165
0.426,-0.323,-0.228
Dog,CaT,vbyrtziezt
-0.438,647,jgfmkuawyt
rvynsdhwsj,623,lmurzegkda
-0.23,-444,0.2245
qetludssnc,261,CAt
163,-326,-638
siqjbocgdw,0.493,185
0.341,leogkdyiob,-147
