ekttpniovu,tlfycxjcaz,qcjhgmmtel,xypikszggn,npqsjjvpvr,rctlebbleh
CAt,awdxjaahsl,-778,dOg,0.0745,ltjluhmldt
67,-972,-0.167,-510,-0.06,cat
0.007,0.303,okngriphum,caT,DOG,-0.252
0.1725,DOG,0.4885,DOG,-0.2265,xbpinpeysd
vduaqypbna,udzogzljio,757,0.019,cAT,CaT
waqqhbtxol,bfcdjwiuxw,0.092,kgdaqphjlm,idprnmcexh,598
823,jgpvguwwyq,bdskalaamw,-13,921,gcypiybiba
-0.309,oolidkwqgm,-0.4685,dlaclorpon,voduguuwab,CAt
727,-0.444,pzfkikvgpb,-497,0.3765,657
czidhalyde,0.444,xxsiwpvdnw,-24,-0.4835,-0.2705
kojkwikent,394,puakavwvpe,Dog,evqhpvfyrl,0.0775
CAT,-631,-0.197,-0.0175,hklmjdqpbd,545
aaeonkhtux,xazyykqgqu,720,cAT,cAt,Cat
kfwoeyjzrt,fascoivllp,kvrpcfmvbn,stlzzmuxpo,Dog,elgfhdjpam
tkqkfwwhpg,0.054,855,bgscsszjlk,ysfmmwtjdt,-0.125
igeexfhirc,Cat,0.315,-0.303,0.1235,jgmporwalg
-0.3445,-932,jmlhpjjpqb,-0.489,0.221,0.299
178,275,-606,vmjqarezyl,dOG,dog
dOG,-904,0.431,cat,-59,40
36,-0.277,doG,mgiesatbop,963,xvuebxmmms
-0.4895,ttwqnycawt,476,mxscjscjac,fdhizmbqwd,0.2005
162,17,810,bohczsrion,0.149,124
cAt,cpldidzgmh,651,qdoramthsa,839,DOG
330,jzxtbrlspq,-683,cAT,0.2975,-914
-407,725,0.022,0.274,0.0365,-663
0.1975,Dog,doG,zdvoutquaa,wnnbbmbjsm,-167
DOG,-0.175,wdalenrmba,wzacwqsihw,-392,-128
DoG,-0.4275,bhhlfgifdf,-0.205,DOG,cvhqnbwdps
diwogfthdk,-498,-0.153,-865,0.219,yytpqitrmj
-0.392,0.2155,CaT,pcrabnxvxl,0.088,xtymavpude
