jsiegykeli,ifugvueerx,aygiavobxq,egfwviiedr
-636,218,CaT,CaT
-965,hqvlxjwrdo,0.374,-332
Dog,dOg,hxmtyevodb,557
-0.3635,ckojduxsrn,463,cat
DoG,xwjshogibo,rpbmukqzox,-648
0.311,irtcwzvluz,yyigtthgfe,-0.027
-978,-887,xsbkegscex,-779
caT,nlysesxjis,ugdrjcssjc,-0.2355
329,CAt,750,-684
594,Dog,-0.3215,rgrbpwzsqm
DOG,ijguskdmtq,cAT,-0.0325
-0.2175,-0.03,loqcobimsv,xyfwjupckv
-0.043,-779,rqvsyzyufv,caT
0.2585,ajvbulqdfj,0.1985,cAT
0.497,mcmimnpdit,zzjynvhgnh,-0.2425
0.397,DoG,292,caT
ncwxuyefow,-529,oglkrstnwn,-131
-19,0.1895,0.1,xgavqwtvfh
chatxvaabb,50,fbeerchebz,eaqkusjfnr
-774,caT,-0.4665,-0.0075
caT,-50,458,Dog
-382,mohofzkzxk,176,-552
-0.481,0.172,gxyhmwcjsj,0.4815
592,nvoxallivc,ssiqobyrqp,dOg
DOg,0.4815,doG,azggekgenv
-0.31,-0.121,DOG,458
-631,tdqbxqwxaw,957,vntijhnedc
0.21,130,465,-144
-0.349,522,DOg,-462
-0.363,CaT,icyxdbxknh,myzuiinonk
268,CAT,0.1715,cAt
0.1945,-499,-0.3785,126
-0.176,doG,0.2275,317
rdzqrgwrko,552,DoG,720
