pxhijmdmpt,iewvgfvnqa,sinsktnxex
spgkehwxwk,jnvsvpipte,jakyeqawda
DOG,-0.0715,0.242
0.3245,DOg,DOG
0.1785,796,Cat
0.318,691,-0.173
0.316,624,-247
-0.244,opufowinmm,ihqghglxso
745,-222,edrezhsomx
wzmuwzheaf,qypqowglex,-577
-0.1615,0.3395,sxrqffphfa
-0.4305,ywtqvikchs,985
934,-45,obflyceaar
835,iyfrezrdrn,-0.11
wispzqfhbr,761,245
eldwdyqxra,966,555
0.3285,0.378,137
DOg,315,doG
auvgdezehs,cAT,rknwetvryb
819,-0.1755,-0.4645
-685,389,-0.2875
712,913,luauvyayet
-794,Cat,-0.372
642,doG,938
yjxcvbokjl,-329,621
rnbbwrjzej,pqtasbloqz,-919
-886,oahrbnijjl,oimwvndvgo
qnludfdzig,nzfppfnngs,-0.1915
807,biiugxutjl,-0.077
-358,230,ecvczntdqq
-0.004,-0.4745,-0.4705
-0.469,-134,-0.265
883,-0.4025,Cat
cAt,447,-901
0.279,-0.25,490
-0.168,ijdzzqxosj,-0.001
njtkuqteka,Dog,hsowtrzenf
txvltzduel,Cat,-718
grwjazsmmi,DOG,0.2945
-103,dOg,0.0055
fgesrytrae,-0.2035,0.223
-0.022,-0.1695,0.119
367,0.0635,0.082
eygtlznwmo,988,tctwiedqgx
-835,835,-0.128
cynliweqxy,bevzpcboej,454
cat,ppoxzabona,DOG
yzhdbjlbrh,nrlatasxrm,pmpvztrkpm
cAt,wyyptkmjrm,-0.045
caT,gqykihdmsc,-0.3365
szbzrrpxnc,xdeqafklmw,-0.178
0.197,dog,CAT
913,-481,DOg
cAt,975,tsrpgdmxoz
0.34,DOg,0.369
vkzejksexr,zvgaihfdvi,0.449
Cat,163,ztucvqtoth
CAt,ghxgjfrwkk,wwxbqvzgnu
biqygawgir,rhypxilrhl,326
mrrvufqneq,444,-0.1645
122,0.092,bbxqmbtcxp
0.191,xeiesmxyzv,0.0535
-778,Dog,939
Dog,entmrccxae,murwcmdtrv
spfqnegbdf,0.1715,837
-0.291,-0.0005,krduwoxsvu
-943,-824,ujpmxczrjt
-0.472,vjdiuhlpnl,mogdgqqjjd
httqitdmcm,uduaynydnq,yguvajklne
