nicelakyjy,gltbuekddc,xnlogozjid,eshipgmspc,isjcclzjub,mxizvggtbq
-0.251,-421,-440,-0.25,-434,374
402,393,ahkxkoaocb,-0.1035,0.231,-0.073
DoG,0.1375,-0.128,0.399,-0.091,454
-115,esjpmiuarh,-0.305,-360,0.2555,DOg
0.1155,-112,-771,0.1835,caT,libsecbxxv
pzxwaeqycz,856,181,enfsijfeei,800,Cat
Cat,Cat,-85,DOg,0.0375,-0.249
0.2115,DOg,-142,uxdnpbnfzm,0.167,-0.303
0.171,0.3445,-0.149,fqqxhdoovi,tieroaixob,naekggawwe
435,-10,-162,yaybqbmict,dOg,-1
787,-0.3105,720,ptinkbukvm,-0.18,Dog
cAt,-953,pddxjslnrk,0.165,hvezdoxvyg,doG
0.1045,714,ziynsogqxx,-904,DoG,cAT
vgspxunews,0.059,uujtdtcuve,-446,CaT,dOG
0.469,0.3825,0.417,-0.2065,-463,0.482
meykhypbqf,zdubecfwja,-0.2935,cbwryasrin,0.319,DOG
-741,0.3455,147,-714,sbcjxcbwue,sdkuqcifpi
-932,aubrrpkkux,422,0.407,xvcxyhusto,261
438,Cat,-0.1035,tlskrtabts,kkousulujs,-0.176
Cat,-0.3485,706,ozlcmeoecm,-0.2095,jcbtaqrvbi
dOG,-0.1505,CAt,hdkwnlqalo,dog,0.397
lbjkwijsvy,xaxxhcbida,upbjxebdxh,89,kxqtmkmcam,illqfegeml
-0.4205,caT,agwxlbozum,cAT,tdnmzzxzgr,0.394
0.059,bhnxqyepwf,doG,988,0.4255,CaT
rykphuqtyv,0.41,0.0005,0.0335,-567,-122
-246,-668,pmmfyouzvl,555,0.299,631
dOg,awzlpdwnqt,283,0.3065,260,893
mtszingkki,-748,dog,211,0.171,onkotbwkke
dog,-0.429,0.0205,-23,pappuiglci,qyabmdecho
-1,220,-474,-893,-1,0.175
0.052,-167,skbygudsgy,-101,okqzjbniel,-0.4625
rnpeluhzbp,245,-768,birflpeihp,pvnqrkvyuj,-178
cAt,vxifyrctli,zcrmqtlmlj,912,690,-0.394
152,CaT,xakqqiecku,oxsjzandlk,cAT,0.3275
dOG,0.4305,-0.1775,-0.1995,-0.3035,cuqhtttyjw
-0.2815,-891,CAT,0.1315,0.17,dwbvbcvdow
-776,0.2565,-0.308,-630,0.1775,0.2235
tbbzqmkstt,-565,aqvfwemdmf,0.28,dOG,-0.0975
-275,ydzwxruoue,-175,-0.0575,0.192,Cat
831,0.07,-0.27,cryrfjmhkv,474,buwqowbelr
0.422,-0.4715,dOG,dog,bcnlapmklg,-0.1485
-405,-169,0.177,dOG,-65,0.0305
-0.423,10,-595,-0.4165,-0.312,DoG
ujoovxljna,-512,-128,0.404,0.227,wpbmbrniuj
435,lmsrfylybf,-0.31,CAT,0.0965,caT
427,CAT,-440,-0.4975,903,pmyccuwhqe
trwrfrcrlg,-0.0405,qteqfoqpiw,0.2665,0.276,-607
-355,0.1555,swsfofuwef,0.2325,ebeofuqzez,jcixjcmrpg
-0.014,fbzmdgtgnr,fofawrfqdh,ifbswfcuzp,-0.333,245
358,CAt,Dog,0.4295,CAt,ztcqqqoknc
569,853,0.4085,bxbnvwkihy,buqqauyrvi,-878
irtrgoebzs,127,CAT,128,chctakndjn,-751
gnpqmsmbdd,-0.4095,-845,-412,800,kxezavalse
cAT,rauzpggpwf,-0.2665,-273,0.084,aokxznbxtf
yvswgicagh,127,-500,dog,-0.398,-0.2975
kkjnbfduxb,clbbnisyau,-659,-0.3035,-24,-0.2085
CAt,mkehshcqmo,-371,-0.015,-107,-715
33,-738,602,tkvjywxptk,cryjwiyfzg,-0.0045
jamtqrkcdu,0.387,DOG,zjqevcnaxt,770,-540
0.4465,-482,agspmhhkqg,-0.1685,ismqdoxmap,qoxrvpecfw
-0.429,wnmdprqhkg,0.1955,-466,jdzxkzdagd,egtyartjtv
-0.2685,-0.17,535,0.0545,ihwvvmpehn,-369
tzwhhknqyg,qxvmpsjizt,CaT,tktrmhjnny,-307,aulqcwqwid
-0.3295,DOG,77,-0.103,473,oftmzudhjz
DOg,196,-580,-0.271,mirgltxkie,xbvklfdmen
0.2605,cat,-743,cjwtpngqnm,cAT,-884
caT,dog,womhhslnme,256,0.3445,0.345
yyqernsdhd,pyuyxgwswq,-0.123,itedjgzbkd,-0.0555,285
zjaompsyxx,fcwkuccczo,604,wrbwrvckah,jznjwdzutp,-0.4505
736,-302,agwdcjvodj,-0.3,dOg,487
