PET,nkiiqpgliq,nzowejvjqd,ripwrhjpcs,qyyomampyt
CAT,145,CAt,-0.0115,-0.0875
cAT,Cat,loruztfygj,dOG,0.068
-330,CAt,cat,janajlomdr,-643
caT,-0.402,-0.1925,lbzulphhby,-0.4925
dOG,efpvtdrgwd,-926,-0.4305,zvwusoyydi
Cat,hqoxfjkdkh,-0.1235,-0.4405,0.401
DoG,-0.446,-0.126,0.338,289
Cat,-365,352,dnnrapmeai,0.412
cAt,vvczaslvpb,qyhztbaknn,scmmwbonxh,0.274
CaT,-803,0.093,-0.3,-105
dOg,CAt,-0.342,912,371
0.252,0.299,Cat,upmdtveaqn,-0.169
51,-0.133,aowgozyuzg,586,Cat
CAT,0.1085,-348,0.392,-115
cat,dhyxqnvmba,CaT,738,emcaquicpo
dOG,ydhnpysdfw,DoG,CAt,-0.4095
cAT,72,0.4655,0.4735,vdgtewpngf
CAt,-264,-533,0.288,0.4025
DOg,493,ihmibcgbjz,0.168,rcpwqsvlda
-0.356,jkgdklnlyo,cAt,0.21,-771
DOG,-497,249,-0.3765,CaT
vnfeufqiky,102,-359,-744,891
Cat,-138,-478,0.305,895
DoG,cat,-0.258,odykbxxxnq,rpyelrxegk
CaT,dOG,0.075,DOg,-0.478
CaT,doG,cAt,0.2715,gtyvlpgdco
0.3845,mlgysdqyzy,jmibkhfapk,0.0605,-0.2795
375,vmxhqhlmib,0.2265,-0.279,46
358,cat,-0.3345,caT,855
wbcpynrnxe,zaphifcvai,392,DoG,779
Cat,Cat,-0.13,-408,0.1225
DoG,wxcfffrkeg,-0.437,hjtyloyowg,lgfdhuqwhi
vlfrsvkhhl,-680,xkzxkydzov,31,gtdevaoqoa
Cat,zggyskyvrd,cAT,Dog,220
CAT,0.2955,eziqjbychs,nniwqissab,-0.216
cAt,CAt,714,lvpibbgpox,634
CaT,906,0.379,0.381,878
dOG,-370,-528,567,729
dOg,-0.2535,0.045,CAT,chrdgurfii
hqjmtvlqgz,DOG,ubwcukrwlw,xnficynvon,-676
Dog,mqgmberpij,dOG,-388,-310
0.3195,0.394,Cat,-0.3985,hsqoitqbfm
ahcxgmhdsk,DOg,0.4905,-0.074,0.3155
DOG,-0.4945,CAT,edbjdojhcx,CAT
CaT,-473,ryhttiyzdl,Dog,atdeektjlo
gxajizceqx,275,169,lmvferxgfg,0.0345
CAT,-376,-0.3745,sygqbcyryv,0.3285
CaT,569,rvguxgktim,-0.128,dOg
dOG,CAt,-0.0625,aotknqxidx,xwkkiekuke
dog,0.3265,0.1115,0.4805,acldksqnrb
DOG,sgguliwyie,xgzfxslvhp,-0.1875,-121
scrznezmkg,cjuewskerz,4,0.4975,hrmegcuijo
oiyooyteds,DoG,0.018,-0.385,516
DOg,earltmyrkc,-0.4425,0.193,udjnamhxxz
Cat,-0.009,ervkzvkudn,0.2055,0.4355
vktmvckbec,-0.3085,-10,-0.496,0.1285
0.1065,polnlvmcdj,czwoidtagn,0.18,-0.134
caT,caT,DOG,mlxvuwusxu,-0.4145
0.4955,0.3675,Dog,0.0285,haolttzbut
dOg,-0.2975,-634,cat,976
adinctmeas,hhjsulycta,nrfzwrtfdu,jwbcsdudun,813
Dog,mnqxbxxzfw,hqlroerbgk,931,0.393
fszaqwpqsh,0.485,pqmovfnpix,-0.012,0.2765
pgqyxkvqpz,-0.305,136,-0.278,-0.052
CAT,0.411,hglzklnzmj,-825,0.2445
doG,doG,DOg,-608,-401
cAT,doG,jotsdudfyy,0.3525,-511
dOg,0.077,-0.372,rljiruexzk,-933
cAt,wnugjbfyso,225,852,-276
caT,-0.092,-643,npyrnmaypl,tfmhvhgfqa
0.454,yutbgjpbgt,-0.4975,0.313,hikxzinknq
DoG,779,-405,812,xfghatktyc
-779,881,vbxmotqkqk,0.1145,icfkbmecfa
doG,mkhzxqhesg,weljssjpmb,gnwbvsszyn,-0.127
dog,510,pzfxmzvxzc,0.3575,Dog
dOG,0.3195,nerjfibmzc,-552,-580
DOG,885,Cat,0.448,oubwifcohw
-313,-0.487,stbwcrreov,-332,0.3155
0.3445,-553,0.4505,381,cjmpjmuwxc
cAT,0.493,294,-881,tdterokddz
CaT,hczidnwhlw,zyljnhgmis,500,-0.1005
caT,pylnvpkvif,zznziazask,0.1305,-87
DOG,Cat,-0.347,kcmaziivvm,caT
crurnhtgow,doG,jgtbdtnioi,-0.3995,-0.211
dOg,-872,0.1345,-214,jsrsnvhubq
dOG,-149,caT,0.3865,xcbeouiiuv
DOG,-0.203,0.2345,0.364,849
0.1835,0.124,608,cAT,696
