lftgxwkyxa,izfmjntwul,Pet,delzurgsdo
caT,DOG,dog,iezzbldgyg
771,omsxzdsclk,eghguengyu,cswcrtpdzm
49,223,-858,0.337
104,qfvkdkvgpg,DOG,dsbprqqrin
-148,-943,-245,-0.1875
bnomhrddez,-0.2815,CAt,urikshxtmk
lfzfctwsbg,dOg,CAt,-142
caT,eqkojvgjaa,CAT,-0.251
clgrglghvk,-0.122,Dog,-0.124
zlhrifbbmi,-673,0.4195,-866
-0.3325,0.2685,dog,gnmnrytflh
-137,0.2575,qtoogokgha,oorttcddit
-0.4985,-549,DOG,dog
doG,mvpoygudei,CAT,373
gxrxxdpgcy,-905,dOG,kbegdmwjnu
965,-303,DoG,0.3055
CAt,Cat,0.467,293
Cat,jqrqwpufgd,Cat,dxzbeotupe
bkkjvaxhjh,521,CAt,0.2
-0.108,rkukqlxtkv,Cat,0.1015
287,jzfvqdahyp,cAt,-151
-690,-0.214,dOG,711
0.0415,xpmsvbdezs,lstxrmkwzp,owaaakdnsa
248,0.275,qrpqbwuqag,-600
-0.134,408,0.445,331
smucijjdup,qenlktvdjh,Cat,-0.425
Dog,-764,-635,fxuayifyby
-190,-0.323,DOG,-934
-328,CAt,cat,ramixmycph
czgvkiunxd,caT,CAT,423
-0.1225,cat,CaT,sokksxxgnc
owtpeekjwl,guyyteamcx,Dog,eyabdefufy
-562,-462,CAt,0.343
hwcgafdfxe,0.1625,0.057,Cat
0.034,dOG,DoG,cat
473,yufqxrwsqg,DOg,dOg
-0.4385,-0.235,CAt,-0.364
531,991,jfjrmlaejr,706
cAT,-0.0415,-0.045,dOg
0.2135,-868,DoG,-475
0.1475,-0.2915,cat,dOG
qgdibpwztm,vdmrholwus,eyzvkyoryi,cat
0.1935,jagfmwfmpv,Cat,-0.106
-493,Cat,pltvhvgynb,wyqxkdclbh
CAt,wkrywjoahf,cAt,0.421
Cat,doG,0.0875,eaitvguish
ziyqprdfvt,cat,pemoffouck,-0.488
Dog,tjmujxelga,dOg,-0.007
-553,cAt,dOG,owrwtykeif
DOg,mqycuoeowx,cat,-0.342
doqrjfvwaq,cAT,dOG,motqpixxrb
0.381,ickobivtss,DOg,-0.3725
