kvipnvruzw,vhhjhvqyfy,hcypayrdlg,zlzspbemdk,ksuazlnwmg,qurdgfjxwb,ndzrnrkmye
25,laadygkjeo,ajlvhbnxqk,gguxvpqvjv,Cat,-0.0035,szujkhjrhy
mugedjsudt,-436,cAt,CAT,703,Dog,-0.4275
-97,CaT,-0.4065,ohbnpjtnbm,dOg,DoG,-440
-0.39,806,Dog,dOg,-201,-0.148,-829
DoG,DOg,cat,0.458,0.1775,-0.3025,0.217
-113,-6,-65,0.1985,rvceegdyyq,hqlkkuvfmx,nlswbayuwh
cAt,0.1545,-0.4,dog,0.4585,-396,CAt
0.3905,0.273,961,556,-0.1625,-0.4,0.431
CAt,cat,-817,CAT,rvgciaukmb,bgrvshruha,0.152
0.326,-522,mbvgebwjvb,-784,doG,rhbxqedumr,604
doG,0.377,0.2665,-286,-355,myxahsjevr,csbechigtn
kovsrxwapa,-0.209,153,-676,xpbktageky,Dog,fgyevylpbl
-90,xpnuhmzkry,zvuoqrlfvn,cfotvkvoqu,-0.475,-0.3515,hfswdbghtc
51,fasaoevfqp,CAT,dOg,obeuajgneq,-910,447
DOg,htayajjwns,-0.4675,tdfdigmwwv,0.4185,509,rvonjpwafx
uhngrfsxqz,-498,cat,nfbiiyrxrz,744,cAT,-543
-0.4475,rhfojkbdnx,949,ajxzrrkilf,-0.145,0.4075,-367
-680,-710,-0.1805,cat,0.1,-0.4005,-0.255
523,-0.4085,-841,hzbbvcfpcc,xlehsdymvz,Dog,lrmhbgbgle
0.1695,onmvlmzrrg,caT,0.2295,wfsxkldnvw,cAT,0.1595
-0.4205,-447,-656,dOG,46,0.053,dog
-0.454,slbkxlkpdu,0.054,0.0235,86,bngvamtdmo,0.4605
0.019,838,cAT,0.245,vbpuuafjyw,0.2025,cAt
0.4535,CAT,-0.4825,jwcuqzuzdd,quppcvwpiu,-0.3365,cAt
114,206,cAt,cAT,0.2045,CAT,agqngtgjvl
vezhjwkmlu,-0.204,CaT,cpmbieaczn,ymctgquhzk,-0.3295,CAt
-530,DOg,-0.465,CAt,260,0.162,-776
710,0.146,0.4845,cAT,216,-0.08,230
fltiixjmvt,-0.4405,-0.074,0.4805,-161,706,-891
