pqvfrmkcqv,onxumfagsq,fmkkpwypwb,PET,ubrocxcroa
-784,-0.446,dOG,744,0.237
CAT,-322,qhyebwhmap,whfxdmhtjc,Cat
-548,0.3245,hpnzioaikq,Cat,171
0.2465,cimemdejeu,0.2045,dOg,0.0495
-0.2035,-0.105,0.05,CaT,0.488
-40,izkleecmfi,yfpdyiibom,cat,880
egieguogyy,zexwmmgnwm,0.255,912,cat
-0.142,353,-353,0.3095,0.2255
0.2665,424,-827,Cat,CAt
cAt,920,Dog,hitccynfvs,fmqqytckfi
ifhexyalam,390,-0.197,lfymyzyjua,119
0.2865,dog,673,DOG,oycuwrwbxj
-0.4335,-574,-0.3335,DOg,-0.058
-47,-95,ozgfgoqdnv,Dog,0.328
rzbkqlaivo,tjxulfadty,-0.012,DoG,twjwkmjegs
701,-0.0865,-509,Cat,0.1065
dochvpmuok,0.3165,808,cAT,lwzdimwxze
0.275,tkbkhtbmaq,768,lgllomnnoj,xrkgxowwyq
Cat,oreumxweyf,Cat,-833,-687
0.25,hzprbkznok,-204,cAt,evaddlnzuy
zelcmyngzk,0.453,0.0205,DOg,0.122
ktunixhebn,-0.2215,-529,0.2,wudzaoastq
0.06,CaT,198,DOG,612
syplclerfs,cAT,836,caT,fiaqsycwpq
591,jepitrgkoj,0.0705,CAT,0.3075
0.201,0.077,glfjrhkzxx,CAt,938
DOg,Dog,-0.4765,CaT,-0.1175
-431,301,-0.2815,DOg,0.307
caT,ujdghoxkew,dOg,cAt,DoG
-232,hknfijhstt,-0.32,dOG,-104
DOG,caT,619,CAT,-0.074
-0.1925,0.458,jioqzgjdps,Cat,64
morfehzvpc,224,zutbkkjbaf,-622,311
qmlkupzslp,tmvcgzluor,cat,doG,0.056
0.1295,rxqoawohei,-955,dog,jtfdctocnh
0.079,cjhwvgpngy,dOG,CAT,-53
zzopqjymky,qpfsdtsarm,-0.0085,DoG,CAt
CAT,hgfndixqrf,uzurfcvkrw,Dog,0.491
-760,dOg,0.4215,Cat,0.168
963,-0.425,cAT,dOG,-502
0.261,-73,CaT,0.097,Dog
nazuqswerc,evjqvayngv,cAT,Dog,-0.4115
0.24,-23,971,lazkvddcdk,-528
0.142,vbwtapzmtm,-0.013,Dog,0.384
-0.2825,-916,0.042,Dog,-0.0215
qtkjiadszj,hdtomgnlmp,0.2115,Cat,775
wekzryidyt,gciukgepks,-0.2905,dog,ginzuqxznk
233,rcyqncxflv,lussuhxaur,DOG,byoaglsgxg
-0.4405,-0.131,0.3725,caT,-0.2965
qhryogflde,dOg,fccyfjwwtu,Cat,nqezyrbdut
-0.041,0.4685,dOG,Dog,-866
doG,-0.3855,uthbrfdymg,cAt,0.372
gbmtyxlwlz,-870,cAT,75,0.377
vncngrvnyl,zafsyobzwn,0.1135,doG,-0.1785
doG,doG,DOg,ygozvpivvu,erffatnlaj
Cat,cAt,egyottjzkc,doG,vuxazycdrd
caT,812,DOG,npnszptdki,-0.1415
-884,dgljubfdhx,-0.0435,rubwcmeqmy,326
anhfduotss,CAt,-0.203,dOg,831
-0.218,-0.401,930,CaT,zcbfdsygfv
