pvidfvrumd,ykdcqurist,poakpeyavq,vvkagesvvn
DoG,183,-0.365,176
0.437,-308,Dog,DoG
0.4245,0.1385,DoG,0.088
dOG,-819,0.0445,0.2635
802,0.4905,299,-803
688,CAT,-647,10
923,bwhpyjkecm,47,532
lthvyzmukk,votumzkkqe,cat,dog
afpguaaaom,787,lmwhckmfrs,-0.193
0.3325,dOG,vduvglidim,796
0.2565,0.3845,57,ypjzrvnhzy
vdmnfwbpkp,cAT,0.1175,0.192
-0.098,0.164,-0.0825,doG
524,-817,ksjuumanwu,gnwcrzzveq
90,966,-842,592
doG,xuajbxzibv,wxeozdybtd,qprgotnsiz
dog,-0.3505,Cat,ugjhyalbat
311,-450,793,cAT
611,flzzvlyfoa,bhrthwmlrw,0.3695
0.0295,0.28,-0.464,zcqvoqvxvg
CaT,-354,DoG,0.48
535,DoG,sxigawmoef,hxwbyojsio
0.457,0.07,lqyrvpeweb,-0.268
-0.2545,-0.4805,ulbqmluftp,DOg
0.07,-765,dOg,0.3855
cat,dOg,0.1015,-0.4965
dOg,473,Dog,azqdjkschn
548,-736,0.346,-0.267
-355,0.1135,oxlkjxdjgq,-0.407
mwgpkpliqm,-0.1345,-0.4295,zzadeshzcd
nkvhlcaefm,mffbpdojsl,qieijbmjnw,0.153
570,0.1955,lcvumbtyeh,caT
CAt,ergiwhrhvr,396,CAt
-0.483,0.138,0.3955,caT
dwqdokxhvj,-790,wfsgcbnrpn,Cat
pkbnizzymf,gufbarlzpu,0.091,-217
-0.336,gxyzqjubii,gmwzysfyxs,972
-0.1975,wfcurabwgi,-0.056,412
ghfvbnfsgy,0.2715,CAt,cAT
jdiqkvmvil,oqvmbfjjbi,661,372
uzhkfjwwdq,DOG,iqsnncxlvk,-301
-0.095,-50,DoG,kkuiktepol
-51,uyjrhweqvj,503,832
unevpdmmzm,0.3955,-546,fjmwcqdnfv
0.0025,xstgzradrk,hznmkdjxsv,tidwqngjnn
Dog,0.13,ulpaonfncn,-22
0.448,0.333,CAt,egvisdjldn
-736,86,-318,hnuawgxiho
iamhxmzztk,Dog,419,-401
-687,-380,-942,DOg
0.2905,fkjjphqeca,-802,-0.3975
-884,-0.294,vugjiydfty,dOG
0.44,23,cat,caT
-0.262,278,-0.454,-0.45
cAT,0.3545,196,ujejyljhlz
-0.0185,Dog,-786,jzwggdbbir
