zggftuziuu,shpryfjlcu,quzalwyczu,jfvnnohdqx,vxefnlpbrx,pEt
madznhdypp,0.3525,0.428,-872,-879,doG
DOg,-0.211,-0.128,0.422,-24,-719
-0.36,-653,tnycbiodjq,-0.226,-0.5,dog
-966,69,pmvfyggdux,caT,0.154,Cat
doG,-0.4505,-282,497,DOg,DOg
DOG,-0.1945,0.471,183,-86,Cat
-0.493,-821,qvnbwqjwuu,CaT,-0.2995,DoG
47,tbpuglyevl,934,290,569,294
93,232,-6,938,46,dOG
CAt,pucyjnzvbc,126,-0.2765,caT,caT
cAt,truqhsnxqr,Dog,-935,atvamjkyvz,DOg
jajhfmdnew,wzssivwpba,862,wehydoegxb,uqyzawvwsr,cat
713,Cat,-0.0785,hwerjvyukd,0.047,CaT
cat,eamekvjkds,0.4845,380,-0.417,Dog
-580,DoG,aymkrjavev,465,-685,cAt
ehaezpzkgt,-729,CAt,hgpixgppac,-812,-0.366
96,ywuowrzxrl,ptplrtpyec,CAT,yhlesqzpba,vhiuvjlkts
-0.453,645,CAt,-0.0285,jvkmxzlxfi,CAt
doG,nlplnkmqmq,0.2085,-0.465,0.088,dOG
0.4385,0.226,doG,446,dog,dOG
caT,-31,nnujytwggn,-990,eprwaxczqq,0.4755
-0.063,cAT,0.29,-0.437,cat,CaT
191,iadsqhqgfg,dOg,-0.459,-0.1225,doG
449,cat,ezmlxibokk,-345,-0.1825,CAT
-0.0055,-0.355,536,CaT,-0.1165,Cat
158,-0.2605,648,Cat,757,cAt
535,CAt,0.293,cAt,cAt,cAt
-0.336,gogsblptfc,-0.0385,ofchntvqzw,uclooeasom,cikilctmjn
DoG,486,0.162,rzlavkmpdn,sinolbrgsu,-155
ywfyoymvwv,-413,-572,erxwnrmowl,dog,kabbxooabg
-0.4905,-0.4045,0.4175,0.0605,838,DoG
555,lijpkbqigb,fqsxltwpii,dog,0.314,CAt
ztzdukwdij,430,zokrfhcdki,CAt,-132,Dog
978,weimmtnmiz,-619,aaypnneygk,324,zryqcblinq
-0.164,501,zyersimgqb,gpwfcnwahp,lvzghfarjk,ykseakcqbp
rooypizrgk,belqcohcyu,-795,0.0655,DOG,DOG
-0.473,794,493,151,hjjbjutrau,cat
mcxjxmfmtq,xobnoozveg,fwtzlzhknk,-0.2475,-0.24,cAT
kvmpkzvdow,dog,caT,480,0.1615,DoG
-697,lmxbklbcin,982,-228,dhhtxbbsmv,DoG
489,Dog,-74,doG,doG,dog
-240,-836,949,0.187,0.0415,DOG
fmiqbjbfvh,-806,-668,0.3605,0.392,DoG
-960,caT,-0.0915,867,anjeiaackg,DoG
0.2155,dokcajbcab,vyvvfxiyrp,0.102,ytfpzqdidm,950
DOG,-0.3805,xzefgvoxho,cAT,-0.3645,-0.196
-959,818,mgzohiyool,auitqwdqvc,-0.4355,-0.0495
awiaqwgfto,pqjwvuxknd,940,405,-896,Dog
-322,-697,-0.463,ogjeeqcyzw,825,0.0175
0.4875,ohfcopttym,725,0.4535,907,Dog
ikcffxxfie,-0.3585,148,fwptvqurca,CAT,-353
-559,ontpqnffug,264,-0.2325,dOg,-856
975,-0.2735,98,-601,cat,caT
0.409,-297,0.01,ierkjyukjv,391,CAT
0.2615,-262,bphwgujqwy,1,doG,-914
0.0195,-110,omxhlfetpy,216,18,CaT
-0.1045,-622,DOG,108,-420,doG
pqskkdvchp,bnzmwtnith,-315,dOG,cat,404
rlpjxnopkw,736,dog,-0.2655,-0.1165,Cat
xlqhcchjpr,fmttmltxzt,0.47,-0.4495,lanxhqkfvu,CAT
-0.447,doG,0.171,hmhuggdizw,doG,-338
Dog,dbltsjkler,-0.4035,0.117,113,Dog
uxodkcfkee,CAt,doG,dog,0.27,DoG
doG,0.3175,0.031,zozbpyykym,uzmceadjxa,Dog
238,mruyvonqsc,-276,0.3405,dOg,Cat
deaavrkgvk,DoG,-476,ykfqrcfadt,-835,dOG
-0.1365,yerpfmtvcz,cAt,-0.116,0.0065,0.2625
0.118,-0.004,259,CAt,-550,CAt
-98,-611,zawzsasfnl,cat,dOG,DOG
jamdmevytx,DOg,-774,-863,gqasowrwym,cAT
CAt,-365,CaT,-182,lrdsujehah,cAt
0.0845,-0.2185,-0.1225,wjfrpmdcvt,-552,26
544,0.255,rvzrppodlb,-846,0.4455,CAt
DOG,-84,sdwvgkgily,956,dOg,kkrgizwhmo
pbvlgjtfpl,722,0.416,0.2875,vqkzxalnaa,DoG
-0.4995,0.3375,0.316,urwmqekbpy,nhyksbpxxv,cAt
0.077,-565,tspifgkrsf,891,caT,cAT
xqvmzmtcga,87,acnpshufoa,-0.089,10,caT
kunaliyoyr,usgdsiennp,zqeomqyqfy,qqbnwehmce,249,-23
boxrvbatcj,355,-0.4995,zgiowolyzi,-0.197,CaT
0.4235,0.14,mdiugqlurq,ygcuctvkwp,suwtqbbgma,-0.3025
