ahrjgsxxfm,peT,ykrjsbqvbl
-649,doG,-136
DoG,dOg,0.181
0.0625,cAT,-0.4305
dmjfdfmdto,DOG,Cat
mnbpjaylmt,dOg,kduuykttsf
-933,CAt,fzibykgvqg
103,0.125,cAT
0.358,dOg,-366
hybvijoldx,doG,456
kjssqysoga,doG,jfrrledozq
163,949,cyqbyobdgt
dog,zcatauyhug,-0.211
0.015,CAT,dog
955,cat,ppbixofvgk
tjeecwaztq,cAT,-967
bnccgxvluf,Dog,-605
-590,-279,tlldgdjyka
htrtnxexko,CaT,-706
btyqkiuybm,hvpsmmouwq,-0.2245
cAt,-205,sdwwmvdedi
ciwaqdgbvk,zzxowcyoen,aqwembyxep
DOg,dOg,lhmedyfhuy
0.391,dOG,-0.306
-0.173,cAt,-0.3635
nykihjuvvu,doG,hugugwrals
915,DOg,rlnkxdqrle
nkzstekaqy,CAT,504
dog,-0.231,nycudurssc
smxheujrhn,882,-0.141
562,0.1435,-0.123
-180,Cat,DoG
869,caT,dog
0.1605,cAt,-340
-447,cAt,-0.199
resnquobyg,DOg,-248
kprbtpujpq,cat,zihdvxgvar
cAT,doG,-0.063
drnkkwuybt,cat,-0.0175
vozvmlefln,qtynkrjuey,-0.3275
-868,doG,831
lemshtygfs,0.4815,-228
doG,cat,cdsosjwrgf
hjoanvsxhf,cat,-0.073
0.327,587,CAT
0.2505,CAT,970
wygvthljji,dOG,DOG
0.3845,Cat,oyanpsvvrm
cdnaonfllh,doG,rbujbfbkdo
-0.475,cAt,cat
dpxmddzpqz,DOG,CAt
-532,DoG,mcukymxgcy
-431,-0.2715,vlghqttxrd
woumamqjiz,DOg,nqwoqfwyws
789,CAt,0.0505
0.4605,wfggtltsbu,chbcngwsmb
pvvswowzdx,-0.279,753
CAT,cAT,uqgpftysgw
437,dOG,-0.356
-0.3035,dOG,dmbtkpzrfj
-0.4975,DoG,-0.376
caT,462,idzpbujlwx
0.0965,dog,caT
cAt,dOG,kemiwjwnlo
0.1575,dOG,lynzxmngwc
0.0305,caT,951
uupbsmumkx,dOg,-0.2915
Cat,cAt,ibywxnwedy
-0.176,dog,caT
DoG,cAT,0.3865
-286,dOG,eeskjyzuwu
dhkhmmxgbx,DOG,ivfikrkocv
pwddxhnnht,dOg,jbulwsvfsa
-0.0515,Cat,-310
0.0755,0.0205,-0.002
0.0145,dog,utizwmcoqt
0.4655,dOg,-753
0.1005,673,nmhnuztama
-0.043,CAt,0.104
CAt,0.478,462
dog,Dog,DOG
oefwjwgysr,-702,842
-0.046,0.1485,-0.1585
bnrddgniuz,DoG,-0.1045
wakvmjgrmq,doG,160
cat,caT,zbgzusfwvk
xazvncszzt,CAT,qyidvzenfs
0.367,-0.488,bbkqwtmwnh
-0.426,DOg,-0.3115
0.04,DOG,DOg
0.375,dOG,-220
0.223,DOg,-0.2845
-617,DOG,0.389
987,doG,cAt
0.1195,Cat,dOG
ormsrnahgo,cAT,Cat
0.3475,cat,CAt
