mwiwsggkik,wjvimtkyac,gyjmcitscf
-131,970,0.318
-0.0035,-156,0.4595
dog,-243,ffjtcllorc
0.4585,DOg,qlaysbgioz
-0.443,-525,36
0.22,pnnozmkhue,-0.0465
-247,lsjxutxhfu,0.332
0.3705,-942,dOG
-0.4065,0.395,doG
589,mcrwfpteni,-743
-0.365,kepveggpeb,532
-0.317,-518,CaT
kcarvcyube,0.156,DOG
dustqwktkc,-0.2305,DoG
thehnpktam,0.161,Cat
-941,jllmomglnb,-0.0565
fwkkhlitjj,0.0925,-0.475
-366,-525,0.453
-915,mwttohaqdp,-0.003
-57,dog,uwbvavjosk
dOg,-0.3165,638
0.345,svylpzvfwc,clhlzewaxk
-0.355,0.0425,bvvdgctuud
0.465,pxhiyefvkt,rpzpudquis
dOg,0.3795,0.381
ztgjjnxggj,293,gcrrhbpryq
nzhzfvxcmy,doG,-256
-202,pulhtuwwgo,-0.1695
-0.1915,0.243,302
Dog,psyqsjeggl,-0.047
0.2435,-0.1215,eqczathyco
-0.386,-0.198,oowwmjcfyr
617,0.287,faxkcpzxmm
joosaxmded,-0.0925,-291
-95,rnldnkngrw,0.2965
354,ituovvilcp,mkszdpvxyl
386,0.414,588
808,569,0.192
DoG,520,459
0.0395,685,0.2505
mktatefpba,-0.413,-562
-0.471,-0.293,951
276,-257,vwryqdwqvl
DOG,570,-405
-0.256,caxksxhrxo,-783
cAT,544,gdbrzhlngg
698,dog,rmfmiadgmo
813,911,-0.0315
0.147,-0.3995,15
0.256,0.214,-0.2285
652,irmvgkthjg,0.3925
-132,0.3425,Dog
78,DoG,nbyvvwyukt
-0.1555,0.321,hzxgjvdrbt
fqvtuqzzkn,0.18,-0.1075
-0.258,dog,-0.4665
zerykwgiwl,0.362,-861
mhbtcnxmsj,0.2045,397
jqwperzqzf,mgzwtuabty,caT
171,0.4195,hphqlyrerh
-187,dOG,whnzlbwlzw
788,Cat,ubejcggjiz
ujhezqyzof,515,-595
-548,0.354,-83
