kszconiljw,pEt,mcfvmxgdok,tdfapxmhwt,vowuiiugkl,lssmtnofbh
iqjgafafht,cAT,0.043,0.4505,DOG,amokkllbey
-821,DoG,Cat,-406,DoG,335
-0.4325,dhxpahgqua,jqrftjqflk,-0.143,qdntqzlbae,0.4315
tdqzozchri,540,-0.3045,0.4755,lzprcleuyn,DoG
0.017,dog,ewybyxrobr,-0.33,dwpyhvwbta,dog
cAT,Dog,-207,688,Cat,-980
-0.244,CAt,0.009,-0.307,-224,doG
608,Dog,aqzjbofmht,jzhdlasheg,0.2085,cpgsybdcqi
hpddtrwboh,cAT,-717,-411,244,120
405,DOG,0.429,214,-691,-0.175
-0.4015,zngehvqwax,qhizsbbqbf,-0.3045,0.192,-246
-433,DoG,0.201,0.211,0.0255,0.2565
-0.0785,Cat,0.2665,zctkhuhggi,CAT,vplqlofbpc
0.4945,457,-0.472,htwoncxhnn,exozawubdv,cAT
-0.3945,aunslyylgy,-0.1845,-0.1175,hnhdwqhzke,-0.11
-108,CAT,spsbrrlbjk,788,bnshhjvlmr,Cat
preifigbyb,cAt,hxtebkbfpt,815,0.0315,-810
-768,CAT,-8,-0.161,aiogjltqzp,zucbvtzfkx
uccmaaakdh,dOg,723,0.132,Cat,mfyfxuhian
xtszjrculf,-0.093,hnnvyoqceu,DOg,caT,-0.0375
uejayngkuz,CaT,0.1085,doG,caT,940
778,dog,0.09,0.116,100,-0.1925
371,tvcxgukrhx,0.034,-267,dog,xsrfvgkdgu
hmzoqwikyb,DOG,455,398,-0.368,-0.442
safggfshgs,DOg,0.223,jbdvnglpqt,vipswrqwnc,-404
hrfeaibsmf,dOG,295,njccxzaqcm,Cat,CAt
24,CaT,ulpydlkgcq,ajqhyrlcnc,-261,-0.4535
-0.3,Cat,-904,0.3695,0.0395,-0.4325
297,tctuicepdm,elimfmdbsu,ewjtdfhvqs,-0.428,0.105
hsbfxmhsys,cAt,fknmwmxkir,oquhurbbdf,dOg,qmljvllcvn
-0.2665,Cat,-0.0835,-415,-691,jycldchvow
hxksbhortw,0.3315,782,-0.1505,pnemsyomhk,267
