yhqdkmvwoa,kmbhhyxxfk,qdtzsotama
prhwodjcyk,dOG,-0.4085
-208,kcuodkjqjk,elvaeqgoou
cat,cAT,-0.3105
cAt,blwaxixfke,cat
0.4615,96,0.22
cAT,238,566
-522,0.2945,118
-0.121,249,0.17
pwuknwripc,908,atoghzrenc
185,-366,-820
-380,0.4725,203
-0.0715,censjciuna,-714
pkdfccnmzt,0.1085,247
DOg,pnpixwumej,inpdieyvbb
1,-0.2435,-83
0.272,-481,cptojykmku
doG,qxuyyjijwm,0.086
0.313,0.0005,624
-158,0.194,-0.4855
-239,haoieuozfe,jdpgbxaosa
-909,ruywzxfrfl,-0.4765
-28,caT,0.4735
jtpijuydnl,zcbobsdhff,gbbepvkfse
fvierjxffv,53,cbliwjaqtq
-449,0.2535,nndmoubhwn
-968,0.2035,ewyhtrtmkb
-0.2055,867,bjlijntciu
zdfnldprxx,iaampuscsh,561
-388,pgkyivrrpu,0.081
359,-0.4675,694
-721,0.166,-0.1065
DOG,-694,-0.438
hnrklzawbg,0.3965,-0.2355
884,0.293,doG
DoG,dfbdjinijr,0.067
udtdsueorq,cAT,560
cAt,-719,0.0545
Dog,-901,mgozhywzhz
-486,941,-280
ilqybzdiov,-0.2685,dog
-0.186,ritsmhibbo,0.4695
xdlglhyllp,zstewahbly,caT
0.133,cat,dOG
gbhnkgdzzs,808,caT
-0.1385,qjpuxkphde,300
474,0.438,brzmmmumgk
-762,dog,exopynqmoi
